Label,total_population,geoid
Census Tract 1; Albany County; New York,"2,073",36001000100
Census Tract 2.01; Albany County; New York,"3,125",36001000201
Census Tract 2.02; Albany County; New York,"2,598",36001000202
Census Tract 3.01; Albany County; New York,"3,190",36001000301
Census Tract 3.02; Albany County; New York,"3,496",36001000302
Census Tract 4.01; Albany County; New York,"2,216",36001000401
Census Tract 4.03; Albany County; New York,"4,418",36001000403
Census Tract 4.04; Albany County; New York,"5,194",36001000404
Census Tract 5.01; Albany County; New York,"3,440",36001000501
Census Tract 5.02; Albany County; New York,"2,841",36001000502
Census Tract 6; Albany County; New York,"3,500",36001000600
Census Tract 7; Albany County; New York,"4,196",36001000700
Census Tract 8; Albany County; New York,"2,216",36001000800
Census Tract 11; Albany County; New York,"1,826",36001001100
Census Tract 14; Albany County; New York,"3,818",36001001400
Census Tract 15; Albany County; New York,"4,528",36001001500
Census Tract 16; Albany County; New York,"4,290",36001001600
Census Tract 17; Albany County; New York,"4,016",36001001700
Census Tract 18.02; Albany County; New York,"3,728",36001001802
Census Tract 18.03; Albany County; New York,"3,232",36001001803
Census Tract 18.04; Albany County; New York,"3,473",36001001804
Census Tract 19.01; Albany County; New York,"2,514",36001001901
Census Tract 19.02; Albany County; New York,"2,566",36001001902
Census Tract 20; Albany County; New York,"5,960",36001002000
Census Tract 21; Albany County; New York,"3,937",36001002100
Census Tract 22; Albany County; New York,"2,299",36001002200
Census Tract 23; Albany County; New York,"2,147",36001002300
Census Tract 25; Albany County; New York,"3,208",36001002500
Census Tract 26; Albany County; New York,"5,179",36001002600
Census Tract 127; Albany County; New York,"3,391",36001012700
Census Tract 128; Albany County; New York,"3,797",36001012800
Census Tract 129; Albany County; New York,"3,931",36001012900
Census Tract 130; Albany County; New York,"7,028",36001013000
Census Tract 131; Albany County; New York,"2,934",36001013100
Census Tract 132; Albany County; New York,"3,380",36001013200
Census Tract 133; Albany County; New York,"4,397",36001013300
Census Tract 134; Albany County; New York,"2,598",36001013400
Census Tract 135.03; Albany County; New York,"5,284",36001013503
Census Tract 135.05; Albany County; New York,"2,804",36001013505
Census Tract 135.07; Albany County; New York,"2,716",36001013507
Census Tract 135.09; Albany County; New York,"3,692",36001013509
Census Tract 135.10; Albany County; New York,"3,497",36001013510
Census Tract 135.11; Albany County; New York,"3,687",36001013511
Census Tract 135.12; Albany County; New York,"3,858",36001013512
Census Tract 136.02; Albany County; New York,"4,554",36001013602
Census Tract 136.03; Albany County; New York,"3,151",36001013603
Census Tract 136.04; Albany County; New York,"7,198",36001013604
