"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US36001000100","Census Tract 1; Albany County; New York","2073",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","3125",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","2598",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","3190",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","3496",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","2216",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","4418",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","5194",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","3440",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","2841",
"1400000US36001000600","Census Tract 6; Albany County; New York","3500",
"1400000US36001000700","Census Tract 7; Albany County; New York","4196",
"1400000US36001000800","Census Tract 8; Albany County; New York","2216",
"1400000US36001001100","Census Tract 11; Albany County; New York","1826",
"1400000US36001001400","Census Tract 14; Albany County; New York","3818",
"1400000US36001001500","Census Tract 15; Albany County; New York","4528",
"1400000US36001001600","Census Tract 16; Albany County; New York","4290",
"1400000US36001001700","Census Tract 17; Albany County; New York","4016",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","3728",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","3232",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","3473",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","2514",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","2566",
"1400000US36001002000","Census Tract 20; Albany County; New York","5960",
"1400000US36001002100","Census Tract 21; Albany County; New York","3937",
"1400000US36001002200","Census Tract 22; Albany County; New York","2299",
"1400000US36001002300","Census Tract 23; Albany County; New York","2147",
"1400000US36001002500","Census Tract 25; Albany County; New York","3208",
"1400000US36001002600","Census Tract 26; Albany County; New York","5179",
"1400000US36001012700","Census Tract 127; Albany County; New York","3391",
"1400000US36001012800","Census Tract 128; Albany County; New York","3797",
"1400000US36001012900","Census Tract 129; Albany County; New York","3931",
"1400000US36001013000","Census Tract 130; Albany County; New York","7028",
"1400000US36001013100","Census Tract 131; Albany County; New York","2934",
"1400000US36001013200","Census Tract 132; Albany County; New York","3380",
"1400000US36001013300","Census Tract 133; Albany County; New York","4397",
"1400000US36001013400","Census Tract 134; Albany County; New York","2598",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","5284",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","2804",
