label,geoid,total_population
Census Tract 1; Albany County; New York,36001000100,2073
Census Tract 2.01; Albany County; New York,36001000201,3125
Census Tract 2.02; Albany County; New York,36001000202,2598
Census Tract 3.01; Albany County; New York,36001000301,3190
Census Tract 3.02; Albany County; New York,36001000302,3496
Census Tract 4.01; Albany County; New York,36001000401,2216
Census Tract 4.03; Albany County; New York,36001000403,4418
Census Tract 4.04; Albany County; New York,36001000404,5194
Census Tract 5.01; Albany County; New York,36001000501,3440
Census Tract 5.02; Albany County; New York,36001000502,2841
Census Tract 6; Albany County; New York,36001000600,3500
Census Tract 7; Albany County; New York,36001000700,4196
Census Tract 8; Albany County; New York,36001000800,2216
Census Tract 11; Albany County; New York,36001001100,1826
Census Tract 14; Albany County; New York,36001001400,3818
Census Tract 15; Albany County; New York,36001001500,4528
Census Tract 16; Albany County; New York,36001001600,4290
Census Tract 17; Albany County; New York,36001001700,4016
Census Tract 18.02; Albany County; New York,36001001802,3728
Census Tract 18.03; Albany County; New York,36001001803,3232
Census Tract 18.04; Albany County; New York,36001001804,3473
Census Tract 19.01; Albany County; New York,36001001901,2514
Census Tract 19.02; Albany County; New York,36001001902,2566
Census Tract 20; Albany County; New York,36001002000,5960
Census Tract 21; Albany County; New York,36001002100,3937
Census Tract 22; Albany County; New York,36001002200,2299
Census Tract 23; Albany County; New York,36001002300,2147
Census Tract 25; Albany County; New York,36001002500,3208
Census Tract 26; Albany County; New York,36001002600,5179
Census Tract 127; Albany County; New York,36001012700,3391
Census Tract 128; Albany County; New York,36001012800,3797
Census Tract 129; Albany County; New York,36001012900,3931
Census Tract 130; Albany County; New York,36001013000,7028
Census Tract 131; Albany County; New York,36001013100,2934
Census Tract 132; Albany County; New York,36001013200,3380
Census Tract 133; Albany County; New York,36001013300,4397
Census Tract 134; Albany County; New York,36001013400,2598
Census Tract 135.03; Albany County; New York,36001013503,5284
Census Tract 135.05; Albany County; New York,36001013505,2804
Census Tract 135.07; Albany County; New York,36001013507,2716
Census Tract 135.09; Albany County; New York,36001013509,3692
Census Tract 135.10; Albany County; New York,36001013510,3497
