STATE,GEOID,LOCATION,AREA_SQMI,SVI Score
Washington,53001950100,"Census Tract 9501, Adams County, Washington",623.649886,0.6654
Washington,53001950200,"Census Tract 9502, Adams County, Washington",1015.199183,0.4531
Washington,53001950301,"Census Tract 9503.01, Adams County, Washington",166.7831516,0.9481
Washington,53001950302,"Census Tract 9503.02, Adams County, Washington",67.4037914,0.8757
Washington,53001950303,"Census Tract 9503.03, Adams County, Washington",45.79552965,0.8167
Washington,53001950400,"Census Tract 9504, Adams County, Washington",1.374517328,0.9548
Washington,53001950500,"Census Tract 9505, Adams County, Washington",4.782241225,0.9399
Washington,53003960100,"Census Tract 9601, Asotin County, Washington",517.4714113,0.2846
Washington,53003960200,"Census Tract 9602, Asotin County, Washington",113.6318236,0.2292
Washington,53003960300,"Census Tract 9603, Asotin County, Washington",1.500749516,0.7909
Washington,53003960400,"Census Tract 9604, Asotin County, Washington",0.61264619,0.9291
Washington,53003960500,"Census Tract 9605, Asotin County, Washington",0.723997621,0.7123
Washington,53003960600,"Census Tract 9606, Asotin County, Washington",2.134579579,0.4018
Washington,53005010100,"Census Tract 101, Benton County, Washington",2.436428717,0.2172
Washington,53005010201,"Census Tract 102.01, Benton County, Washington",16.81374557,0.2236
Washington,53005010203,"Census Tract 102.03, Benton County, Washington",1.672159113,0.4816
Washington,53005010204,"Census Tract 102.04, Benton County, Washington",0.34489372,0.8437
Washington,53005010300,"Census Tract 103, Benton County, Washington",2.286024613,0.4556
Washington,53005010400,"Census Tract 104, Benton County, Washington",0.58001671,0.6387
Washington,53005010500,"Census Tract 105, Benton County, Washington",1.005029298,0.5132
Washington,53005010600,"Census Tract 106, Benton County, Washington",2.998770836,0.5824
Washington,53005010701,"Census Tract 107.01, Benton County, Washington",15.00540519,0.3743
Washington,53005010703,"Census Tract 107.03, Benton County, Washington",19.3148178,0.6872
Washington,53005010705,"Census Tract 107.05, Benton County, Washington",2.891598959,0.1017
Washington,53005010707,"Census Tract 107.07, Benton County, Washington",1.720772444,0.0712
Washington,53005010708,"Census Tract 107.08, Benton County, Washington",2.660960158,0.1551
Washington,53005010807,"Census Tract 108.07, Benton County, Washington",37.6340465,0.5242
Washington,53005010809,"Census Tract 108.09, Benton County, Washington",1.487533245,0.494
Washington,53005010810,"Census Tract 108.10, Benton County, Washington",2.272159305,0.1512
Washington,53005010811,"Census Tract 108.11, Benton County, Washington",8.955337819,0.0958
Washington,53005010814,"Census Tract 108.14, Benton County, Washington",36.07311217,0.0923
Washington,53005010815,"Census Tract 108.15, Benton County, Washington",6.368471794,0.36
Washington,53005010816,"Census Tract 108.16, Benton County, Washington",1.551928109,0.4631
Washington,53005010817,"Census Tract 108.17, Benton County, Washington",1.983634932,0.1201
Washington,53005010818,"Census Tract 108.18, Benton County, Washington",2.492952119,0.1531
Washington,53005010819,"Census Tract 108.19, Benton County, Washington",2.105619226,0.0918
Washington,53005010820,"Census Tract 108.20, Benton County, Washington",2.138740214,0.4485
Washington,53005010901,"Census Tract 109.01, Benton County, Washington",2.587691125,0.8636
Washington,53005010902,"Census Tract 109.02, Benton County, Washington",1.208456017,0.8901
Washington,53005011001,"Census Tract 110.01, Benton County, Washington",1.676930948,0.9372
Washington,53005011002,"Census Tract 110.02, Benton County, Washington",1.144038759,0.8963
Washington,53005011100,"Census Tract 111, Benton County, Washington",1.994281309,0.5714
Washington,53005011201,"Census Tract 112.01, Benton County, Washington",0.559777243,0.9883
Washington,53005011202,"Census Tract 112.02, Benton County, Washington",0.406046485,0.8986
Washington,53005011300,"Census Tract 113, Benton County, Washington",2.08475273,0.9047
Washington,53005011401,"Census Tract 114.01, Benton County, Washington",0.885801772,0.9275
Washington,53005011402,"Census Tract 114.02, Benton County, Washington",2.823563926,0.3614
Washington,53005011501,"Census Tract 115.01, Benton County, Washington",20.31429302,0.7285
Washington,53005011504,"Census Tract 115.04, Benton County, Washington",5.111729089,0.3402
Washington,53005011505,"Census Tract 115.05, Benton County, Washington",1.507844527,0.5719
Washington,53005011506,"Census Tract 115.06, Benton County, Washington",31.20734473,0.2022
Washington,53005011600,"Census Tract 116, Benton County, Washington",597.6046617,0.7423
Washington,53005011701,"Census Tract 117.01, Benton County, Washington",5.766720244,0.7366
Washington,53005011702,"Census Tract 117.02, Benton County, Washington",8.258582783,0.8375
Washington,53005011801,"Census Tract 118.01, Benton County, Washington",158.4925359,0.4151
Washington,53005011802,"Census Tract 118.02, Benton County, Washington",179.5048318,0.7134
Washington,53005011900,"Census Tract 119, Benton County, Washington",63.74379463,0.706
Washington,53005012000,"Census Tract 120, Benton County, Washington",440.4489028,-999
Washington,53007960100,"Census Tract 9601, Chelan County, Washington",1177.624773,0.6173
Washington,53007960201,"Census Tract 9602.01, Chelan County, Washington",156.4879703,0.4387
Washington,53007960202,"Census Tract 9602.02, Chelan County, Washington",114.5880365,0.139
Washington,53007960203,"Census Tract 9602.03, Chelan County, Washington",711.7251128,0.2657
Washington,53007960301,"Census Tract 9603.01, Chelan County, Washington",115.9186231,0.7094
Washington,53007960302,"Census Tract 9603.02, Chelan County, Washington",56.80268261,0.8235
Washington,53007960303,"Census Tract 9603.03, Chelan County, Washington",2.797309376,0.5937
Washington,53007960400,"Census Tract 9604, Chelan County, Washington",52.87477546,0.8863
Washington,53007960501,"Census Tract 9605.01, Chelan County, Washington",78.69154901,0.7838
Washington,53007960502,"Census Tract 9605.02, Chelan County, Washington",242.5486656,0.4728
Washington,53007960600,"Census Tract 9606, Chelan County, Washington",3.518721658,0.903
Washington,53007960700,"Census Tract 9607, Chelan County, Washington",52.60415502,0.4417
Washington,53007960801,"Census Tract 9608.01, Chelan County, Washington",9.677503386,0.3339
Washington,53007960803,"Census Tract 9608.03, Chelan County, Washington",0.703573211,0.7323
Washington,53007960804,"Census Tract 9608.04, Chelan County, Washington",2.008046231,0.7969
Washington,53007961001,"Census Tract 9610.01, Chelan County, Washington",0.352549736,0.746
Washington,53007961002,"Census Tract 9610.02, Chelan County, Washington",0.810082151,0.8336
Washington,53007961101,"Census Tract 9611.01, Chelan County, Washington",0.591231815,0.9428
Washington,53007961102,"Census Tract 9611.02, Chelan County, Washington",2.052592364,0.8859
Washington,53007961200,"Census Tract 9612, Chelan County, Washington",121.8032481,0.75
Washington,53007961301,"Census Tract 9613.01, Chelan County, Washington",6.460842064,0.6458
Washington,53007961303,"Census Tract 9613.03, Chelan County, Washington",0.734584152,0.5464
Washington,53007961304,"Census Tract 9613.04, Chelan County, Washington",9.799653318,0.4516
