geoid,total_population
53003960100,4320
53003960200,4755
53003960300,3633
53003960400,2517
53003960500,3517
53003960600,3894
53005010100,4894
53005010201,5440
53005010203,4055
53005010204,2379
53005010300,6314
53005010400,3469
53005010500,3050
53005010600,4982
53005010701,2035
53005010703,3316
53005010705,5256
53005010707,3500
53005010708,3792
53005010807,1813
53005010809,6935
53005010810,4794
53005010811,5113
53005010814,5250
53005010815,8060
53005010816,5373
53033029405,5730
53033029406,4754
53033029407,4832
53033029408,4535
53033029504,6053
53033029505,3841
53033029506,4692
53033029507,3470
53033029508,3831
53033029602,6510
53033029603,4325
53033029604,3112
53033029701,4650
53033029702,2891
53033029803,3578
53033029804,4609
53033029805,4697
53033029806,5528
53033029901,4716
53033029902,4767
53033030003,6770
53033030005,5633
53033030006,4350
53033030007,3414
53033030008,4606
53033030101,4054
53033030102,3674
53033030201,5732
53033030203,3451
53033030204,3920
53033030304,4578
53033030305,4765
53033030306,5751
53033030308,6059
53033030309,5475
53033030310,7171
53033030311,4686
53033030312,5103
53033030313,5054
53033030314,4542
53033030403,5114
53033030404,4813
53033030405,3539
53033030406,3039
53033030407,2290
53061053802,6143
53061053803,4541
53061940001,5951
53061940002,3793
53061990002,0
53061990100,0
53063000201,2774
53063000202,1383
53063000301,2564
53063000302,2760
53063000400,3853
53063000500,3522
53063000600,3246
53063000700,5244
53063000800,5281
53063000900,6172
53063001000,5518
53063001100,3444
53063001200,2476
53063001300,3424
53063001400,6202
53063001500,5777
53063001600,3344
53063001800,2903
53063001900,3652
53063002000,4072
53063002100,2606
53063002300,4824
53063002400,2977
53063002501,3268
53063002502,2592
53063002503,3205
53063002600,4857
53063002900,3246
53063003000,2557
53063003100,5004
53063003200,2865
53063003500,2671
53063003601,2267
53063003602,2337
53063003800,1745
53063003900,2153
53063004001,2794
53063004002,2301
53063004100,2221
53005010817,6106
53005010818,2912
53005010819,2972
53005010820,3810
53005010901,6262
53005010902,5583
53005011001,5762
53005011002,4901
53005011100,7997
53005011201,4277
53005011202,3311
53005011300,5161
53005011401,3767
53005011402,5705
53005011501,6584
53005011504,2655
53005011505,4057
53005011506,7176
53005011600,977
53005011701,2845
53005011702,5507
53005011801,3600
53005011802,2987
53005011900,5981
53005012000,0
53007960100,2137
53007960201,4438
53007960202,2042
53007960203,916
53007960301,1834
53007960302,2529
53007960303,1592
53007960400,3630
53007960501,2529
53007960502,5776
53007960600,3824
53007960700,3922
53007960801,2845
53007960803,3883
53007960804,3974
53007961001,2849
53007961002,3180
53007961101,4283
53007961102,6492
53007961200,4558
53033030501,2184
53033030503,5101
53033030504,4845
53033030600,5951
53033030700,4162
53033030801,6749
53033030802,3530
53033030901,3959
53033030902,6128
53033031000,4300
53033031101,4488
53033031102,3078
53033031202,6626
53033031204,6211
53033031206,5630
53033031207,4153
53033031208,4570
53033031301,2189
53033031302,4485
53033031400,6128
53033031501,3967
53033031502,4740
53033031601,5551
53033031603,6967
53033031604,5641
53033031605,4767
53033031704,6528
53033031705,4137
53033031707,2612
53033031708,4126
53033031709,3893
53033031710,4382
53033031800,4908
53033031904,3545
53033031906,3640
53033031908,4347
53033031909,3191
53033031910,4355
53033031911,4583
53033031912,4332
53033031913,3682
53033032002,2966
53033032003,5528
53033032005,7449
53033032006,5505
53033032007,3459
53063004200,4726
53063004300,3441
53063004400,4790
53063004500,3605
53063004601,3876
53063004602,3145
53063004701,3375
53063004702,3745
53063004800,4083
53063004900,5708
53063005000,4395
53063010101,3618
53063010102,2820
53063010201,4332
53063010203,4404
53063010204,3134
53063010301,4807
53063010303,3572
53063010304,5700
53063010305,7606
53063010401,7675
53063010403,3351
53063010404,2999
53063010504,3367
53063010505,3680
53063010506,5294
53063010507,4060
53063010508,4248
53063010601,3959
53063010603,4275
53063010604,3465
53063010701,4036
53063010702,3686
53063010800,2313
53063010901,2232
53063010902,3385
53063011000,3461
53063011102,4403
53063011103,2844
53063011104,3255
53063011202,4039
53063011203,5610
53063011204,2049
53063011301,3774
53063011302,5209
53007961301,1353
53007961303,4280
53007961304,3787
53009000300,4637
53009000600,3986
53009000700,3747
53009000800,3957
53009000900,2981
53009001000,2670
53009001100,3375
53009001200,4094
53009001300,3407
53009001400,5484
53009001500,2394
53009001600,3329
53009001701,1931
53009001702,2881
53009001800,2700
53009001901,3147
53009001902,3388
53009002001,2160
53009002002,3638
53009002100,3664
53009002301,1937
53009002302,2529
53009002400,2808
53009940000,1638
53009990100,0
53011040101,5372
53011040102,3828
53011040201,7606
53011040202,3714
53011040203,4938
53011040301,2011
53011040303,4704
53011040304,2331
53011040305,2783
53011040403,3900
53011040407,6502
53011040408,3938
53011040409,2346
53011040411,2490
53011040412,5200
53011040413,3113
53011040414,6631
53033032008,4722
53033032010,6593
53033032011,4280
53033032102,5076
53033032103,5202
53033032104,6537
53033032207,3895
53033032211,4733
53033032213,4572
53033032215,5489
53033032216,5103
53033032217,4063
53033032218,5922
53033032219,4588
53033032220,9067
53033032221,6682
53033032222,3974
53033032223,3974
53033032224,2631
53033032225,3558
53033032307,6282
53033032311,6109
53033032313,6535
53033032315,5484
53033032316,5487
53033032317,6663
53033032318,7100
53033032319,6515
53033032320,4960
53033032321,7314
53033032322,3166
53033032323,6207
53033032324,6465
53033032325,5898
53033032326,4011
53033032327,4522
53033032328,3288
53033032330,4702
53033032331,4373
53033032332,6505
53033032333,3215
53033032401,6023
53033032402,7222
53033032500,5700
53033032601,3054
53063011400,5288
53063011500,1641
53063011600,1742
53063011701,2249
53063011702,7531
53063011800,5677
53063011900,5189
53063012000,3974
53063012100,2551
53063012200,2303
53063012300,6150
53063012401,5856
53063012402,6501
53063012500,3729
53063012600,4153
53063012701,3735
53063012702,2912
53063012801,4322
53063012802,3675
53063012901,3095
53063012902,7631
53063013001,1106
53063013002,2809
53063013003,6322
53063013101,6852
53063013102,5135
53063013201,7391
53063013203,2673
53063013204,4813
53063013205,3611
53063013300,3354
53063013401,5500
53063013501,1761
53063013502,2293
53063013503,6078
53063013600,5158
53063013700,3128
53063013800,3464
53063013900,5618
53063014001,5326
53063014002,6296
53063014100,6201
53063014200,3547
53063014300,2939
53063014400,4470
53011040415,4527
53011040416,3816
53011040504,4977
53011040505,5935
53011040507,2194
53011040509,3804
53011040510,5213
53011040511,2227
53011040512,2184
53011040513,4039
53011040603,4760
53011040604,5552
53011040605,5922
53011040608,4685
