"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US53001950100","Census Tract 9501; Adams County; Washington","2579",
"1400000US53001950200","Census Tract 9502; Adams County; Washington","1804",
"1400000US53001950301","Census Tract 9503.01; Adams County; Washington","1759",
"1400000US53001950302","Census Tract 9503.02; Adams County; Washington","2599",
"1400000US53001950303","Census Tract 9503.03; Adams County; Washington","3067",
"1400000US53001950400","Census Tract 9504; Adams County; Washington","2859",
"1400000US53001950500","Census Tract 9505; Adams County; Washington","5946",
"1400000US53003960100","Census Tract 9601; Asotin County; Washington","4392",
"1400000US53003960200","Census Tract 9602; Asotin County; Washington","4781",
"1400000US53003960300","Census Tract 9603; Asotin County; Washington","3614",
"1400000US53003960400","Census Tract 9604; Asotin County; Washington","2272",
"1400000US53003960500","Census Tract 9605; Asotin County; Washington","3476",
"1400000US53003960600","Census Tract 9606; Asotin County; Washington","3750",
"1400000US53005010100","Census Tract 101; Benton County; Washington","4684",
"1400000US53005010201","Census Tract 102.01; Benton County; Washington","6203",
"1400000US53005010203","Census Tract 102.03; Benton County; Washington","3975",
"1400000US53005010204","Census Tract 102.04; Benton County; Washington","3236",
"1400000US53005010300","Census Tract 103; Benton County; Washington","5643",
"1400000US53005010400","Census Tract 104; Benton County; Washington","3731",
"1400000US53005010500","Census Tract 105; Benton County; Washington","3154",
"1400000US53005010600","Census Tract 106; Benton County; Washington","4551",
"1400000US53005010701","Census Tract 107.01; Benton County; Washington","2184",
"1400000US53005010703","Census Tract 107.03; Benton County; Washington","3697",
"1400000US53005010705","Census Tract 107.05; Benton County; Washington","5535",
"1400000US53005010707","Census Tract 107.07; Benton County; Washington","3687",
"1400000US53005010708","Census Tract 107.08; Benton County; Washington","4532",
"1400000US53005010807","Census Tract 108.07; Benton County; Washington","1558",
"1400000US53005010809","Census Tract 108.09; Benton County; Washington","6792",
"1400000US53005010810","Census Tract 108.10; Benton County; Washington","5430",
"1400000US53005010811","Census Tract 108.11; Benton County; Washington","5530",
"1400000US53005010814","Census Tract 108.14; Benton County; Washington","5129",
"1400000US53005010815","Census Tract 108.15; Benton County; Washington","9675",
"1400000US53005010816","Census Tract 108.16; Benton County; Washington","5525",
"1400000US53005010817","Census Tract 108.17; Benton County; Washington","6613",
"1400000US53005010818","Census Tract 108.18; Benton County; Washington","3358",
"1400000US53005010819","Census Tract 108.19; Benton County; Washington","3431",
"1400000US53005010820","Census Tract 108.20; Benton County; Washington","3916",
"1400000US53005010901","Census Tract 109.01; Benton County; Washington","6025",
"1400000US53005010902","Census Tract 109.02; Benton County; Washington","5620",
"1400000US53005011001","Census Tract 110.01; Benton County; Washington","5482",
"1400000US53005011002","Census Tract 110.02; Benton County; Washington","5038",
"1400000US53005011100","Census Tract 111; Benton County; Washington","7838",
"1400000US53005011201","Census Tract 112.01; Benton County; Washington","4564",
"1400000US53005011202","Census Tract 112.02; Benton County; Washington","3168",
"1400000US53005011300","Census Tract 113; Benton County; Washington","4925",
"1400000US53005011401","Census Tract 114.01; Benton County; Washington","4317",
"1400000US53005011402","Census Tract 114.02; Benton County; Washington","5492",
"1400000US53005011501","Census Tract 115.01; Benton County; Washington","6971",
"1400000US53005011504","Census Tract 115.04; Benton County; Washington","3367",
"1400000US53005011505","Census Tract 115.05; Benton County; Washington","4534",
"1400000US53005011506","Census Tract 115.06; Benton County; Washington","6575",
"1400000US53005011600","Census Tract 116; Benton County; Washington","835",
"1400000US53005011701","Census Tract 117.01; Benton County; Washington","2591",
"1400000US53005011702","Census Tract 117.02; Benton County; Washington","4837",
"1400000US53005011801","Census Tract 118.01; Benton County; Washington","3366",
"1400000US53005011802","Census Tract 118.02; Benton County; Washington","3183",
"1400000US53005011900","Census Tract 119; Benton County; Washington","6355",
"1400000US53005012000","Census Tract 120; Benton County; Washington","21",
"1400000US53007960100","Census Tract 9601; Chelan County; Washington","2661",
"1400000US53007960201","Census Tract 9602.01; Chelan County; Washington","4148",
"1400000US53007960202","Census Tract 9602.02; Chelan County; Washington","1825",
"1400000US53007960203","Census Tract 9602.03; Chelan County; Washington","957",
"1400000US53007960301","Census Tract 9603.01; Chelan County; Washington","2687",
"1400000US53007960302","Census Tract 9603.02; Chelan County; Washington","2586",
"1400000US53007960303","Census Tract 9603.03; Chelan County; Washington","1811",
"1400000US53007960400","Census Tract 9604; Chelan County; Washington","4034",
"1400000US53007960501","Census Tract 9605.01; Chelan County; Washington","2938",
"1400000US53007960502","Census Tract 9605.02; Chelan County; Washington","4289",
"1400000US53007960600","Census Tract 9606; Chelan County; Washington","4235",
"1400000US53007960700","Census Tract 9607; Chelan County; Washington","4296",
"1400000US53007960801","Census Tract 9608.01; Chelan County; Washington","2948",
"1400000US53007960803","Census Tract 9608.03; Chelan County; Washington","3681",
"1400000US53007960804","Census Tract 9608.04; Chelan County; Washington","4567",
"1400000US53007961001","Census Tract 9610.01; Chelan County; Washington","2802",
"1400000US53007961002","Census Tract 9610.02; Chelan County; Washington","3778",
"1400000US53007961101","Census Tract 9611.01; Chelan County; Washington","4554",
"1400000US53007961102","Census Tract 9611.02; Chelan County; Washington","5881",
"1400000US53007961200","Census Tract 9612; Chelan County; Washington","4531",
"1400000US53007961301","Census Tract 9613.01; Chelan County; Washington","1395",
"1400000US53007961303","Census Tract 9613.03; Chelan County; Washington","4063",
"1400000US53007961304","Census Tract 9613.04; Chelan County; Washington","4407",
"1400000US53009000300","Census Tract 3; Clallam County; Washington","4593",
"1400000US53009000600","Census Tract 6; Clallam County; Washington","3451",
"1400000US53009000700","Census Tract 7; Clallam County; Washington","4001",
"1400000US53009000800","Census Tract 8; Clallam County; Washington","4186",
"1400000US53009000900","Census Tract 9; Clallam County; Washington","2895",
"1400000US53009001000","Census Tract 10; Clallam County; Washington","2388",
"1400000US53009001100","Census Tract 11; Clallam County; Washington","3158",
"1400000US53009001200","Census Tract 12; Clallam County; Washington","4039",
"1400000US53009001300","Census Tract 13; Clallam County; Washington","3209",
"1400000US53009001400","Census Tract 14; Clallam County; Washington","5009",
"1400000US53009001500","Census Tract 15; Clallam County; Washington","2218",
"1400000US53009001600","Census Tract 16; Clallam County; Washington","3490",
"1400000US53009001701","Census Tract 17.01; Clallam County; Washington","2113",
"1400000US53009001702","Census Tract 17.02; Clallam County; Washington","2913",
"1400000US53009001800","Census Tract 18; Clallam County; Washington","3304",
"1400000US53009001901","Census Tract 19.01; Clallam County; Washington","3188",
"1400000US53009001902","Census Tract 19.02; Clallam County; Washington","3172",
"1400000US53009002001","Census Tract 20.01; Clallam County; Washington","3003",
"1400000US53009002002","Census Tract 20.02; Clallam County; Washington","3410",
"1400000US53009002100","Census Tract 21; Clallam County; Washington","3774",
"1400000US53009002301","Census Tract 23.01; Clallam County; Washington","1974",
"1400000US53009002302","Census Tract 23.02; Clallam County; Washington","2496",
"1400000US53009002400","Census Tract 24; Clallam County; Washington","3463",
"1400000US53009940000","Census Tract 9400; Clallam County; Washington","1708",
"1400000US53009990100","Census Tract 9901; Clallam County; Washington","0",
"1400000US53011040101","Census Tract 401.01; Clark County; Washington","5606",
"1400000US53011040102","Census Tract 401.02; Clark County; Washington","3903",
"1400000US53011040201","Census Tract 402.01; Clark County; Washington","6560",
"1400000US53011040202","Census Tract 402.02; Clark County; Washington","4345",
"1400000US53011040203","Census Tract 402.03; Clark County; Washington","5642",
"1400000US53011040301","Census Tract 403.01; Clark County; Washington","2025",
"1400000US53011040303","Census Tract 403.03; Clark County; Washington","5527",
"1400000US53011040304","Census Tract 403.04; Clark County; Washington","3054",
"1400000US53011040305","Census Tract 403.05; Clark County; Washington","3063",
"1400000US53011040403","Census Tract 404.03; Clark County; Washington","4209",
"1400000US53011040407","Census Tract 404.07; Clark County; Washington","5930",
"1400000US53011040408","Census Tract 404.08; Clark County; Washington","3915",
"1400000US53011040409","Census Tract 404.09; Clark County; Washington","2180",
"1400000US53011040411","Census Tract 404.11; Clark County; Washington","2238",
"1400000US53011040412","Census Tract 404.12; Clark County; Washington","5915",
"1400000US53011040413","Census Tract 404.13; Clark County; Washington","3272",
"1400000US53011040414","Census Tract 404.14; Clark County; Washington","6705",
"1400000US53011040415","Census Tract 404.15; Clark County; Washington","4649",
"1400000US53011040416","Census Tract 404.16; Clark County; Washington","3592",
"1400000US53011040504","Census Tract 405.04; Clark County; Washington","5438",
"1400000US53011040505","Census Tract 405.05; Clark County; Washington","6207",
"1400000US53011040507","Census Tract 405.07; Clark County; Washington","2443",
"1400000US53011040509","Census Tract 405.09; Clark County; Washington","3218",
"1400000US53011040510","Census Tract 405.10; Clark County; Washington","6265",
"1400000US53011040511","Census Tract 405.11; Clark County; Washington","2574",
"1400000US53011040512","Census Tract 405.12; Clark County; Washington","2458",
"1400000US53011040513","Census Tract 405.13; Clark County; Washington","4735",
"1400000US53011040603","Census Tract 406.03; Clark County; Washington","5009",
"1400000US53011040604","Census Tract 406.04; Clark County; Washington","7057",
"1400000US53011040605","Census Tract 406.05; Clark County; Washington","7107",
"1400000US53011040608","Census Tract 406.08; Clark County; Washington","5029",
"1400000US53011040609","Census Tract 406.09; Clark County; Washington","5208",
"1400000US53011040610","Census Tract 406.10; Clark County; Washington","4065",
"1400000US53011040703","Census Tract 407.03; Clark County; Washington","6800",
"1400000US53011040706","Census Tract 407.06; Clark County; Washington","4057",
"1400000US53011040707","Census Tract 407.07; Clark County; Washington","3318",
"1400000US53011040709","Census Tract 407.09; Clark County; Washington","5825",
"1400000US53011040711","Census Tract 407.11; Clark County; Washington","3161",
"1400000US53011040712","Census Tract 407.12; Clark County; Washington","6792",
"1400000US53011040713","Census Tract 407.13; Clark County; Washington","4549",
"1400000US53011040714","Census Tract 407.14; Clark County; Washington","4652",
"1400000US53011040715","Census Tract 407.15; Clark County; Washington","2780",
"1400000US53011040803","Census Tract 408.03; Clark County; Washington","5540",
"1400000US53011040806","Census Tract 408.06; Clark County; Washington","5143",
"1400000US53011040808","Census Tract 408.08; Clark County; Washington","1755",
"1400000US53011040809","Census Tract 408.09; Clark County; Washington","6938",
"1400000US53011040810","Census Tract 408.10; Clark County; Washington","3856",
"1400000US53011040811","Census Tract 408.11; Clark County; Washington","3593",
"1400000US53011040812","Census Tract 408.12; Clark County; Washington","5036",
"1400000US53011040904","Census Tract 409.04; Clark County; Washington","6364",
"1400000US53011040905","Census Tract 409.05; Clark County; Washington","3446",
"1400000US53011040907","Census Tract 409.07; Clark County; Washington","6597",
"1400000US53011040908","Census Tract 409.08; Clark County; Washington","6931",
"1400000US53011040909","Census Tract 409.09; Clark County; Washington","5293",
"1400000US53011040910","Census Tract 409.10; Clark County; Washington","4421",
"1400000US53011041003","Census Tract 410.03; Clark County; Washington","4266",
"1400000US53011041005","Census Tract 410.05; Clark County; Washington","2732",
"1400000US53011041007","Census Tract 410.07; Clark County; Washington","3580",
"1400000US53011041008","Census Tract 410.08; Clark County; Washington","3942",
"1400000US53011041009","Census Tract 410.09; Clark County; Washington","4047",
"1400000US53011041010","Census Tract 410.10; Clark County; Washington","4725",
"1400000US53011041011","Census Tract 410.11; Clark County; Washington","3663",
"1400000US53011041104","Census Tract 411.04; Clark County; Washington","4101",
"1400000US53011041105","Census Tract 411.05; Clark County; Washington","6463",
"1400000US53011041107","Census Tract 411.07; Clark County; Washington","3046",
"1400000US53011041110","Census Tract 411.10; Clark County; Washington","6905",
"1400000US53011041111","Census Tract 411.11; Clark County; Washington","4068",
"1400000US53011041112","Census Tract 411.12; Clark County; Washington","6911",
"1400000US53011041113","Census Tract 411.13; Clark County; Washington","2322",
"1400000US53011041114","Census Tract 411.14; Clark County; Washington","4614",
"1400000US53011041203","Census Tract 412.03; Clark County; Washington","5513",
"1400000US53011041205","Census Tract 412.05; Clark County; Washington","5386",
