label,geoid,total_population
Census Tract 9501; Adams County; Washington,53001950100,2579
Census Tract 9502; Adams County; Washington,53001950200,1804
Census Tract 9503.01; Adams County; Washington,53001950301,1759
Census Tract 9503.02; Adams County; Washington,53001950302,2599
Census Tract 9503.03; Adams County; Washington,53001950303,3067
Census Tract 9504; Adams County; Washington,53001950400,2859
Census Tract 9505; Adams County; Washington,53001950500,5946
Census Tract 9601; Asotin County; Washington,53003960100,4392
Census Tract 9602; Asotin County; Washington,53003960200,4781
Census Tract 9603; Asotin County; Washington,53003960300,3614
Census Tract 9604; Asotin County; Washington,53003960400,2272
Census Tract 9605; Asotin County; Washington,53003960500,3476
Census Tract 9606; Asotin County; Washington,53003960600,3750
Census Tract 101; Benton County; Washington,53005010100,4684
Census Tract 102.01; Benton County; Washington,53005010201,6203
Census Tract 102.03; Benton County; Washington,53005010203,3975
Census Tract 102.04; Benton County; Washington,53005010204,3236
Census Tract 103; Benton County; Washington,53005010300,5643
Census Tract 104; Benton County; Washington,53005010400,3731
Census Tract 105; Benton County; Washington,53005010500,3154
Census Tract 106; Benton County; Washington,53005010600,4551
Census Tract 107.01; Benton County; Washington,53005010701,2184
Census Tract 107.03; Benton County; Washington,53005010703,3697
Census Tract 107.05; Benton County; Washington,53005010705,5535
Census Tract 107.07; Benton County; Washington,53005010707,3687
Census Tract 107.08; Benton County; Washington,53005010708,4532
Census Tract 108.07; Benton County; Washington,53005010807,1558
Census Tract 108.09; Benton County; Washington,53005010809,6792
Census Tract 108.10; Benton County; Washington,53005010810,5430
Census Tract 108.11; Benton County; Washington,53005010811,5530
Census Tract 108.14; Benton County; Washington,53005010814,5129
Census Tract 108.15; Benton County; Washington,53005010815,9675
Census Tract 108.16; Benton County; Washington,53005010816,5525
Census Tract 108.17; Benton County; Washington,53005010817,6613
Census Tract 108.18; Benton County; Washington,53005010818,3358
Census Tract 108.19; Benton County; Washington,53005010819,3431
Census Tract 108.20; Benton County; Washington,53005010820,3916
Census Tract 109.01; Benton County; Washington,53005010901,6025
Census Tract 109.02; Benton County; Washington,53005010902,5620
Census Tract 110.01; Benton County; Washington,53005011001,5482
Census Tract 110.02; Benton County; Washington,53005011002,5038
Census Tract 111; Benton County; Washington,53005011100,7838
Census Tract 112.01; Benton County; Washington,53005011201,4564
Census Tract 112.02; Benton County; Washington,53005011202,3168
Census Tract 113; Benton County; Washington,53005011300,4925
Census Tract 114.01; Benton County; Washington,53005011401,4317
Census Tract 114.02; Benton County; Washington,53005011402,5492
Census Tract 115.01; Benton County; Washington,53005011501,6971
Census Tract 115.04; Benton County; Washington,53005011504,3367
Census Tract 115.05; Benton County; Washington,53005011505,4534
Census Tract 115.06; Benton County; Washington,53005011506,6575
Census Tract 116; Benton County; Washington,53005011600,835
Census Tract 117.01; Benton County; Washington,53005011701,2591
Census Tract 117.02; Benton County; Washington,53005011702,4837
Census Tract 118.01; Benton County; Washington,53005011801,3366
Census Tract 118.02; Benton County; Washington,53005011802,3183
Census Tract 119; Benton County; Washington,53005011900,6355
Census Tract 120; Benton County; Washington,53005012000,21
Census Tract 9601; Chelan County; Washington,53007960100,2661
Census Tract 9602.01; Chelan County; Washington,53007960201,4148
Census Tract 9602.02; Chelan County; Washington,53007960202,1825
Census Tract 9602.03; Chelan County; Washington,53007960203,957
Census Tract 9603.01; Chelan County; Washington,53007960301,2687
Census Tract 9603.02; Chelan County; Washington,53007960302,2586
Census Tract 9603.03; Chelan County; Washington,53007960303,1811
Census Tract 9604; Chelan County; Washington,53007960400,4034
Census Tract 9605.01; Chelan County; Washington,53007960501,2938
Census Tract 9605.02; Chelan County; Washington,53007960502,4289
Census Tract 9606; Chelan County; Washington,53007960600,4235
Census Tract 9607; Chelan County; Washington,53007960700,4296
Census Tract 9608.01; Chelan County; Washington,53007960801,2948
Census Tract 9608.03; Chelan County; Washington,53007960803,3681
Census Tract 9608.04; Chelan County; Washington,53007960804,4567
Census Tract 9610.01; Chelan County; Washington,53007961001,2802
Census Tract 9610.02; Chelan County; Washington,53007961002,3778
Census Tract 9611.01; Chelan County; Washington,53007961101,4554
Census Tract 9611.02; Chelan County; Washington,53007961102,5881
Census Tract 9612; Chelan County; Washington,53007961200,4531
Census Tract 9613.01; Chelan County; Washington,53007961301,1395
Census Tract 9613.03; Chelan County; Washington,53007961303,4063
Census Tract 9613.04; Chelan County; Washington,53007961304,4407
Census Tract 3; Clallam County; Washington,53009000300,4593
Census Tract 6; Clallam County; Washington,53009000600,3451
Census Tract 7; Clallam County; Washington,53009000700,4001
Census Tract 8; Clallam County; Washington,53009000800,4186
Census Tract 9; Clallam County; Washington,53009000900,2895
Census Tract 10; Clallam County; Washington,53009001000,2388
Census Tract 11; Clallam County; Washington,53009001100,3158
Census Tract 12; Clallam County; Washington,53009001200,4039
Census Tract 13; Clallam County; Washington,53009001300,3209
Census Tract 14; Clallam County; Washington,53009001400,5009
Census Tract 15; Clallam County; Washington,53009001500,2218
Census Tract 16; Clallam County; Washington,53009001600,3490
Census Tract 17.01; Clallam County; Washington,53009001701,2113
Census Tract 17.02; Clallam County; Washington,53009001702,2913
Census Tract 18; Clallam County; Washington,53009001800,3304
Census Tract 19.01; Clallam County; Washington,53009001901,3188
Census Tract 19.02; Clallam County; Washington,53009001902,3172
Census Tract 20.01; Clallam County; Washington,53009002001,3003
Census Tract 20.02; Clallam County; Washington,53009002002,3410
Census Tract 21; Clallam County; Washington,53009002100,3774
Census Tract 23.01; Clallam County; Washington,53009002301,1974
Census Tract 23.02; Clallam County; Washington,53009002302,2496
Census Tract 24; Clallam County; Washington,53009002400,3463
Census Tract 9400; Clallam County; Washington,53009940000,1708
Census Tract 9901; Clallam County; Washington,53009990100,0
Census Tract 401.01; Clark County; Washington,53011040101,5606
Census Tract 401.02; Clark County; Washington,53011040102,3903
Census Tract 402.01; Clark County; Washington,53011040201,6560
Census Tract 402.02; Clark County; Washington,53011040202,4345
Census Tract 402.03; Clark County; Washington,53011040203,5642
Census Tract 403.01; Clark County; Washington,53011040301,2025
Census Tract 403.03; Clark County; Washington,53011040303,5527
Census Tract 403.04; Clark County; Washington,53011040304,3054
Census Tract 403.05; Clark County; Washington,53011040305,3063
Census Tract 404.03; Clark County; Washington,53011040403,4209
Census Tract 404.07; Clark County; Washington,53011040407,5930
Census Tract 404.08; Clark County; Washington,53011040408,3915
Census Tract 404.09; Clark County; Washington,53011040409,2180
Census Tract 404.11; Clark County; Washington,53011040411,2238
Census Tract 404.12; Clark County; Washington,53011040412,5915
Census Tract 404.13; Clark County; Washington,53011040413,3272
Census Tract 404.14; Clark County; Washington,53011040414,6705
Census Tract 404.15; Clark County; Washington,53011040415,4649
Census Tract 404.16; Clark County; Washington,53011040416,3592
Census Tract 405.04; Clark County; Washington,53011040504,5438
Census Tract 405.05; Clark County; Washington,53011040505,6207
Census Tract 405.07; Clark County; Washington,53011040507,2443
Census Tract 405.09; Clark County; Washington,53011040509,3218
Census Tract 405.10; Clark County; Washington,53011040510,6265
Census Tract 405.11; Clark County; Washington,53011040511,2574
Census Tract 405.12; Clark County; Washington,53011040512,2458
Census Tract 405.13; Clark County; Washington,53011040513,4735
Census Tract 406.03; Clark County; Washington,53011040603,5009
Census Tract 406.04; Clark County; Washington,53011040604,7057
Census Tract 406.05; Clark County; Washington,53011040605,7107
Census Tract 406.08; Clark County; Washington,53011040608,5029
Census Tract 406.09; Clark County; Washington,53011040609,5208
Census Tract 406.10; Clark County; Washington,53011040610,4065
Census Tract 407.03; Clark County; Washington,53011040703,6800
Census Tract 407.06; Clark County; Washington,53011040706,4057
Census Tract 407.07; Clark County; Washington,53011040707,3318
Census Tract 407.09; Clark County; Washington,53011040709,5825
Census Tract 407.11; Clark County; Washington,53011040711,3161
Census Tract 407.12; Clark County; Washington,53011040712,6792
Census Tract 407.13; Clark County; Washington,53011040713,4549
Census Tract 407.14; Clark County; Washington,53011040714,4652
