,GEOID,ACRES_TOTAL,Total_Households,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
0,53033002500,243.2190827381091,1245,0.1116,0.0513,0.3105,0.3285,0.0873
584,53033002600,307.58442043552583,1940,0.2419,0.1046,0.341,0.2904,0.1552
1361,53033003200,510.2934585514258,4021,0.0471,0.045,0.201,0.2821,0.0326
2277,53033003500,317.45244838888533,1818,0.1123,0.0693,0.3354,0.5454,0.1573
2844,53033003400,194.49775167000936,1468,0.097,0.0347,0.1518,0.1337,0.0146
3317,53033003300,320.3204951851347,3071,0.124,0.0097,0.3624,0.3805,0.0513
4212,53033002800,242.98539587059872,2114,0.0243,0.0305,0.3867,0.5405,0.0845
4839,53033002900,243.6816752133384,1843,0.131,0.0742,0.2647,0.2121,0.0742
5489,53033003000,368.96744740511184,2407,0.1823,0.1261,0.4477,0.1261,0.1137
6473,53033003100,530.703145556588,2638,0.0534,0.1781,0.3049,0.1095,0.0541
7302,53033001701,220.5934556906677,1931,0.4033,0.0416,0.5336,0.5142,0.2883
7927,53033001702,316.32914590001315,1911,0.2287,0.149,0.5523,0.8649,0.4394
8639,53033001600,476.7483700670983,1777,0.1088,0.2225,0.1954,0.2633,0.1095
9339,53033001500,283.1731841521243,1072,0.0298,0.0679,0.2384,0.1324,0.0201
9891,53033000200,812.0079487483864,3499,0.5128,0.1719,0.8032,0.7443,0.6147
10765,53033002700,393.805008678236,2257,0.0492,0.036,0.6403,0.097,0.0381
11572,53033002200,683.2421510282528,2131,0.0776,0.185,0.3576,0.2557,0.1164
12436,53033002400,241.67956487424317,1244,0.2134,0.4324,0.3895,0.203,0.2231
13149,53033002000,279.6981736043887,1568,0.1067,0.0471,0.3943,0.3645,0.1005
13740,53033002100,337.3910409770545,1678,0.1809,0.0388,0.5003,0.6417,0.2245
14438,53033001900,410.97098496764687,1889,0.2543,0.0492,0.5593,0.7741,0.343
15165,53033000900,234.72353207655064,836,0.0582,0.1157,0.3153,0.2883,0.088
15538,53033001300,292.5511842234683,2131,0.3326,0.0534,0.8829,0.7907,0.5114
16206,53033001100,262.0177474825772,1058,0.2564,0.1247,0.7387,0.4782,0.3347
16617,53033001000,235.83566539110245,765,0.5613,0.1538,0.6875,0.3708,0.4366
17016,53033001200,453.1722387404579,3418,0.7505,0.3839,0.7824,0.9653,0.8614
17980,53033000800,282.0730706146774,1033,0.2689,0.2488,0.2003,0.1809,0.1545
18484,53033000600,948.3131859461106,3345,0.4012,0.307,0.7907,0.9002,0.6944
19447,53033000700,319.89860374339986,2114,0.4498,0.0721,0.8538,0.7935,0.5724
20241,53033000100,456.9270292078872,3146,0.6584,0.14,0.8309,0.8108,0.711
21268,53033004100,787.8306759502393,3038,0.0859,0.2259,0.5031,0.2065,0.1462
22293,53033004200,608.8325993117699,3137,0.0457,0.1088,0.2786,0.1719,0.0478
23474,53033004301,241.99065289139583,1448,0.2432,0.043,0.2862,0.7644,0.2536
24137,53033004302,81.71674015976986,1495,0.8094,0.0249,0.8053,0.8358,0.6798
24515,53033004000,613.4915356368332,1230,0.3472,0.4179,0.5759,0.9827,0.7117
25147,53033003600,295.63260502778957,3134,0.2176,0.0922,0.5295,0.666,0.3035
26098,53033003900,240.61834205756404,1148,0.0915,0.3791,0.5045,0.1033,0.1428
26668,53033003800,154.3340540448038,912,0.034,0.0797,0.4567,0.3895,0.1053
27084,53033001400,525.9640338529674,2172,0.1469,0.0582,0.28,0.4449,0.1303
27798,53033000402,444.49421891261613,2317,0.2197,0.3964,0.5378,0.8649,0.5177
28414,53033000401,336.97111146677105,3134,0.4657,0.5107,0.7415,0.7651,0.6979
29203,53033000500,691.438772394433,1289,0.0021,0.3514,0.237,0.0735,0.0305
