geoid_o,geoid_d,pop_flows
53001950100,53001950100,5006.0
53001950100,53001950200,80.0
53001950100,53025010700,80.0
53001950100,53037975600,80.0
53001950100,53043960400,480.0
53001950100,53063000400,260.0
53001950100,53063002400,80.0
53001950100,53063002600,80.0
53001950100,53063003000,80.0
53001950100,53063003200,200.0
53001950100,53063003500,80.0
53001950100,53063004200,80.0
53001950100,53063005000,160.0
53001950100,53063010401,320.0
53001950100,53063011000,80.0
53001950100,53063011101,80.0
53001950100,53063011102,80.0
53001950100,53063011701,160.0
53001950100,53063011702,160.0
53001950100,53063012200,160.0
53001950100,53063013700,240.0
53001950100,53063014001,160.0
53001950100,53063014100,80.0
53001950100,53067011500,80.0
53001950100,53077000400,100.0
53001950200,53001950100,770.0
53001950200,53001950200,385.0
53001950200,53005011200,192.0
53001950200,53005011300,289.0
53001950200,53005011503,96.0
53001950200,53007961100,96.0
53001950200,53021020200,289.0
53001950200,53021020300,96.0
53001950200,53021020400,481.0
53001950200,53021020502,385.0
53001950200,53025010700,96.0
53001950200,53037975500,96.0
53001950200,53063002400,96.0
53001950200,53063003200,96.0
53001950200,53063011400,168.0
53001950200,53063011702,96.0
53001950200,53063012200,96.0
53001950200,53063012300,96.0
53001950200,53063013000,192.0
53001950200,53063013100,96.0
53001950200,53063014001,96.0
53001950200,53071920600,96.0
53001950200,53071920900,96.0
53003960100,53003960100,2009.0
53003960100,53031950702,86.0
53003960100,53037975100,86.0
53003960100,53051970300,86.0
53003960100,53063000400,86.0
53003960100,53063000900,86.0
53003960100,53063001100,86.0
53003960100,53063002000,86.0
53003960100,53063002500,86.0
53003960100,53063003500,86.0
53003960100,53063003900,86.0
53003960100,53063011201,86.0
53003960100,53063011702,86.0
53003960100,53063013700,86.0
53003960100,53063014500,86.0
53003960100,53071920100,86.0
53003960100,53071920200,259.0
53003960100,53071920702,86.0
53003960100,53071920801,216.0
53005011001,53005011001,3429.0
53005011001,53005011002,4349.0
53005011001,53005011100,739.0
53005011001,53005011200,717.0
53005011001,53005011300,896.0
53005011001,53005011401,179.0
53005011001,53005011501,89.0
53005011001,53005011503,1569.0
53005011001,53021020100,89.0
53005011001,53021020200,538.0
53005011001,53021020300,896.0
53005011001,53021020400,963.0
53005011001,53021020502,448.0
53005011001,53021020605,269.0
53005011001,53025010600,89.0
53005011001,53063000800,179.0
53005011001,53063002400,89.0
53005011001,53063003800,89.0
53005011001,53071920100,89.0
53005011001,53071920200,89.0
53005011001,53071920600,89.0
53005011001,53071920801,89.0
53005011001,53071920802,89.0
53005011002,53005011001,1698.0
53005011002,53005011002,4804.0
53005011002,53005011100,841.0
53005011002,53005011200,596.0
53005011002,53005011300,183.0
53005011002,53005011401,122.0
53005011002,53005011402,122.0
