geoid,total_population
53001950100,2456
53001950200,1935
53001950301,1669
53001950302,2720
53001950303,2826
53001950400,3031
53001950500,5920
53003960100,4363
53003960200,4450
53003960300,3320
53003960400,2520
53003960500,3667
53003960600,4050
53005010100,4996
53005010201,6128
53005010203,4600
53005010204,2761
53005010300,5744
53005010400,3492
53005010500,3361
53005010600,4885
53005010701,2122
53005010703,3690
53005010705,5889
53005010707,3737
53005010708,4438
53005010807,1898
53005010809,6088
53005010810,4908
53005010811,5632
53005010814,5245
53005010815,9102
53005010816,5091
53005010817,6570
53005010818,3323
53005010819,3361
53005010820,3919
53005010901,6310
53005010902,5644
53005011001,6093
53005011002,5150
53005011100,8041
53005011201,4304
53005011202,3283
53005011300,4856
53005011401,3698
53005011402,5259
53005011501,6543
53005011504,2992
53005011505,4468
53005011506,7605
53005011600,1032
53005011701,3068
53005011702,5464
53005011801,3342
53005011802,2797
53005011900,6631
53005012000,0
53007960100,2357
53007960201,4388
53007960202,1970
53007960203,1120
53007960301,1844
53007960302,2825
53007960303,1798
53007960400,4139
53007960501,2764
53007960502,5428
53007960600,4177
53007960700,3923
53007960801,2950
53007960803,3767
53007960804,4683
53007961001,2848
53007961002,3383
53007961101,4348
53007961102,6431
53007961200,4260
53007961301,1462
53007961303,4235
53007961304,3976
53009000300,4373
53009000600,3763
53009000700,3834
53009000800,4033
53009000900,3193
53009001000,2435
53009001100,3338
53009001200,3996
53009001300,3062
53009001400,5368
53009001500,2434
53009001600,3607
53009001701,1992
53009001702,3005
53009001800,3059
53009001901,3391
53009001902,3007
53009002001,2645
53009002002,3947
53009002100,3834
53009002301,1990
53009002302,2738
53009002400,2739
53009940000,1550
53009990100,0
53011040101,5139
53011040102,3560
53011040201,8389
53011040202,3691
53011040203,4777
53011040301,2042
53011040303,6084
53011040304,3051
53011040305,3137
53011040403,4348
53011040407,6531
53011040408,3693
53011040409,2328
53011040411,2420
53011040412,5847
53011040413,3175
53011040414,6083
53011040415,4431
53011040416,3924
53011040504,5361
53011040505,6027
53011040507,2241
53011040509,3998
53011040510,5446
53011040511,2361
53011040512,2230
53011040513,4398
53011040603,4866
53011040604,7148
53011040605,6680
53011040608,4820
53011040609,5846
53011040610,3787
53011040703,6719
53011040706,4436
53011040707,3740
53011040709,5525
53011040711,3216
53011040712,6811
53011040713,4469
53011040714,5665
53011040715,2493
53011040803,5317
53011040806,5630
53011040808,1737
53011040809,6049
53011040810,4103
53011040811,3282
53011040812,4663
53011040904,6461
53011040905,3793
53011040907,7123
53011040908,6604
53011040909,5292
53011040910,4640
53011041003,4007
53011041005,2489
53011041007,3632
53011041008,4177
53011041009,3770
53011041010,4424
53011041011,4052
53011041104,4228
53011041105,5938
53011041107,3148
53011041110,7837
53011041111,4175
53011041112,7024
53011041113,2250
53011041114,4062
53011041203,5134
53011041205,4778
53011041206,7009
53011041207,2214
53011041208,3893
53011041309,4683
53011041310,4717
53011041312,5190
53011041313,3041
53011041317,5805
53011041319,6756
53011041320,8150
53011041321,3474
53011041322,5033
53011041323,5531
53011041325,5056
53011041326,2807
53011041328,6301
53011041329,4958
53011041330,5175
53011041331,2901
53011041332,3853
53011041333,3336
53011041334,3775
53011041335,5775
53011041336,2663
53011041337,4101
53011041400,5738
53011041500,3155
53011041600,3611
53011041700,3915
53011041800,4333
53011041900,2140
53011042000,1759
53011042100,3187
53011042300,3605
53011042400,2103
53011042500,1617
53011042601,2091
53011042602,4445
53011042700,4592
53011042800,2723
53011042900,1832
53011043000,2147
53011043100,4149
53013960200,3980
53015000400,4157
53015000501,3573
53015000502,4596
53015000601,3550
53015000602,3245
53015000702,3159
53015000703,1712
53015000705,3791
53015000706,3643
53015000801,3531
53015000802,3447
53015000901,4549
53015000902,3436
53015001000,1172
53015001100,6103
53015001200,4416
53015001300,4413
53015001501,3745
53015001503,6361
53015001504,3642
53015001601,4085
53015001602,2735
53015001700,5514
53015001800,1855
53015001900,5071
53015002001,4047
53015002003,4795
53015002004,1424
53015002100,4295
53015980000,559
53017950101,3559
53017950102,3454
53017950200,2993
53017950300,7550
53017950400,7251
53017950500,3480
53017950600,4280
53017950700,4187
53017950800,6435
53019940000,1705
53019970100,2665
53019970200,2890
53021020101,1707
53021020102,6424
53021020103,4365
53021020201,2166
53021020202,4079
53021020300,5795
53021020401,1065
53021020402,1243
53021020403,3432
53021020404,2745
53021020501,5101
53021020503,3404
53021020504,6546
53021020603,4978
53021020605,9884
53021020606,8740
53021020607,7080
53021020608,6881
53021020700,1261
53021020801,3592
53021020802,6204
53021980100,0
53023970300,2310
53025010100,3409
53025010200,3342
53025010300,5428
53025010401,3366
53025010402,5503
53025010500,3127
53025010600,7753
53025010700,3154
53025010800,5580
53025010901,1471
53025010903,5665
53025010904,6356
53025011001,6074
53025011002,6256
53025011101,4544
53025011102,3487
53025011200,6842
53025011300,3423
53025011401,2473
53025011403,4382
53025011404,1125
53025011405,3189
53025011406,3196
53027000201,6838
53027000202,1529
53027000300,3678
53027000401,2872
53027000402,3691
53027000501,3606
53027000502,3252
53027000600,4500
53027000700,4522
53027000800,4580
53027000900,6137
53027001000,3901
53027001100,4492
53027001200,4716
53027001300,3659
53027001400,2152
53027001500,4098
53027001601,2789
53027001602,3601
53027940000,1059
53027990000,0
53029970100,2535
53029970200,2543
53029970300,4608
53029970401,3382
53029970402,2875
53029970500,6811
53029970601,3953
53029970602,3547
53029970700,2026
53029970800,2885
53029970900,5155
53029971000,5331
53029971100,3485
53029971301,2034
53029971302,2497
53029971400,4661
53029971500,3790
53029971600,4286
53029971700,4905
53029971800,2714
53029971900,4284
53029972000,4373
53029972100,3830
53029992201,0
53031950202,2047
53031950301,3957
53031950302,2858
53031950400,4001
53031950501,4795
53031950502,2782
53031950602,3704
53031950603,3050
53031950604,3560
53031950702,2252
53031990000,0
53033000101,3399
53033000102,4382
53033000201,4691
53033000202,4425
53033000300,2964
53033000402,5421
53033000403,3298
53033000404,3847
53033000500,3486
53033000601,4852
53033000602,3700
53033000700,5508
53033000800,2636
53033000900,2092
53033001000,2055
53033001100,2549
53033001201,4180
53033001202,3557
53033001300,4882
53033001400,5201
53033001500,2679
53033001600,4785
53033001701,4109
53033001702,5441
53033001800,4641
53033001900,5061
53033002000,4240
53033002100,4770
53033002200,5955
53033002400,3143
53033002500,3318
53033002600,5665
53033002700,6141
53033002800,4957
53033002900,4512
53033003000,6394
53033003100,6729
53033003201,4497
53033003202,4811
53033003301,4435
53033003302,3949
53033003400,3611
53033003500,4147
53033003601,3641
53033003602,4171
53033003800,2456
53033003900,3267
53033004000,3153
53033004101,4069
53033004102,4099
53033004201,3669
53033004202,4688
53033004301,3912
53033004302,4532
53033004401,3656
53033004402,3315
53033004500,3676
53033004600,3625
53033004701,3658
53033004702,3482
53033004703,4074
53033004800,5110
53033004901,4067
53033004902,3264
53033005000,4467
53033005100,3791
53033005201,3697
53033005202,3223
53033005303,3894
53033005304,3541
53033005305,2468
53033005306,3591
53033005307,3004
53033005401,3332
53033005402,3056
53033005600,7032
53033005700,6483
53033005801,6104
53033005803,3284
53033005804,2449
53033005901,3832
53033005902,4213
53033006000,6251
53033006100,5891
53033006200,4201
53033006300,5709
53033006400,3452
53033006500,4756
53033006600,4224
53033006701,3658
53033006702,3086
53033006703,3217
53033006800,3249
53033006900,4716
53033007001,3676
53033007002,3842
53033007101,3043
53033007102,2550
53033007201,5418
53033007202,3398
53033007203,3353
53033007301,3178
53033007302,4783
53033007303,3227
53033007403,2793
53033007404,2973
53033007405,2578
53033007406,2490
53033007501,3924
53033007502,2482
53033007503,2228
53033007600,4536
53033007700,5474
53033007800,5754
53033007901,3153
53033007902,3843
53033008002,4263
53033008003,4109
53033008004,3060
53033008101,2661
53033008102,3244
53033008200,4567
53033008300,3517
53033008401,3214
53033008402,2753
53033008500,4314
53033008600,6721
53033008700,4767
53033008800,4274
53033008900,6117
53033009000,3890
53033009100,2762
53033009200,3130
53033009300,3224
53033009400,6382
53033009500,7052
53033009600,5786
53033009701,5975
53033009702,5972
53033009801,3291
53033009802,3970
53033009900,5745
53033010001,4243
53033010002,4974
53033010101,4357
53033010102,4762
53033010200,5253
53033010301,4036
53033010302,3153
53033010401,4517
53033010402,4768
53033010501,4500
53033010502,5768
53033010601,4233
53033010602,3744
53033010701,4307
53033010702,4919
53033010800,4893
53033010900,1317
53033011001,5177
53033011002,4733
53033011101,5069
53033011102,5468
53033011200,3902
53033011300,6219
53033011401,5204
53033011402,4379
53033011500,4220
53033011601,3361
53033011602,3581
53033011700,5719
53033011801,3226
53033011802,4542
53033011901,4571
53033011902,3180
53033012000,3308
53033012100,2842
53033020100,3416
53033020200,5695
53033020301,3436
53033020302,3969
53033020401,4090
53033020402,5400
53033020500,7498
53033020600,3759
53033020700,4460
53033020800,4573
53033020900,3650
53033021000,5813
53033021100,4245
53033021300,4203
53033021400,4027
53033021500,5111
53033021600,5195
53033021701,4407
53033021702,5082
53033021802,6187
53033021803,6180
53033021804,5148
53033021903,6226
53033021904,5866
53033021905,5653
53033021906,4899
53033022001,5278
53033022003,5411
53033022005,4605
53033022006,4057
53033022101,5178
53033022102,6660
53033022201,4814
53033022203,5216
53033022204,3574
53033022205,4130
53033022300,2590
53033022401,3661
53033022402,5868
53033022501,4627
53033022502,4023
53033022603,6083
53033022604,4872
53033022605,7264
53033022606,6468
53033022701,3020
53033022702,4035
53033022703,3040
53033022802,6234
53033022803,7442
53033022804,5039
53033022805,3409
53033022901,3176
53033022902,6721
53033023000,7249
53033023100,4436
53033023201,6046
53033023202,5122
53033023300,7759
53033023401,4320
53033023403,4122
53033023404,3667
53033023500,4045
53033023601,4604
53033023603,6564
53033023604,6238
53033023701,4476
53033023702,1022
53033023801,3293
53033023805,3425
53033023806,3634
53033023807,6027
53033023808,2652
53033023901,4554
53033023902,2764
53033024001,4365
53033024002,4054
53033024100,4711
53033024200,2923
53033024301,4706
53033024302,4231
53033024400,3171
53033024500,5057
53033024601,4750
53033024602,3549
53033024701,3541
53033024703,3917
53033024704,4379
53033024800,6113
53033024901,4584
53033024902,4297
53033024904,2999
53033024905,3372
53033025001,5856
53033025005,6330
53033025006,6741
53033025007,4663
53033025008,2450
53033025101,6193
53033025103,4355
53033025104,4386
53033025201,4090
53033025202,5083
53033025302,5252
53033025303,2543
53033025304,4132
53033025401,3498
53033025402,3701
53033025500,5213
53033025601,5265
53033025602,6937
53033025702,3551
53033025703,3332
53033025704,3856
53033025803,4639
53033025804,3685
53033025805,5321
53033025806,4958
53033026001,5527
53033026003,4273
53033026004,4376
53033026101,3747
53033026102,4407
53033026200,6140
53033026300,1781
53033026400,5827
53033026500,4474
53033026600,2275
53033026700,5681
53033026801,6080
53033026802,6320
53033027000,3071
53033027100,4128
53033027200,2986
53033027300,6542
53033027400,5193
53033027500,4721
53033027600,4251
53033027701,5737
53033027702,5202
53033027800,3526
53033027901,4616
53033027902,3695
53033028000,4017
53033028100,3111
