STATE,geoid,LOCATION,AREA_SQMI,svi
NY,36047000700,New York,7.271535028099396e-12,0.2345
NY,36047000900,New York,6.724112469609026e-12,0.1721
NY,36047001100,New York,6.931582641850141e-12,0.1008
NY,36047001300,New York,1.2060252149090709e-11,0.3723
NY,36047002000,New York,6.336277836878635e-12,0.9327
NY,36047002100,New York,2.3377757178079008e-11,0.1843
NY,36047002200,New York,1.3977520201853408e-11,0.9629
NY,36047002901,New York,4.494512802430997e-12,0.9776
NY,36047003400,New York,1.2528959378551064e-10,0.6191
NY,36047003700,New York,6.846465104588684e-12,0.3442
NY,36047003900,New York,6.454230646530207e-12,0.4117
NY,36005014100,New York,7.301812567782424e-12,0.9616
NY,36005033000,New York,8.500262364916975e-12,0.9179
NY,36005021100,New York,6.252428451643569e-12,0.9859
NY,36005004600,New York,5.57777987872677e-12,0.9992
NY,36005005902,New York,2.899347254353601e-12,0.9182
NY,36005028100,New York,5.327913776377964e-12,0.6996
NY,36005022701,New York,4.831721740919193e-12,0.9994
NY,36005031600,New York,7.306100230489032e-12,0.6528
NY,36005019500,New York,9.061672433615706e-12,0.985
NY,36005028600,New York,8.246808216683315e-12,0.3255
NY,36005016400,New York,6.783879900902328e-12,0.733
NY,36005036800,New York,6.992452587404034e-12,0.9393
NY,36005006000,New York,1.3871083463508467e-11,0.8863
NY,36005037600,New York,5.146033093340957e-12,0.9148
NY,36005023301,New York,4.910987323197869e-12,0.988
NY,36005004001,New York,5.075702490484608e-12,0.8137
NY,36005006900,New York,7.747209410228134e-12,0.9713
NY,36005003100,New York,6.374728190642652e-12,0.885
NY,36005039000,New York,7.492883250617856e-12,0.8127
NY,36005042800,New York,6.9808369017832485e-12,0.514
NY,36005038800,New York,6.131987021561153e-12,0.9131
NY,36005005600,New York,5.613659179283018e-12,0.9414
NY,36005014500,New York,7.497930762068684e-12,0.9956
NY,36091060602,New York,4.573786755028322e-09,0.2554
NY,36091062507,New York,8.413008332251328e-10,0.0405
NY,36091062509,New York,3.799595505794883e-10,0.1238
NY,36091060601,New York,2.749595636505001e-09,0.4721
NY,36047017700,New York,1.0444929007110335e-10,-999.0
NY,36047017800,New York,6.738328938296054e-12,0.8644
NY,36047017900,New York,6.510346325107458e-12,0.9236
NY,36047018000,New York,7.235111516777411e-12,0.7722
NY,36047018200,New York,6.7982355593695234e-12,0.7391
NY,36047018300,New York,5.648116273118584e-12,0.0966
NY,36047018501,New York,4.570063890430551e-12,0.9492
NY,36047018600,New York,4.6451740499479514e-12,0.6568
NY,36047018700,New York,3.528084631503151e-12,0.5421
NY,36047019000,New York,8.749653368769045e-12,0.8262
NY,36047019100,New York,1.0440344991804631e-11,0.5666
NY,36047019200,New York,7.799543219711518e-12,0.9468
NY,36047019600,New York,7.738043734846309e-12,0.938
NY,36047019700,New York,6.9849166485600225e-12,0.2455
NY,36047019800,New York,5.5354800880192115e-12,0.5102
