origin,destination,flow
53001950400,53021020605,134.0
53001950400,53021020606,113.0
53001950400,53005010809,349.0
53001950400,53025010401,71.0
53001950400,53075000400,73.0
53001950400,53063014001,96.0
53001950400,53025010904,952.0
53001950400,53025011002,433.0
53001950400,53005011702,85.0
53001950400,53005010901,486.0
53001950400,53025010700,80.0
53001950400,53033028402,313.0
53001950400,53005011300,122.0
53001950400,53063000400,156.0
53001950400,53025011102,256.0
53001950400,53021020102,369.0
53001950400,53001950500,5782.0
53001950400,53001950400,7983.0
53001950400,53021020404,133.0
53001950400,53021020202,314.0
53001950500,53021980100,46.0
53001950500,53005010819,313.0
53001950500,53005010817,497.0
53001950500,53063010902,49.0
53001950500,53021020605,302.0
53001950500,53021020606,70.0
53001950500,53067012331,63.0
53001950500,53005010809,1528.0
53001950500,53005010500,296.0
53001950500,53063013700,75.0
53001950500,53005011100,68.0
53001950500,53025011406,86.0
53001950500,53005010600,82.0
53001950500,53025011200,82.0
53001950500,53077001801,84.0
53001950500,53025010904,1338.0
53001950500,53025011002,1818.0
53001950500,53063003200,106.0
53001950500,53033005303,106.0
53001950500,53033029203,103.0
53001950500,53061041202,225.0
53001950500,53071920600,106.0
53001950500,53053061601,87.0
53001950500,53005010901,622.0
53001950500,53025011300,286.0
53001950500,53063010401,267.0
53001950500,53025011102,918.0
53001950500,53021020102,242.0
53001950500,53001950500,11749.0
53001950500,53077002003,125.0
53001950500,53001950400,10720.0
53001950500,53077940002,127.0
53001950500,53077002701,149.0
53001950500,53077940005,146.0
53001950500,53025010800,134.0
53001950500,53021020300,290.0
53001950500,53077002005,150.0
53003960100,53071920400,104.0
53003960100,53003960100,1108.0
53003960100,53063001100,50.0
53003960100,53063000900,56.0
53003960100,53003960600,421.0
53003960100,53071920801,152.0
53003960100,53075000602,127.0
53003960100,53063013700,57.0
53003960100,53005010600,83.0
53003960100,53075000400,132.0
53003960100,53075000201,120.0
53003960100,53033009300,88.0
53003960100,53071920702,74.0
53003960100,53063002501,117.0
53003960100,53063003900,100.0
53003960100,53003960500,1623.0
53003960100,53063003500,82.0
53003960100,53003960300,9526.0
53003960100,53063002000,95.0
53003960100,53063011702,108.0
53003960100,53063000400,123.0
53003960100,53063011203,109.0
53003960100,53003960400,122.0
53003960100,53077002003,136.0
53003960100,53063014500,122.0
53003960300,53005010817,55.0
53003960300,53063010902,32.0
53003960300,53003960100,77.0
53003960300,53005010815,55.0
53003960300,53063011701,38.0
53003960300,53003960600,124.0
53003960300,53005010809,136.0
53003960300,53075000400,120.0
53003960300,53063002501,143.0
53003960300,53003960500,1274.0
53003960300,53063003200,61.0
53003960300,53063012901,59.0
53003960300,53063003500,75.0
53003960300,53003960300,6552.0
53003960300,53077002005,79.0
53003960400,53003960100,44.0
53003960400,53003960600,137.0
53003960400,53075000400,185.0
53003960400,53003960500,420.0
53003960400,53003960300,4535.0
53003960400,53003960400,830.0
53003960400,53033028802,142.0
53003960500,53003960100,42.0
53003960500,53037975201,59.0
53003960500,53003960600,542.0
53003960500,53071920801,78.0
53003960500,53013960200,263.0
53003960500,53035092101,95.0
53003960500,53063003900,87.0
53003960500,53003960500,1909.0
53003960500,53063011800,137.0
53003960500,53003960300,7027.0
53003960500,53071920600,153.0
53003960500,53035092200,139.0
53003960500,53003960400,606.0
53003960500,53001950500,157.0
53003960600,53071920400,32.0
53003960600,53033008004,28.0
53003960600,53003960100,95.0
53003960600,53063001100,49.0
53003960600,53063010506,65.0
53003960600,53033004301,40.0
53003960600,53063011701,52.0
53003960600,53003960600,642.0
53003960600,53033005201,61.0
53003960600,53063013700,73.0
53003960600,53033001202,61.0
53003960600,53013960200,132.0
53003960600,53075000400,67.0
53003960600,53075000100,158.0
53003960600,53033026200,81.0
53003960600,53063011900,72.0
53003960600,53063011102,96.0
53003960600,53003960500,2156.0
53003960600,53033005303,185.0
53003960600,53003960300,7612.0
53003960600,53071920302,105.0
53003960600,53063000400,117.0
53003960600,53071920500,99.0
53005010100,53021980100,160.0
53005010100,53067012002,49.0
53005010100,53005010819,390.0
53005010100,53005010811,50.0
53005010100,53005010817,1071.0
53005010100,53005010810,59.0
53005010100,53005010708,166.0
53005010100,53033010200,97.0
53005010100,53033008402,130.0
53005010100,53005010100,1837.0
53005010100,53005010201,915.0
53005010100,53011040101,41.0
53005010100,53033008200,108.0
53005010100,53021020605,128.0
53005010100,53005010815,301.0
53005010100,53005011402,70.0
53005010100,53021020501,98.0
53005010100,53021020606,280.0
53005010100,53033003601,213.0
53005010100,53035092500,83.0
53005010100,53033008002,181.0
53005010100,53005010300,289.0
53005010100,53005010203,2206.0
53005010100,53033004402,185.0
53005010100,53005010809,2125.0
53005010100,53005010500,6790.0
53005010100,53005010807,90.0
53005010100,53035092400,102.0
53005010100,53013960200,85.0
53005010100,53005011100,203.0
53005010100,53005010600,6499.0
53005010100,53033026200,82.0
53005010100,53033008101,295.0
53005010100,53033008500,87.0
53005010100,53021020504,341.0
53005010100,53033005306,109.0
53005010100,53005010703,124.0
53005010100,53005011501,117.0
53005010100,53005011600,120.0
53005010100,53005011702,136.0
53005010100,53071920600,113.0
53005010100,53005010901,2246.0
53005010100,53005010902,267.0
53005010100,53005011002,251.0
53005010100,53033028402,287.0
