,origin,destination,flow
0,53001950100,53001950100,5006.0
1,53001950100,53001950200,80.0
2,53001950100,53021020700,80.0
3,53001950100,53037975600,80.0
4,53001950100,53043960100,80.0
5,53001950100,53043960400,480.0
6,53001950100,53053060700,80.0
7,53001950100,53065941000,80.0
8,53001950100,53065950700,80.0
9,53001950100,53077000401,100.0
10,53001950200,53001950100,770.0
11,53001950200,53001950200,385.0
12,53001950200,53001950301,240.0
13,53001950200,53007961102,96.0
14,53001950200,53021020801,192.0
15,53001950200,53037975500,96.0
16,53001950301,53001950100,317.0
17,53001950301,53001950200,211.0
18,53001950301,53001950301,1772.0
19,53001950301,53007960804,211.0
20,53001950301,53011041114,105.0
21,53001950301,53021020700,105.0
22,53001950301,53021020801,423.0
23,53001950301,53025010600,105.0
24,53001950301,53033020800,211.0
25,53001950301,53033032706,105.0
26,53001950301,53033032703,105.0
27,53001950301,53037975101,132.0
28,53001950301,53037975402,264.0
29,53001950301,53043960100,105.0
30,53001950301,53043960200,105.0
31,53001950301,53061041813,105.0
32,53001950301,53071920000,105.0
33,53001950301,53077001400,211.0
34,53001950301,53077001502,105.0
35,53003960200,53001950200,98.0
36,53003960200,53003960200,1425.0
37,53003960200,53011040608,98.0
38,53003960200,53043960400,98.0
39,53003960200,53053070310,98.0
40,53003960200,53061040100,98.0
41,53003960200,53065950300,295.0
42,53003960200,53065950500,196.0
43,53003960200,53071920100,98.0
44,53005011900,53005011900,9593.0
45,53005011900,53007960804,199.0
46,53005011900,53007961002,99.0
47,53005011900,53009001000,99.0
48,53005011900,53009002302,99.0
49,53005011900,53011040304,99.0
50,53005011900,53017950500,99.0
51,53005011900,53027000501,99.0
52,53005011900,53033025302,99.0
53,53005011900,53037975700,99.0
54,53005011900,53053072106,99.0
55,53005011900,53071920000,99.0
56,53005011900,53077001300,99.0
57,53005011900,53077001400,224.0
58,53005011900,53077001503,99.0
59,53005011900,53077940003,324.0
60,53005012000,53005012000,5.0
61,53007960100,53001950100,86.0
62,53007960100,53007960100,1829.0
63,53007960100,53007960600,172.0
64,53007960100,53007960700,774.0
65,53007960100,53007960801,86.0
66,53007960100,53007960804,2862.0
67,53007960100,53007961002,602.0
68,53007960100,53007961102,516.0
69,53007960100,53007961304,172.0
70,53007960100,53015002004,86.0
71,53007960100,53017950500,1205.0
72,53007960100,53017950700,172.0
73,53007960100,53017950800,1571.0
74,53007960100,53037975101,258.0
75,53007960100,53037975402,172.0
76,53007960100,53037975600,86.0
77,53007960100,53041971000,86.0
78,53007960100,53047970900,107.0
79,53007960100,53061051500,86.0
80,53007960203,53001950100,112.0
81,53007960203,53007960203,22367.0
82,53007960203,53007960600,1009.0
83,53007960203,53007960700,336.0
84,53007960203,53007960804,5241.0
85,53007960203,53007961002,1709.0
86,53007960203,53007961102,784.0
87,53007960203,53007961304,112.0
88,53007960203,53015001200,112.0
89,53007960203,53017950400,112.0
90,53007960203,53017950500,1177.0
91,53007960203,53017950800,812.0
92,53007960203,53027000501,112.0
93,53007960203,53033022702,112.0
94,53007960203,53033023701,140.0
95,53007960203,53033023808,224.0
96,53007960203,53033024701,112.0
97,53007960203,53033032219,224.0
98,53007960203,53033032225,448.0
99,53007960203,53037975101,448.0
100,53007960203,53037975403,112.0
101,53007960203,53061040400,112.0
102,53007960203,53061040700,140.0
103,53007960203,53061041906,168.0
104,53007960203,53061050402,112.0
105,53007960203,53061051702,112.0
106,53007960203,53061052805,140.0
107,53007960203,53061053604,112.0
108,53007960203,53061053803,112.0
109,53007960203,53073000401,112.0
110,53007960203,53073001000,448.0
111,53007960203,53073001202,112.0
112,53007960203,53073010408,112.0
113,53007960600,53007960203,1750.0
114,53007960600,53007960600,7382.0
115,53007960600,53007960700,1721.0
116,53007960600,53007960804,8870.0
117,53007960600,53007961002,2450.0
118,53007960600,53007961102,1371.0
119,53007960600,53007961301,116.0
120,53007960600,53017950300,233.0
121,53007960600,53017950500,1079.0
122,53007960600,53017950700,116.0
123,53007960600,53017950800,1663.0
124,53007960600,53025010600,233.0
125,53007960600,53033023701,116.0
126,53007960600,53033032704,116.0
127,53007960600,53049950600,116.0
128,53007960600,53053071808,116.0
129,53007960600,53061040100,116.0
130,53007960600,53061040700,116.0
131,53007960600,53061041301,116.0
132,53007960600,53061041813,116.0
133,53007960600,53061051930,116.0
134,53007960600,53077001400,116.0
135,53007960600,53077003200,116.0
136,53007960700,53007960100,189.0
137,53007960700,53007960203,1011.0
138,53007960700,53007960600,631.0
139,53007960700,53007960700,3518.0
140,53007960700,53007960801,84.0
141,53007960700,53007960804,11902.0
142,53007960700,53007961002,4107.0
143,53007960700,53007961102,1474.0
144,53007960700,53007961200,84.0
145,53007960700,53007961301,84.0
146,53007960700,53007961304,947.0
147,53007960700,53017950300,337.0
148,53007960700,53017950400,84.0
149,53007960700,53017950500,3328.0
150,53007960700,53017950600,168.0
151,53007960700,53017950700,484.0
152,53007960700,53017950800,1853.0
153,53007960700,53025010600,84.0
154,53007960700,53033022701,84.0
155,53007960700,53033022803,84.0
156,53007960700,53033032103,84.0
157,53007960700,53033032704,84.0
158,53007960700,53037975101,168.0
159,53007960700,53061051802,84.0
160,53007960700,53061052805,168.0
161,53007960700,53061052905,84.0
162,53007960700,53071920000,168.0
163,53007960700,53073000501,84.0
164,53007960700,53077000903,126.0
165,53007960801,53007960100,99.0
166,53007960801,53007960203,399.0
167,53007960801,53007960600,673.0
168,53007960801,53007960700,599.0
169,53007960801,53007960801,299.0
170,53007960801,53007960804,6889.0
171,53007960801,53007961002,4043.0
172,53007960801,53007961102,1347.0
173,53007960801,53007961200,99.0
174,53007960801,53007961301,99.0
175,53007960801,53007961304,1173.0
176,53007960801,53017950200,99.0
177,53007960801,53017950300,349.0
178,53007960801,53017950400,99.0
179,53007960801,53017950500,1472.0
180,53007960801,53017950600,99.0
181,53007960801,53017950700,399.0
182,53007960801,53017950800,1023.0
183,53007960801,53021020700,124.0
184,53007960801,53033023808,99.0
185,53007960801,53033032327,99.0
186,53007960801,53033032704,99.0
187,53007960801,53037975101,99.0
188,53007960801,53037975500,99.0
189,53007960801,53037975700,99.0
190,53007960801,53061051928,99.0
191,53007960801,53061052905,299.0
192,53007960801,53073000301,99.0
193,53007960801,53073000401,99.0
194,53007960801,53077000903,99.0
195,53007960804,53007960100,92.0
196,53007960804,53007960203,929.0
197,53007960804,53007960600,464.0
198,53007960804,53007960700,1231.0
199,53007960804,53007960801,650.0
200,53007960804,53007960804,22354.0
201,53007960804,53007961002,4182.0
202,53007960804,53007961102,3090.0
203,53007960804,53007961200,92.0
204,53007960804,53007961304,975.0
205,53007960804,53017950200,185.0
206,53007960804,53017950300,464.0
207,53007960804,53017950400,92.0
208,53007960804,53017950500,1859.0
209,53007960804,53017950600,278.0
210,53007960804,53017950700,929.0
211,53007960804,53017950800,3555.0
212,53007960804,53025010600,278.0
213,53007960804,53029972100,92.0
214,53007960804,53033000102,92.0
215,53007960804,53033023808,116.0
216,53007960804,53033032103,185.0
217,53007960804,53037975101,185.0
218,53007960804,53037975403,92.0
219,53007960804,53037975402,185.0
220,53007960804,53037975600,92.0
221,53007960804,53037975700,92.0
222,53007960804,53061041000,92.0
223,53007960804,53061051702,92.0
224,53007960804,53061051802,92.0
225,53007960804,53073001000,92.0
226,53007960804,53077000401,92.0
227,53007960804,53077003003,92.0
