origin,destination,flow
53001950400,53001950400,5323.0
53001950400,53021020404,95.0
53001950400,53001950500,4482.0
53001950400,53021020102,301.0
53001950400,53025011102,232.0
53001950400,53021020202,254.0
53001950400,53063000400,157.0
53001950400,53005011300,144.0
53001950400,53033028402,408.0
53001950400,53025010700,158.0
53001950400,53005010901,779.0
53001950400,53005011702,170.0
53001950400,53025011002,885.0
53001950400,53025010904,1965.0
53001950400,53063014001,238.0
53001950400,53075000400,192.0
53001950400,53025010401,215.0
53001950400,53005010809,1127.0
53001950400,53021020606,446.0
53001950400,53021020605,729.0
53001950500,53001950500,7120.0
53001950500,53021020102,163.0
53001950500,53077002003,96.0
53001950500,53001950400,7010.0
53001950500,53025011102,672.0
53001950500,53077940002,97.0
53001950500,53077002701,70.0
53001950500,53063010401,235.0
53001950500,53025011300,260.0
53001950500,53077940005,102.0
53001950500,53025010800,114.0
53001950500,53021020300,211.0
53001950500,53077002005,101.0
53001950500,53005010901,692.0
53001950500,53053061601,135.0
53001950500,53071920600,111.0
53001950500,53061041202,268.0
53001950500,53033029203,136.0
53001950500,53033005303,119.0
53001950500,53063003200,142.0
53001950500,53025011002,2688.0
53001950500,53025010904,2172.0
53001950500,53077001801,158.0
53001950500,53025011200,159.0
53001950500,53005010600,158.0
53001950500,53025011406,170.0
53001950500,53005011100,181.0
53001950500,53063013700,162.0
53001950500,53005010500,742.0
53001950500,53005010809,3841.0
53001950500,53067012331,186.0
53001950500,53021020606,167.0
53001950500,53021020605,1076.0
53001950500,53063010902,199.0
53001950500,53005010817,2011.0
53001950500,53005010819,1305.0
53001950500,53021980100,226.0
53003960100,53003960100,1027.0
53003960100,53063001100,45.0
53003960100,53063000900,57.0
53003960100,53003960600,427.0
53003960100,53071920801,141.0
53003960100,53075000602,125.0
53003960100,53063013700,70.0
53003960100,53005010600,69.0
53003960100,53075000400,141.0
53003960100,53075000201,123.0
53003960100,53033009300,62.0
53003960100,53071920702,81.0
53003960100,53063002501,97.0
53003960100,53063003900,80.0
53003960100,53003960500,1636.0
53003960100,53063003500,88.0
53003960100,53003960300,9380.0
53003960100,53063002000,113.0
53003960100,53063011702,106.0
53003960100,53063000400,91.0
53003960100,53063011203,122.0
53003960100,53003960400,113.0
53003960100,53077002003,129.0
53003960100,53063014500,119.0
53003960100,53071920400,393.0
53003960300,53003960300,5031.0
53003960300,53063003500,56.0
53003960300,53063012901,65.0
53003960300,53063003200,85.0
53003960300,53003960500,1582.0
53003960300,53063002501,158.0
53003960300,53075000400,175.0
53003960300,53077002005,94.0
53003960300,53005010809,283.0
53003960300,53003960600,257.0
53003960300,53063011701,128.0
53003960300,53005010815,141.0
53003960300,53003960100,284.0
53003960300,53063010902,159.0
53003960300,53005010817,382.0
53003960400,53003960400,452.0
53003960400,53033028802,102.0
53003960400,53003960300,4464.0
53003960400,53003960500,499.0
53003960400,53075000400,263.0
53003960400,53003960600,332.0
53003960400,53003960100,181.0
53003960500,53003960500,1436.0
53003960500,53063011800,101.0
53003960500,53063003900,89.0
53003960500,53003960300,6094.0
53003960500,53071920600,146.0
53003960500,53035092101,112.0
53003960500,53013960200,397.0
53003960500,53035092200,120.0
53003960500,53003960400,614.0
53003960500,53001950500,161.0
53003960500,53071920801,178.0
53003960500,53003960600,1432.0
53003960500,53037975201,205.0
53003960500,53003960100,209.0
53003960600,53003960600,389.0
53003960600,53063011701,44.0
53003960600,53033004301,51.0
53003960600,53033005201,54.0
53003960600,53063010506,58.0
53003960600,53063001100,54.0
53003960600,53003960100,142.0
53003960600,53063013700,59.0
53003960600,53033001202,63.0
53003960600,53013960200,144.0
53003960600,53075000400,79.0
53003960600,53075000100,139.0
53003960600,53033026200,85.0
53003960600,53063011900,76.0
53003960600,53063011102,91.0
53003960600,53003960500,2142.0
53003960600,53033005303,175.0
53003960600,53033008004,86.0
53003960600,53003960300,7709.0
53003960600,53071920302,103.0
53003960600,53063000400,111.0
53003960600,53071920500,120.0
53003960600,53071920400,104.0
53005010100,53005010100,1449.0
53005010100,53033008402,102.0
53005010100,53005010201,758.0
53005010100,53033010200,88.0
53005010100,53011040101,70.0
53005010100,53005010708,173.0
53005010100,53005010810,74.0
53005010100,53033008200,78.0
53005010100,53005010817,1266.0
53005010100,53021020605,117.0
53005010100,53005010811,73.0
53005010100,53005010819,561.0
53005010100,53067012002,76.0
53005010100,53005010815,255.0
53005010100,53005011402,70.0
53005010100,53021020501,86.0
53005010100,53021020606,238.0
53005010100,53033003601,241.0
53005010100,53035092500,87.0
53005010100,53033008002,191.0
53005010100,53005010300,273.0
53005010100,53005010203,2238.0
53005010100,53033004402,160.0
53005010100,53005010809,2101.0
53005010100,53005010500,6747.0
53005010100,53005010807,92.0
53005010100,53035092400,111.0
53005010100,53013960200,113.0
53005010100,53005011100,241.0
53005010100,53005010600,6464.0
53005010100,53033026200,94.0
53005010100,53033008101,306.0
53005010100,53033008500,85.0
53005010100,53021020504,300.0
53005010100,53033005306,99.0
53005010100,53005010703,115.0
53005010100,53005011501,117.0
53005010100,53005011600,116.0
53005010100,53005011702,119.0
53005010100,53071920600,119.0
53005010100,53005010901,2262.0
53005010100,53005010902,243.0
53005010100,53005011002,256.0
53005010100,53033028402,265.0
53005010100,53021020102,342.0
53005010100,53005011001,391.0
53005010100,53021020404,553.0
53005010100,53071920500,277.0
53005010100,53005011201,132.0
53005010100,53021020300,291.0
53005010100,53021020202,143.0
53005010100,53021980100,466.0
53005010201,53005010201,1563.0
53005010201,53005010100,698.0
53005010201,53005011506,116.0
53005010201,53005010708,431.0
53005010201,53005010810,64.0
53005010201,53021020605,435.0
53005010201,53005010817,2249.0
53005010201,53005010705,130.0
53005010201,53005010819,524.0
53005010201,53005010815,150.0
53005010201,53005010707,49.0
