origin,destination,flow,target
53041971600,53041971600,2970.0,2970.0
53077001601,53077001601,231.0,231.0
53011040604,53011042900,134.06856,159.0
53011040604,53011042700,172.1536,0.0
53011040604,53011041105,209.04648,141.0
53011040604,53011041309,687.0961,0.0
53011040604,53011041333,929.79346,0.0
53011040604,53011041208,405.73874,70.0
53011040604,53011041334,1492.2017,141.0
53011040604,53011041110,152.12648,0.0
53011040604,53011041322,697.5058,1416.0
53011040604,53011042100,82.68441,0.0
53011040604,53011042400,68.32833,708.0
53011040604,53011041337,676.8657,761.0
53011040604,53011041203,374.94128,460.0
53011040604,53011041104,397.65826,0.0
53011040604,53011043000,209.55797,0.0
53011040604,53011041330,774.29987,0.0
53011040604,53011041329,1383.5939,2567.0
53011040604,53011041326,850.92523,5472.0
53011040604,53011041319,951.26355,690.0
53011040604,53011041317,635.99054,584.0
53011040604,53011041321,1352.2329,265.0
53011040604,53011041111,222.56406,0.0
53011040604,53011041331,511.4959,70.0
53011040604,53011042800,173.12648,0.0
53011040604,53011040604,3076.5889,2461.0
53011040604,53011041313,430.4606,371.0
53011040604,53011041003,84.901535,0.0
53011040604,53011041325,1268.8583,159.0
53011040604,53011041900,84.320045,141.0
53011040604,53011042000,60.00831,0.0
53011040604,53011042300,84.56719,70.0
53011040604,53011041206,373.18546,70.0
53011040604,53011041312,710.55304,1576.0
53011040604,53011041328,1242.213,920.0
53011040604,53011042601,116.406166,885.0
53011040604,53011041700,144.48596,141.0
53011040604,53011042500,58.403645,460.0
53011040604,53011041114,327.7263,2390.0
53011040604,53011041320,838.8953,1416.0
53011040604,53011043100,295.99896,141.0
53011040604,53011041332,972.74255,141.0
53011040604,53011041205,322.28067,495.0
53011040604,53011041112,203.4412,141.0
53011040604,53011041310,896.02185,141.0
53011040604,53011041800,122.388176,0.0
53011040604,53011041600,191.07349,407.0
53011040604,53011041011,126.334496,141.0
53011040604,53011041323,1248.8851,655.0
53011041003,53011041600,341.3808,233.0
53011041003,53011041105,284.29117,310.0
53011041003,53011041003,1125.1609,1379.0
53011041003,53011041700,487.8691,310.0
53011041003,53011042300,713.1498,252.0
53011041003,53011041011,576.3511,310.0
53011041003,53011041323,59.746002,0.0
53011041003,53011041900,623.60406,2351.0
53011041003,53011042100,762.73505,0.0
53011041003,53011041313,132.29697,77.0
53011041003,53011041309,83.96347,0.0
53011041003,53011041325,35.44612,0.0
53011041003,53011041312,92.6201,155.0
53011041003,53011041206,130.59073,155.0
53011041003,53011041208,136.33546,0.0
53011041003,53011041310,62.28522,0.0
53011041003,53011041329,41.18222,0.0
53011041003,53011042500,451.00577,699.0
53011041003,53011041321,47.7125,0.0
53011041003,53011041320,68.478035,77.0
53011041003,53011042601,393.83795,1243.0
53011041003,53011041203,165.1842,233.0
53011041003,53011041114,222.65219,1146.0
53011041003,53011042400,591.1562,1107.0
53011041003,53011041800,604.51324,0.0
53011041003,53011041331,114.04826,0.0
53011041003,53011041111,332.50894,77.0
53011041003,53011041333,74.60205,0.0
53011041003,53011041332,75.74971,0.0
53011041003,53011041337,89.02448,233.0
53011041003,53011040604,31.813372,155.0
53011041003,53011042900,224.16116,349.0
53011041003,53011041322,86.02124,155.0
53011041003,53011041110,302.44147,77.0
53011041003,53011043000,206.7385,0.0
53011041003,53011042800,331.80902,77.0
53011041003,53011041334,51.906013,0.0
53011041003,53011041112,223.83273,0.0
53011041003,53011041319,66.96146,0.0
53011041003,53011041326,67.48619,155.0
53011041003,53011041317,97.79236,77.0
53011041003,53011041104,182.3883,77.0
53011041003,53011041330,85.9906,0.0
53011041003,53011042000,674.3048,77.0
53011041003,53011041328,37.31693,0.0
53011041003,53011042700,365.5732,77.0
53011041003,53011041205,180.96335,544.0
53011041003,53011043100,185.01729,155.0
