,destination,origin,flow
0,53033000100,53033000100,41647
1,53033000100,53033000200,2629
2,53033000100,53033000401,952
3,53033000100,53033000402,417
4,53033000100,53033000600,150
5,53033000200,53033000100,7064
6,53033000200,53033000200,46158
7,53033000200,53033000401,1995
8,53033000200,53033000402,1518
9,53033000200,53033000500,1146
10,53033000401,53033000100,630
11,53033000401,53033000200,1026
12,53033000401,53033000401,12197
13,53033000401,53033000402,8054
14,53033000401,53033000500,885
15,53033000402,53033000100,35
16,53033000402,53033000401,59
17,53033000402,53033000402,894
18,53033000402,53033000500,130
19,53033000600,53033000100,4619
20,53033000600,53033000200,7961
21,53033000600,53033000401,8972
22,53033000600,53033000402,6263
23,53033000600,53033000500,10239
24,53033000700,53033000100,13914
25,53033000700,53033000200,11284
26,53033000700,53033000401,1353
27,53033000700,53033000402,471
28,53033000700,53033000500,836
29,53033000800,53033000100,446
30,53033000800,53033000200,194
31,53033000800,53033000401,61
32,53033000800,53033000402,90
33,53033000900,53033000100,3845
34,53033000900,53033000200,1479
35,53033000900,53033000401,576
36,53033000900,53033000402,106
37,53033001000,53033000100,7682
38,53033001000,53033000200,6468
39,53033001000,53033000401,746
40,53033001000,53033000402,581
41,53033001000,53033000500,1194
42,53033001100,53033000100,763
43,53033001100,53033000200,648
44,53033001100,53033000401,165
45,53033001100,53033000500,45
46,53033001200,53033000100,4761
47,53033001200,53033000200,5293
48,53033001200,53033000401,2374
49,53033001200,53033000402,1356
50,53033001200,53033000500,1065
51,53033001300,53033000100,863
52,53033001300,53033000200,408
53,53033001300,53033000401,940
54,53033001300,53033000402,571
55,53033001300,53033000500,238
56,53033001400,53033000100,91
57,53033001400,53033000200,52
58,53033001400,53033000401,90
59,53033001400,53033000402,349
60,53033001500,53033000100,32
61,53033001500,53033000401,92
62,53033001500,53033000402,403
63,53033001500,53033000500,296
64,53033001600,53033000100,375
65,53033001600,53033000200,542
66,53033001600,53033000401,271
67,53033001600,53033000402,543
68,53033001600,53033000500,2240
69,53033001701,53033000100,221
70,53033001701,53033000200,790
71,53033001701,53033000401,374
