Unnamed: 0,destination,origin,flow
0,53033000100,53033000100,35290
1,53033000100,53033000200,2565
2,53033000100,53033000401,790
3,53033000100,53033000402,409
4,53033000100,53033000600,163
5,53033000200,53033000100,6953
6,53033000200,53033000200,49585
7,53033000200,53033000401,2011
8,53033000200,53033000402,1524
9,53033000200,53033000500,954
10,53033000401,53033000100,625
11,53033000401,53033000200,1251
12,53033000401,53033000401,12523
13,53033000401,53033000402,8294
14,53033000401,53033000500,710
15,53033000402,53033000100,31
16,53033000402,53033000401,61
17,53033000402,53033000402,916
18,53033000402,53033000500,130
19,53033000600,53033000100,4370
20,53033000600,53033000200,7932
21,53033000600,53033000401,7432
22,53033000600,53033000402,6591
23,53033000600,53033000500,11202
24,53033000700,53033000100,14869
25,53033000700,53033000200,12582
26,53033000700,53033000401,1468
27,53033000700,53033000402,383
28,53033000700,53033000500,778
29,53033000800,53033000100,547
30,53033000800,53033000200,169
31,53033000800,53033000401,66
32,53033000800,53033000402,90
33,53033000900,53033000100,3714
34,53033000900,53033000200,1393
35,53033000900,53033000401,592
36,53033000900,53033000402,120
37,53033001000,53033000100,7645
38,53033001000,53033000200,7149
39,53033001000,53033000401,736
40,53033001000,53033000402,507
41,53033001000,53033000500,1200
42,53033001100,53033000100,635
43,53033001100,53033000200,604
44,53033001100,53033000401,181
45,53033001100,53033000500,50
46,53033001200,53033000100,4177
47,53033001200,53033000200,5621
48,53033001200,53033000401,2190
49,53033001200,53033000402,1358
50,53033001200,53033000500,901
51,53033001300,53033000100,881
52,53033001300,53033000200,391
53,53033001300,53033000401,1023
54,53033001300,53033000402,632
55,53033001300,53033000500,215
56,53033001400,53033000100,77
57,53033001400,53033000200,44
58,53033001400,53033000401,96
59,53033001400,53033000402,387
60,53033001500,53033000100,34
61,53033001500,53033000401,80
62,53033001500,53033000402,358
63,53033001500,53033000500,330
64,53033001600,53033000100,329
65,53033001600,53033000200,531
66,53033001600,53033000401,333
67,53033001600,53033000402,589
68,53033001600,53033000500,2445
69,53033001701,53033000100,206
70,53033001701,53033000200,692
71,53033001701,53033000401,401
72,53033001701,53033000402,423
73,53033001701,53033000500,992
74,53033001702,53033000100,302
75,53033001702,53033000200,110
76,53033001702,53033000401,327
77,53033001702,53033000402,851
78,53033001702,53033000500,346
79,53033001900,53033000100,3599
80,53033001900,53033000200,6696
81,53033001900,53033000401,4110
82,53033001900,53033000402,1847
83,53033001900,53033000500,1407
84,53033002000,53033000100,892
85,53033002000,53033000200,977
86,53033002000,53033000401,140
87,53033002000,53033000402,257
88,53033002000,53033000500,260
89,53033002100,53033000100,367
90,53033002100,53033000200,392
91,53033002100,53033000402,43
92,53033002200,53033000100,10400
93,53033002200,53033000200,6512
94,53033002200,53033000401,2668
