origin,destination,flow
53003960100,53003960100,2009.0
53003960100,53003960300,8342.0
53003960100,53003960400,86.0
53003960100,53003960500,1534.0
53003960100,53003960600,626.0
53003960100,53031950702,86.0
53003960100,53033009300,86.0
53003960100,53051970300,86.0
53003960100,53063000400,86.0
53003960100,53063001100,86.0
53003960100,53063002000,86.0
53003960100,53063002500,86.0
53003960100,53063003500,86.0
53003960100,53063003900,86.0
53003960100,53063011201,86.0
53003960100,53063011702,86.0
53003960100,53063014500,86.0
53003960100,53071920100,86.0
53003960300,53003960100,141.0
53003960300,53003960300,6127.0
53003960300,53003960500,1345.0
53003960300,53003960600,159.0
53003960300,53005010803,159.0
53003960300,53063002500,141.0
53003960300,53063003200,70.0
53003960300,53063003500,70.0
53003960300,53063010900,70.0
53003960300,53063011701,70.0
53003960300,53075000800,70.0
53003960400,53003960100,104.0
53003960400,53003960300,4499.0
53003960400,53003960400,728.0
53003960400,53003960500,442.0
53003960400,53003960600,208.0
53003960500,53003960100,106.0
53003960500,53003960300,6636.0
53003960500,53003960400,453.0
53003960500,53003960500,2052.0
53003960500,53003960600,826.0
53003960500,53037975200,106.0
53003960500,53063003900,106.0
53003960500,53075000800,106.0
53003960600,53003960100,198.0
53003960600,53003960300,6930.0
53003960600,53003960500,2090.0
53003960600,53003960600,924.0
53003960600,53033001200,88.0
53003960600,53033004301,88.0
53003960600,53033005200,88.0
53003960600,53033005302,176.0
53003960600,53033008001,88.0
53003960600,53039950100,88.0
53003960600,53043960100,88.0
53003960600,53063000400,88.0
53003960600,53063001100,88.0
53003960600,53063010501,88.0
53003960600,53063010503,88.0
53003960600,53063011102,88.0
53003960600,53063011701,88.0
53003960600,53063011900,88.0
53003960600,53065950800,88.0
53003960600,53075000800,176.0
53003960600,53075000900,88.0
53005010201,53005010201,2543.0
53005010201,53005010300,662.0
53005010201,53005010400,108.0
53005010201,53005010500,6128.0
53005010201,53005010703,162.0
53005010201,53005010705,162.0
53005010201,53005010707,54.0
53005010201,53005010708,595.0
53005010201,53005010803,2854.0
53005010201,53005010807,54.0
53005010201,53005011501,54.0
53005010201,53005011700,270.0
53005010201,53007960300,108.0
53005010201,53011040302,54.0
53005010201,53011040808,54.0
53005010201,53015001502,54.0
53005010201,53017950500,54.0
53005010201,53021020700,54.0
53005010201,53025010700,54.0
53005010201,53025011200,54.0
53005010201,53033029303,54.0
53005010201,53037975402,54.0
53005010201,53039950200,54.0
53005010201,53063003500,54.0
53005010201,53063012300,81.0
53005010201,53071920100,54.0
53005010201,53077001800,54.0
53005010300,53005010201,820.0
53005010300,53005010300,2486.0
53005010300,53005010400,770.0
53005010300,53005010500,5420.0
53005010300,53005010703,99.0
53005010300,53005010707,198.0
53005010300,53005010708,298.0
53005010300,53005010803,4152.0
53005010300,53005010807,99.0
53005010300,53005011501,99.0
53005010300,53005011700,198.0
53005010300,53007960801,99.0
53005010300,53033008100,99.0
53005010300,53033009300,99.0
53005010300,53033022201,99.0
53005010300,53061051802,99.0
53005010300,53063000400,149.0
53005010300,53063003200,198.0
53005010300,53063003500,99.0
53005010300,53063011702,99.0
53005010300,53071920000,198.0
53005010300,53077940002,99.0
53005010400,53005010201,686.0
53005010400,53005010300,416.0
53005010400,53005010400,686.0
53005010400,53005010500,4141.0
53005010400,53005010705,294.0
53005010400,53005010708,294.0
53005010400,53005010803,1617.0
53005010400,53005010811,98.0
53005010400,53007960802,98.0
53005010400,53033007100,98.0
53005010400,53037975402,196.0
53005010400,53037975500,98.0
53005010400,53037975600,98.0
53005010400,53049950500,98.0
53005010400,53063000400,98.0
53005010500,53005010201,763.0
53005010500,53005010300,407.0
53005010500,53005010400,271.0
53005010500,53005010500,6292.0
53005010500,53005010703,67.0
53005010500,53005010705,135.0
53005010500,53005010708,203.0
53005010500,53005010803,1187.0
53005010500,53005010807,135.0
53005010500,53005011700,67.0
53005010500,53041970800,67.0
53005010500,53063002500,67.0
53005010500,53063003200,67.0
53005010500,53063011702,67.0
53005010500,53077940002,67.0
53005010701,53005010201,109.0
53005010701,53005010300,109.0
53005010701,53005010500,987.0
53005010701,53005010701,109.0
53005010701,53005010703,109.0
53005010701,53005010705,109.0
53005010701,53005010708,877.0
53005010701,53005010803,3208.0
53005010701,53005010807,109.0
53005010701,53005011700,329.0
53005010701,53025011100,109.0
53005010701,53041971400,109.0
53005010701,53063002400,219.0
53005010701,53063002500,109.0
53005010701,53067010100,109.0
53005010701,53071920000,109.0
53005010703,53005010201,439.0
53005010703,53005010300,62.0
53005010703,53005010400,62.0
53005010703,53005010500,2119.0
53005010703,53005010703,1130.0
53005010703,53005010705,408.0
53005010703,53005010708,2088.0
53005010703,53005010803,2810.0
53005010703,53005010807,62.0
53005010703,53005011700,62.0
53005010703,53021020700,62.0
53005010703,53033008100,62.0
53005010703,53033008700,125.0
53005010703,53037975200,62.0
53005010703,53037975402,62.0
53005010703,53063003200,125.0
53005010703,53063003500,62.0
53005010703,53063004000,62.0
53005010703,53063012100,62.0
53005010703,53063012200,125.0
53005010703,53077002200,62.0
53005010705,53005010201,531.0
53005010705,53005010300,265.0
53005010705,53005010400,265.0
53005010705,53005010500,2901.0
53005010705,53005010703,753.0
53005010705,53005010705,1373.0
53005010705,53005010708,3101.0
53005010705,53005010803,9237.0
53005010705,53005010811,88.0
53005010705,53005011700,177.0
53005010705,53033004100,88.0
53005010705,53033007100,265.0
53005010705,53033007200,88.0
53005010705,53033010900,88.0
53005010705,53033026300,88.0
53005010705,53037975402,88.0
53005010705,53053070100,88.0
53005010705,53063010900,88.0
53005010705,53063011102,110.0
53005010705,53063012401,88.0
53005010705,53071920100,177.0
53005010705,53077001800,88.0
53005010705,53077001901,88.0
53005010707,53005010201,954.0
53005010707,53005010300,177.0
53005010707,53005010500,2242.0
53005010707,53005010701,88.0
53005010707,53005010703,266.0
53005010707,53005010705,688.0
53005010707,53005010707,355.0
53005010707,53005010708,1953.0
53005010707,53005010803,7925.0
53005010707,53005010807,177.0
53005010707,53005010811,88.0
53005010707,53005010814,222.0
53005010707,53005011700,88.0
53005010707,53031950601,266.0
53005010707,53033006700,88.0
53005010707,53049950500,88.0
53005010707,53077001800,266.0
53005010707,53077940005,88.0
53005010708,53005010201,686.0
53005010708,53005010300,291.0
53005010708,53005010400,116.0
53005010708,53005010500,1941.0
53005010708,53005010701,58.0
53005010708,53005010703,890.0
53005010708,53005010705,525.0
53005010708,53005010708,2568.0
53005010708,53005010803,4466.0
53005010708,53005010807,58.0
53005010708,53005011600,58.0
53005010708,53005011700,233.0
53005010708,53007960802,72.0
53005010708,53021020700,58.0
53005010708,53025010902,58.0
53005010708,53033004301,58.0
53005010708,53033010100,58.0
53005010708,53033010300,58.0
53005010708,53033011402,116.0
53005010708,53037975402,116.0
53005010708,53037975500,58.0
53005010708,53037975600,58.0
53005010708,53063010501,58.0
53005010708,53071920000,116.0
53005010708,53077001901,58.0
53005010803,53003960300,161.0
53005010803,53005010201,1214.0
53005010803,53005010300,356.0
53005010803,53005010400,194.0
53005010803,53005010500,4178.0
53005010803,53005010701,129.0
53005010803,53005010703,194.0
53005010803,53005010705,647.0
53005010803,53005010707,64.0
53005010803,53005010708,583.0
53005010803,53005010803,15125.0
53005010803,53005010807,194.0
53005010803,53005010811,161.0
53005010803,53005011600,64.0
53005010803,53005011700,323.0
53005010803,53007960400,64.0
53005010803,53015002100,64.0
53005010803,53033002400,64.0
53005010803,53033005302,64.0
53005010803,53033007200,64.0
53005010803,53033007300,64.0
53005010803,53033008200,64.0
53005010803,53033009500,129.0
53005010803,53033032800,64.0
53005010803,53037975200,80.0
53005010803,53037975402,64.0
53005010803,53037975600,64.0
53005010803,53063003500,64.0
53005010803,53067011200,64.0
53005010803,53071920000,64.0
53005010803,53071920100,129.0
53005010803,53077001800,129.0
53005010803,53077002200,64.0
53005010807,53005010201,160.0
53005010807,53005010500,660.0
53005010807,53005010703,80.0
53005010807,53005010705,160.0
53005010807,53005010708,240.0
53005010807,53005010803,2680.0
53005010807,53005010807,200.0
53005010807,53005011700,160.0
53005010807,53033008100,80.0
53005010807,53033008300,160.0
53005010807,53037975600,80.0
53005010807,53041970300,80.0
53005010807,53063000400,80.0
53005010807,53063011102,160.0
53005010807,53077940005,80.0
53005010811,53003960300,61.0
53005010811,53005010201,368.0
53005010811,53005010300,61.0
53005010811,53005010400,61.0
53005010811,53005010500,2040.0
53005010811,53005010701,61.0
53005010811,53005010703,122.0
53005010811,53005010705,322.0
53005010811,53005010708,199.0
53005010811,53005010803,6029.0
53005010811,53005010807,122.0
53005010811,53005010811,291.0
53005010811,53005011600,61.0
53005010811,53005011700,138.0
53005010811,53011040411,122.0
53005010811,53025011401,138.0
53005010811,53033001200,61.0
53005010811,53033004100,76.0
53005010811,53033005302,61.0
53005010811,53033008100,76.0
53005010811,53033010002,61.0
53005010811,53037975402,61.0
53005010811,53047971000,61.0
53005010811,53063002400,61.0
53005010811,53063002500,61.0
53005010811,53063003600,61.0
53005010811,53063010900,122.0
