origin,destination,demographic_o,demographic_d,population_o,population_d,flow
53001950300,53001950100,,0.6654,,2606.0,317.0
53001950300,53001950300,,,,,1772.0
53001950300,53001950400,,0.9548,,3144.0,10770.0
53001950300,53001950500,,0.9399,,5660.0,10214.0
53001950300,53005011700,,,,,105.0
53001950300,53007960802,,,,,211.0
53001950300,53021020601,,,,,105.0
53001950300,53021020700,,0.6489,,1318.0,105.0
53001950300,53025010100,,0.7514,,3817.0,105.0
53001950300,53025011300,,0.9043,,3510.0,105.0
53001950300,53031950601,,,,,423.0
53001950300,53033021903,,0.5848,,6409.0,423.0
53001950300,53033032319,,0.4939,,6515.0,211.0
53001950300,53033032703,,0.1789,,2123.0,105.0
53001950300,53037975100,,,,,132.0
53001950300,53037975200,,,,,105.0
53001950300,53037975402,,0.5685,,5052.0,264.0
53001950300,53061041701,,0.7393,,5902.0,105.0
53001950300,53061041806,,,,,105.0
53001950300,53061053400,,0.2421,,6089.0,105.0
53001950300,53063000400,,0.9051,,3853.0,211.0
53001950300,53063000500,,0.4635,,3522.0,158.0
53001950300,53063001100,,0.3121,,3444.0,105.0
53001950300,53063002400,,0.6395,,2977.0,105.0
53001950300,53063003500,,0.7696,,2671.0,105.0
53001950300,53063004700,,,,,185.0
53001950300,53063010401,,0.9048,,7675.0,317.0
53001950300,53063011702,,0.8807,,7531.0,105.0
53001950300,53063011800,,0.7361,,5677.0,105.0
53001950300,53063013100,,,,,211.0
53001950300,53063014002,,0.3723,,6296.0,105.0
53001950300,53063014500,,0.9568,,2001.0,132.0
53001950300,53071920000,,0.7731,,5852.0,105.0
53001950300,53077001400,,0.8981,,3714.0,211.0
53001950300,53077001502,,0.9678,,2715.0,105.0
53001950300,53077001702,,0.5849,,6103.0,105.0
53001950400,53001950300,0.9548,,3144.0,,459.0
53001950400,53005011700,0.9548,,3144.0,,114.0
53001950400,53015002002,0.9548,,3144.0,,114.0
53001950500,53001950300,0.9399,,5660.0,,360.0
53001950500,53033000401,0.9399,,5660.0,,110.0
53001950500,53033005302,0.9399,,5660.0,,110.0
53001950500,53067012310,0.9399,,5660.0,,110.0
53003960300,53063002500,0.7909,,3633.0,,141.0
53003960500,53037975200,0.7123,,3517.0,,106.0
53003960600,53033001200,0.4018,,3894.0,,88.0
53003960600,53033005200,0.4018,,3894.0,,88.0
53003960600,53033005302,0.4018,,3894.0,,176.0
53003960600,53033008001,0.4018,,3894.0,,88.0
53003960600,53071920300,0.4018,,3894.0,,88.0
53005010701,53005011700,0.3743,,2035.0,,329.0
53005010701,53037975100,0.3743,,2035.0,,219.0
53005010701,53063002500,0.3743,,2035.0,,109.0
53005010703,53005011700,0.6872,,3316.0,,62.0
53005010703,53033008100,0.6872,,3316.0,,62.0
53005010703,53037975100,0.6872,,3316.0,,62.0
