geoid_o,geoid_d,pop_flows
53001950200,53001950200,385.0
53001950200,53005011200,192.0
53001950200,53005011300,289.0
53001950200,53005011503,96.0
53001950200,53007961100,96.0
53001950200,53021020200,289.0
53001950200,53021020300,96.0
53001950200,53021020400,481.0
53001950200,53021020502,385.0
53001950200,53025010700,96.0
53001950200,53033009600,96.0
53001950200,53063002400,96.0
53001950200,53063003200,96.0
53001950200,53063011400,168.0
53001950200,53063011702,96.0
53001950200,53063012200,96.0
53001950200,53063012300,96.0
53001950200,53063013000,192.0
53001950200,53063013100,96.0
53001950200,53063014001,96.0
53001950200,53071920600,96.0
53001950200,53071920900,96.0
53003960100,53003960100,2009.0
53003960100,53031950702,86.0
53003960100,53037975100,86.0
53003960100,53051970300,86.0
53003960100,53063000400,86.0
53003960100,53063000900,86.0
53003960100,53063001100,86.0
53003960100,53063002000,86.0
53003960100,53063002500,86.0
53003960100,53063003500,86.0
53003960100,53063003900,86.0
53003960100,53063011201,86.0
53003960100,53063011702,86.0
53003960100,53063013700,86.0
53003960100,53063014500,86.0
53003960100,53071920100,86.0
53003960100,53071920200,259.0
53003960100,53071920702,86.0
53003960100,53071920801,216.0
53003960100,53075000200,129.0
53003960100,53075000400,172.0
53003960100,53075000600,172.0
53005011001,53005011001,3429.0
53005011001,53005011002,4349.0
53005011001,53005011100,739.0
53005011001,53005011200,717.0
53005011001,53005011300,896.0
53005011001,53005011401,179.0
53005011001,53005011501,89.0
53005011001,53005011503,1569.0
53005011001,53021020100,89.0
53005011001,53021020200,538.0
53005011001,53021020300,896.0
53005011001,53021020400,963.0
53005011001,53021020502,448.0
53005011001,53021020605,269.0
53005011001,53021020700,89.0
53005011001,53025010600,89.0
53005011001,53063000800,179.0
53005011001,53063002400,89.0
53005011001,53063003800,89.0
53005011001,53071920100,89.0
53005011001,53071920200,89.0
53005011001,53071920600,89.0
53005011001,53071920801,89.0
53005011001,53071920802,89.0
53005011002,53005011001,1698.0
53005011002,53005011002,4804.0
53005011002,53005011100,841.0
53005011002,53005011200,596.0
53005011002,53005011300,183.0
53005011002,53005011401,122.0
53005011002,53005011402,122.0
53005011002,53005011501,244.0
53005011002,53005011503,1958.0
53005011002,53005011504,91.0
53005011002,53013960200,61.0
53005011002,53021020100,367.0
53005011002,53021020200,61.0
53005011002,53021020300,214.0
53005011002,53021020400,306.0
53005011002,53021020502,122.0
53005011002,53021020605,306.0
53005011002,53039950300,61.0
53005011002,53071920000,122.0
53005011002,53071920400,61.0
53005011002,53071920702,61.0
53005011100,53005011001,1390.0
53005011100,53005011002,6268.0
53005011100,53005011100,3682.0
53005011100,53005011200,1469.0
53005011100,53005011300,1821.0
53005011100,53005011401,391.0
53005011100,53005011402,235.0
53005011100,53005011501,97.0
53005011100,53005011503,4348.0
53005011100,53007960200,235.0
53005011100,53007961000,156.0
53005011100,53013960200,78.0
53005011100,53017950500,78.0
53005011100,53017950800,78.0
53005011100,53021020100,548.0
53005011100,53021020200,626.0
53005011100,53021020300,489.0
53005011100,53021020400,1312.0
53005011100,53021020502,724.0
53005011100,53021020605,548.0
53005011100,53021020700,156.0
53005011100,53021980100,391.0
53005011100,53025010500,78.0
53005011100,53025010600,78.0
53005011100,53025010700,156.0
53005011100,53033032704,156.0
53005011100,53063000500,137.0
53005011100,53063003500,78.0
53005011100,53063010900,78.0
53005011100,53063011101,78.0
53005011100,53063014100,78.0
53005011100,53071920000,78.0
53005011100,53071920801,78.0
53005011200,53005011001,2036.0
53005011200,53005011002,5122.0
53005011200,53005011100,2704.0
53005011200,53005011200,8431.0
53005011200,53005011300,3467.0
53005011200,53005011401,1368.0
53005011200,53005011402,413.0
53005011200,53005011501,286.0
53005011200,53005011503,3754.0
53005011200,53005011700,127.0
53005011200,53007960600,127.0
53005011200,53021020100,954.0
53005011200,53021020200,254.0
53005011200,53021020300,254.0
53005011200,53021020400,1399.0
53005011200,53021020502,763.0
53005011200,53021020605,572.0
53005011200,53021020700,254.0
53005011200,53021980100,190.0
53005011200,53063000400,127.0
53005011200,53071920000,381.0
53005011200,53071920600,127.0
53005011300,53005011001,993.0
53005011300,53005011002,3170.0
53005011300,53005011100,611.0
53005011300,53005011200,3246.0
53005011300,53005011300,5061.0
53005011300,53005011401,783.0
53005011300,53005011501,229.0
53005011300,53005011503,2139.0
53005011300,53005011700,76.0
53005011300,53021020100,572.0
53005011300,53021020200,420.0
53005011300,53021020300,458.0
53005011300,53021020400,1069.0
53005011300,53021020502,381.0
53005011300,53021020605,152.0
53005011300,53021020700,76.0
53005011300,53029970100,76.0
53005011300,53033032704,152.0
53005011300,53037975100,76.0
53005011300,53063010301,76.0
53005011300,53063011701,76.0
53005011300,53071920100,76.0
53005011300,53071920600,152.0
53005011300,53071920801,152.0
53005011300,53077000901,76.0
53005011401,53005011001,723.0
53005011401,53005011002,1603.0
53005011401,53005011100,1036.0
53005011401,53005011200,1564.0
53005011401,53005011300,1290.0
53005011401,53005011401,938.0
53005011401,53005011402,156.0
53005011401,53005011501,78.0
53005011401,53005011503,2053.0
53005011401,53005011700,78.0
53005011401,53021020100,234.0
53005011401,53021020200,156.0
53005011401,53021020300,78.0
53005011401,53021020400,684.0
53005011401,53021020502,234.0
53005011401,53021020605,156.0
53005011401,53021020700,78.0
53005011401,53063011101,78.0
53005011401,53071920000,78.0
53005011401,53071920100,78.0
53005011401,53071920701,156.0
53005011402,53005011001,518.0
53005011402,53005011002,3347.0
53005011402,53005011100,3139.0
53005011402,53005011200,2075.0
53005011402,53005011300,1790.0
53005011402,53005011401,726.0
53005011402,53005011402,103.0
53005011402,53005011501,415.0
53005011402,53005011503,5527.0
53005011402,53005011700,103.0
53005011402,53021020100,518.0
53005011402,53021020200,337.0
53005011402,53021020300,207.0
53005011402,53021020400,1037.0
53005011402,53021020502,570.0
53005011402,53021020700,103.0
53005011402,53021980100,103.0
53005011402,53033003100,103.0
53005011402,53063000400,103.0
53005011402,53063000500,103.0
53005011402,53063011101,103.0
53005011402,53063011600,103.0
53005011402,53065950700,207.0
53005011402,53067011624,103.0
53005011402,53071920000,103.0
53005011402,53071920600,103.0
53005011402,53075000600,155.0
53005011501,53005011001,1434.0
53005011501,53005011002,4411.0
53005011501,53005011100,2949.0
53005011501,53005011200,2598.0
53005011501,53005011300,3139.0
53005011501,53005011401,568.0
53005011501,53005011402,108.0
53005011501,53005011501,3572.0
53005011501,53005011503,4032.0
53005011501,53005011700,108.0
53005011501,53007960700,108.0
53005011501,53007961100,108.0
53005011501,53017950800,108.0
53005011501,53021020100,1055.0
53005011501,53021020200,649.0
53005011501,53021020300,243.0
53005011501,53021020400,1353.0
53005011501,53021020502,893.0
53005011501,53021020605,649.0
53005011501,53021980100,324.0
53005011501,53051970300,108.0
53005011501,53063000800,108.0
53005011501,53063003500,108.0
53005011501,53063012600,108.0
53005011501,53071920000,324.0
53005011501,53071920600,108.0
53005011501,53075000800,108.0
