origin,destination,flow
53001950400,53021020605,125.0
53001950400,53021020606,110.0
53001950400,53005010809,346.0
53001950400,53075000400,65.0
53001950400,53063014001,80.0
53001950400,53005010901,453.0
53001950400,53025010700,100.0
53001950400,53033028402,276.0
53001950400,53005011300,125.0
53001950400,53063000400,132.0
53001950400,53001950500,5659.0
53001950400,53001950400,7820.0
53001950500,53021980100,35.0
53001950500,53021020605,227.0
53001950500,53021020606,42.0
53001950500,53005010809,1163.0
53001950500,53005010500,255.0
53001950500,53063013700,45.0
53001950500,53005011100,56.0
53001950500,53005010600,61.0
53001950500,53025011200,74.0
53001950500,53063003200,73.0
53001950500,53033029203,84.0
53001950500,53061041202,168.0
53001950500,53071920600,76.0
53001950500,53053061601,79.0
53001950500,53005010901,581.0
53001950500,53021020300,209.0
53001950500,53025010800,117.0
53001950500,53077940005,92.0
53001950500,53025011300,284.0
53001950500,53063010401,283.0
53001950500,53077002701,94.0
53001950500,53077940002,137.0
53001950500,53001950400,10106.0
53001950500,53001950500,11828.0
53003960100,53063014500,49.0
53003960100,53003960400,55.0
53003960100,53063000400,62.0
53003960100,53063011702,74.0
53003960100,53063002000,85.0
53003960100,53003960300,6849.0
53003960100,53063003500,63.0
53003960100,53071920200,250.0
53003960100,53003960500,1471.0
53003960100,53063003900,92.0
53003960100,53071920702,89.0
53003960100,53033009300,94.0
53003960100,53075000400,223.0
53003960100,53005010600,98.0
53003960100,53063013700,114.0
53003960100,53071920801,307.0
53003960100,53003960600,907.0
53003960100,53063000900,114.0
53003960100,53063001100,149.0
53003960100,53003960100,3131.0
53003960300,53003960100,54.0
53003960300,53063011701,39.0
53003960300,53003960600,86.0
53003960300,53005010809,120.0
53003960300,53075000400,126.0
53003960300,53003960500,1061.0
53003960300,53063003200,67.0
53003960300,53063012901,76.0
53003960300,53063003500,72.0
53003960300,53003960300,6669.0
53003960400,53003960100,46.0
53003960400,53003960600,124.0
53003960400,53075000400,164.0
53003960400,53003960500,397.0
53003960400,53003960300,4496.0
53003960400,53033028802,115.0
53003960400,53003960400,951.0
53003960500,53003960100,62.0
53003960500,53003960600,420.0
53003960500,53071920801,63.0
53003960500,53001950500,67.0
53003960500,53003960400,344.0
53003960500,53035092200,90.0
53003960500,53013960200,278.0
53003960500,53071920600,129.0
53003960500,53003960300,6916.0
53003960500,53063003900,117.0
53003960500,53063011800,156.0
53003960500,53003960500,2440.0
53003960600,53071920500,56.0
53003960600,53063000400,62.0
53003960600,53003960300,5537.0
53003960600,53071920200,84.0
53003960600,53003960500,2095.0
53003960600,53063011102,107.0
53003960600,53063011900,102.0
53003960600,53033026200,110.0
53003960600,53075000100,245.0
53003960600,53075000400,121.0
53003960600,53013960200,273.0
53003960600,53063013700,129.0
53003960600,53003960100,340.0
53003960600,53063001100,146.0
53003960600,53033004301,175.0
53003960600,53063011701,152.0
53003960600,53003960600,1728.0
53005010100,53021980100,160.0
53005010100,53021020300,100.0
53005010100,53071920500,96.0
53005010100,53005011001,175.0
53005010100,53033028402,99.0
53005010100,53005011002,109.0
53005010100,53005010902,126.0
53005010100,53005010901,1084.0
53005010100,53071920600,57.0
53005010100,53005011600,52.0
53005010100,53005011501,63.0
53005010100,53005010703,77.0
53005010100,53033008500,71.0
53005010100,53033026200,78.0
53005010100,53005010600,4848.0
53005010100,53005011100,194.0
53005010100,53013960200,68.0
53005010100,53035092400,94.0
53005010100,53005010807,87.0
53005010100,53005010500,6458.0
53005010100,53005010809,2096.0
53005010100,53005010300,254.0
53005010100,53033008002,194.0
53005010100,53035092500,107.0
53005010100,53021020606,327.0
53005010100,53021020501,109.0
53005010100,53005011402,99.0
53005010100,53005010811,93.0
53005010100,53021020605,243.0
53005010100,53033008200,169.0
53005010100,53005010810,139.0
53005010100,53005010708,369.0
53005010100,53011040101,124.0
53005010100,53033010200,235.0
53005010100,53005010201,1796.0
