origin,destination,flow
53001950400,53021020605,136
53001950400,53021020606,93
53001950400,53005010809,374
53001950400,53075000400,89
53001950400,53063014001,110
53001950400,53005010901,473
53001950400,53025010700,100
53001950400,53033028402,285
53001950400,53005011300,119
53001950400,53063000400,149
53001950400,53001950500,5632
53001950400,53001950400,7731
53001950500,53021980100,47
53001950500,53021020605,270
53001950500,53021020606,59
53001950500,53005010809,1353
53001950500,53005010500,284
53001950500,53063013700,69
53001950500,53005011100,83
53001950500,53005010600,75
53001950500,53025011200,62
53001950500,53063003200,99
53001950500,53033029203,95
53001950500,53061041202,187
53001950500,53071920600,95
53001950500,53053061601,102
53001950500,53005010901,633
53001950500,53025011300,275
53001950500,53063010401,242
53001950500,53001950500,11239
53001950500,53001950400,10095
53001950500,53077940002,124
53001950500,53077002701,121
53001950500,53077940005,130
53001950500,53025010800,158
53001950500,53021020300,272
53003960100,53003960100,957
53003960100,53063001100,37
53003960100,53063000900,57
53003960100,53003960600,380
53003960100,53071920801,165
53003960100,53063013700,72
53003960100,53005010600,70
53003960100,53075000400,164
53003960100,53033009300,77
53003960100,53071920702,81
53003960100,53063003900,68
53003960100,53003960500,1558
53003960100,53071920200,281
53003960100,53063003500,102
53003960100,53003960300,9622
53003960100,53063002000,121
53003960100,53063011702,136
53003960100,53063000400,100
53003960100,53003960400,115
53003960100,53063014500,113
53003960300,53003960100,68
53003960300,53063011701,26
53003960300,53003960600,71
53003960300,53005010809,101
53003960300,53075000400,109
53003960300,53003960500,1057
53003960300,53063003200,54
53003960300,53063012901,50
53003960300,53063003500,84
53003960300,53003960300,6750
53003960400,53003960100,47
53003960400,53003960600,119
53003960400,53075000400,160
53003960400,53003960500,370
53003960400,53003960300,4633
53003960400,53003960400,823
53003960400,53033028802,141
53003960500,53003960100,59
53003960500,53003960600,501
53003960500,53071920801,74
53003960500,53013960200,257
53003960500,53063003900,112
53003960500,53003960500,1825
53003960500,53063011800,111
53003960500,53003960300,7106
53003960500,53071920600,151
53003960500,53035092200,143
53003960500,53003960400,609
53003960500,53001950500,134
53003960600,53003960100,92
53003960600,53063001100,29
53003960600,53033004301,33
53003960600,53063011701,42
53003960600,53003960600,543
53003960600,53063013700,54
53003960600,53013960200,134
53003960600,53075000400,59
53003960600,53075000100,140
53003960600,53033026200,68
53003960600,53063011900,75
53003960600,53063011102,80
53003960600,53003960500,2170
53003960600,53071920200,122
53003960600,53003960300,7627
53003960600,53063000400,100
53003960600,53071920500,94
53005010100,53021980100,156
53005010100,53005010811,48
53005010100,53005010810,47
53005010100,53005010708,168
53005010100,53033010200,91
53005010100,53005010100,1654
53005010100,53005010201,909
53005010100,53011040101,58
53005010100,53033008200,95
53005010100,53021020605,131
53005010100,53005011402,77
53005010100,53021020501,89
53005010100,53021020606,224
53005010100,53035092500,81
53005010100,53033008002,149
53005010100,53005010300,247
53005010100,53005010809,1951
53005010100,53005010500,6631
53005010100,53005010807,86
53005010100,53035092400,100
53005010100,53013960200,86
53005010100,53005011100,224
53005010100,53005010600,6523
53005010100,53033026200,90
53005010100,53033008500,87
53005010100,53005010703,108
53005010100,53005011501,125
53005010100,53005011600,130
53005010100,53071920600,130
53005010100,53005010901,2228
53005010100,53005010902,204
53005010100,53005011002,231
53005010100,53033028402,243
53005010100,53005011001,420
53005010100,53071920500,277
53005010100,53021020300,273
53005010201,53071920400,30
53005010201,53021980100,58
53005010201,53005010707,45
53005010201,53005010705,100
53005010201,53005010810,66
53005010201,53005010708,395
53005010201,53005010100,756
53005010201,53005010201,1924
53005010201,53021020605,424
53005010201,53021020501,122
53005010201,53021020606,297
53005010201,53005010300,650
53005010201,53005010809,1721
53005010201,53005010500,5890
53005010201,53005010807,48
53005010201,53021020603,73
53005010201,53005011100,109
53005010201,53005010600,3757
53005010201,53071920802,216
53005010201,53005010400,110
53005010201,53025011200,66
53005010201,53005010703,218
53005010201,53071920200,57
53005010201,53005011501,85
53005010201,53063012300,117
53005010201,53063003500,59
53005010201,53039950200,75
53005010201,53005010901,1631
53005010201,53025010700,86
53005010201,53005010902,170
53005010201,53005011002,483
53005010201,53033028402,167
53005010201,53005011300,554
53005010201,53005011401,92
53005010201,53005011001,357
53005010201,53071920500,361
53005010201,53021020300,83
53005010201,53033029206,74
53005010300,53005010707,102
53005010300,53005010810,226
53005010300,53005010708,187
53005010300,53005010100,688
53005010300,53005010201,533
53005010300,53033022201,70
53005010300,53021020605,376
53005010300,53021020501,336
53005010300,53021020606,707
53005010300,53005010300,2122
53005010300,53005010809,2474
53005010300,53005010500,4874
53005010300,53005010807,112
53005010300,53063013700,91
53005010300,53021020603,99
53005010300,53005011100,105
53005010300,53005010600,6445
53005010300,53063014001,113
53005010300,53033026200,116
53005010300,53033009300,125
53005010300,53071920802,152
53005010300,53005010400,857
53005010300,53005010703,108
53005010300,53005011501,111
53005010300,53063003200,236
53005010300,53063003500,127
53005010300,53005010901,4635
53005010300,53063011702,141
53005010300,53005010902,1037
53005010300,53005011002,1239
53005010300,53033028402,154
53005010300,53005011300,879
53005010300,53063000400,208
53005010300,53005011001,318
53005010300,53077940002,169
53005010300,53047940200,148
53005010300,53071920500,140
53005010300,53021020300,600
53005010400,53021980100,33
53005010400,53005010811,59
53005010400,53005010705,163
53005010400,53005010810,214
53005010400,53005010708,158
53005010400,53005010100,525
53005010400,53005010201,473
53005010400,53021020605,283
53005010400,53021020501,134
53005010400,53021020606,271
53005010400,53005010300,359
53005010400,53071920801,96
53005010400,53005010809,1471
53005010400,53005010500,4358
53005010400,53005011100,224
53005010400,53005010600,3658
53005010400,53005010400,820
53005010400,53005010901,1452
53005010400,53005010902,354
53005010400,53005011002,137
53005010400,53063000400,151
53005010400,53005011401,139
53005010500,53005010705,82
53005010500,53005010708,112
53005010500,53005010100,760
53005010500,53005010201,488
53005010500,53021020605,210
53005010500,53021020501,41
53005010500,53021020606,211
53005010500,53005010300,339
53005010500,53005010809,1106
53005010500,53005010500,5987
53005010500,53005010807,143
53005010500,53021020603,113
53005010500,53005011100,77
53005010500,53005010600,3748
53005010500,53071920802,78
53005010500,53005010400,288
53005010500,53005010703,82
53005010500,53071920200,151
53005010500,53063003200,66
53005010500,53071920600,181
53005010500,53005010901,1060
53005010500,53063011702,104
53005010500,53005010902,629
53005010500,53005011002,190
53005010500,53033028402,92
53005010500,53005011300,224
53005010500,53063010401,159
53005010500,53005011001,413
53005010500,53077940002,121
53005010500,53033030006,113
53005010600,53005010811,113
53005010600,53005010810,86
53005010600,53005010708,40
53005010600,53005010100,242
53005010600,53005010201,107
53005010600,53021020605,193
53005010600,53033004301,51
53005010600,53021020501,67
53005010600,53021020606,375
53005010600,53005010300,324
53005010600,53005010809,1719
53005010600,53005010500,3711
53005010600,53005010807,71
53005010600,53005011100,138
53005010600,53005010600,6635
53005010600,53063014001,80
53005010600,53063002400,81
53005010600,53005010703,193
53005010600,53005011501,106
53005010600,53005011600,79
53005010600,53005010901,1854
53005010600,53005010902,138
53005010600,53005011002,359
53005010600,53033028402,100
53005010600,53005011300,204
53005010600,53005011401,88
53005010600,53005011001,297
53005010600,53001950400,93
53005010600,53021020300,108
53005010701,53005010705,64
53005010701,53005010708,485
53005010701,53005010100,228
53005010701,53005010201,70
53005010701,53021020605,80
53005010701,53005010701,84
53005010701,53021020606,93
53005010701,53005010300,94
53005010701,53005010809,1449
53005010701,53067010100,125
53005010701,53005010500,1050
53005010701,53005010807,117
53005010701,53063013700,105
53005010701,53005010600,1088
53005010701,53063002400,253
53005010701,53005010703,130
53005010701,53053060200,133
53005010701,53005010901,709
53005010701,53005010902,120
53005010701,53005011002,613
53005010701,53005011300,296
53005010701,53005011001,172
53005010701,53021020300,162
53005010703,53021980100,32
53005010703,53005010705,218
53005010703,53005010810,127
53005010703,53005010708,1320
53005010703,53005010100,324
53005010703,53005010201,322
53005010703,53021020605,86
53005010703,53021020501,50
53005010703,53063012100,58
53005010703,53021020606,311
53005010703,53005010300,59
53005010703,53005010809,1544
53005010703,53005010500,2171
53005010703,53063012200,139
53005010703,53005010807,60
53005010703,53021020603,60
53005010703,53033008700,142
53005010703,53005010600,1809
53005010703,53033026200,146
53005010703,53005010400,69
53005010703,53035092300,103
53005010703,53005010703,1491
53005010703,53063003200,181
53005010703,53063003500,85
53005010703,53071920701,76
53005010703,53005010901,1123
53005010703,53005010902,93
53005010703,53005011002,99
53005010703,53005011300,337
53005010703,53005011001,222
53005010703,53021020300,172
53005010705,53021980100,155
53005010705,53005010811,43
53005010705,53005010705,784
53005010705,53005010810,68
53005010705,53005010708,2066
53005010705,53005010100,1137
53005010705,53005010201,396
53005010705,53053070100,65
53005010705,53021020605,400
53005010705,53033010900,68
53005010705,53021020501,138
53005010705,53021020606,820
53005010705,53005010300,252
53005010705,53071920801,87
53005010705,53063012401,76
53005010705,53005010809,2293
53005010705,53005010500,3055
53005010705,53021020603,88
53005010705,53005011100,378
53005010705,53005010600,2977
53005010705,53005010400,301
53005010705,53005010703,875
53005010705,53063011102,116
53005010705,53033028801,114
53005010705,53033026300,104
53005010705,53071920701,102
53005010705,53071920600,103
53005010705,53005010901,3764
53005010705,53005010902,126
53005010705,53005011002,772
53005010705,53033028402,872
53005010705,53005011300,636
53005010705,53063010401,131
53005010705,53077001901,170
53005010705,53005011401,156
53005010705,53005011001,681
53005010705,53021020300,267
53005010707,53021980100,172
53005010707,53005010707,197
53005010707,53005010814,133
53005010707,53005010811,41
53005010707,53005010705,408
53005010707,53005010810,115
53005010707,53005010708,1239
53005010707,53005010100,581
53005010707,53005010201,732
53005010707,53021020605,226
53005010707,53005010701,75
53005010707,53021020501,178
53005010707,53021020606,657
53005010707,53005010300,175
53005010707,53071920801,88
53005010707,53005010809,1900
53005010707,53005010500,2362
53005010707,53005010807,220
53005010707,53013960200,94
53005010707,53005011100,186
53005010707,53005010600,2002
53005010707,53075000400,228
53005010707,53075000100,324
53005010707,53075000500,199
53005010707,53005010703,341
53005010707,53071920701,220
53005010707,53005010901,3921
53005010707,53005010902,591
53005010707,53005011002,240
53005010707,53033028402,406
53005010707,53005011300,122
53005010707,53005011001,789
53005010707,53077940005,138
53005010707,53021020300,262
53005010708,53021980100,23
53005010708,53005010705,298
53005010708,53005010708,1617
53005010708,53005010100,613
53005010708,53005010201,444
53005010708,53021020605,49
53005010708,53033004301,42
53005010708,53005010701,55
53005010708,53021020501,214
53005010708,53015001800,46
53005010708,53021020606,368
53005010708,53005010300,279
53005010708,53005010809,1444
53005010708,53005010500,2018
53005010708,53005010807,74
53005010708,53013960200,56
53005010708,53005011100,276
53005010708,53005010600,2239
53005010708,53033026200,63
53005010708,53005010400,134
53005010708,53005010703,1226
53005010708,53033011402,156
53005010708,53005011600,73
53005010708,53071920701,89
53005010708,53005010901,2020
53005010708,53005011002,289
53005010708,53005011300,153
53005010708,53077001901,85
53005010708,53005011001,296
53005010708,53021020300,264
53005010708,53033029206,90
53005010807,53021980100,53
53005010807,53005010705,69
53005010807,53005010810,36
53005010807,53005010708,171
53005010807,53005010100,138
53005010807,53005010201,96
53005010807,53021020606,56
53005010807,53005010809,944
53005010807,53005010500,570
53005010807,53005010807,188
53005010807,53021020603,68
53005010807,53005010600,900
53005010807,53005010703,78
53005010807,53033008300,183
53005010807,53063011102,150
53005010807,53005010901,880
53005010807,53005010902,201
