region_index,census_tracts_geoids
0,36013036700
1,"36013036500, 36013036600"
6,"36013035800, 36013035600, 36013035901, 36013035902, 36013035400, 36013035700, 36013036300, 36013036000"
7,36013035500
11,"36013036100, 36013037600, 36013035300"
12,36013035100
19,"36009960400, 36029017501, 36029980300"
20,"36009940000, 36029015501, 36029015503, 36029015700, 36029015504, 36029015301, 36029015600, 36029940000"
24,"36063024502, 36063940001, 36063024401, 36063024404, 36063024405, 36063024501"
27,"36009961301, 36009940302, 36009940301"
28,"36009960600, 36009960704, 36009960703"
29,"36029017502, 36009960300"
33,"36063022717, 36063023404, 36029014606, 36029009116, 36029007600, 36029009107, 36029009106, 36029009110, 36063022804, 36029009113, 36063022716, 36063022803, 36029007901, 36063023301, 36029009112, 36063023405, 36029009114, 36063023302, 36029009010, 36029009115, 36029009008, 36063022702, 36029009004, 36029014605, 36029007905, 36029009007, 36029007902, 36029009009"
34,"36063024302, 36063023902, 36063023901, 36063024202, 36063023401, 36063023600, 36063023700, 36063024301, 36063024201, 36063023500, 36063024303, 36063023800"
48,"36003950500, 36003950401, 36003940200, 36009940200"
51,"36121970202, 36121970300, 36121970400"
52,"36037951400, 36121970201, 36037950402, 36037950301"
53,"36037950200, 36037950401, 36037950700, 36037950502, 36037950501, 36037950302"
61,"36121970700, 36121970600, 36121970500"
62,"36037951000, 36037951300, 36037951200, 36121970100"
63,"36037950800, 36037950600, 36037950100, 36037951100, 36037950900"
64,"36073040802, 36073040801, 36073040701"
65,36073401300
67,"36003950900, 36003951000"
68,"36003950800, 36003950700"
69,36003950100
71,"36051031000, 36051030800, 36051030203, 36051030400, 36051030900, 36051030500"
74,"36055014901, 36055014803, 36055014806, 36055015301, 36055015200, 36055013511, 36055014802, 36055015303, 36055014906, 36055014805, 36055015101, 36055015304, 36055015400, 36055014903"
75,36055015102
77,36101962000
79,"36101960500, 36101960600, 36101960700"
81,"36051030702, 36069052002, 36069052001, 36051031102, 36051030701"
83,"36055013203, 36055006600, 36055014400, 36055009302, 36055009602, 36055007700, 36055003200, 36055013005, 36055003806, 36055012900, 36055013006, 36055013003, 36055003400, 36055012201, 36055014204, 36055012308, 36055014504, 36055009500, 36055002700, 36055003300, 36055009601, 36055006800, 36055013103, 36055013104, 36055003101, 36055003102, 36055003600, 36055002900, 36055012700, 36055012307, 36055013205, 36055013101, 36055007000, 36055013207, 36055006200, 36055014503, 36055007801, 36055009403, 36055012500, 36055012301, 36055003000, 36055006400, 36055013208, 36055007100, 36055003807, 36055012600, 36055003700, 36055006900, 36055003500, 36055014202, 36055007500, 36055007802, 36055980000, 36055006700, 36055014602, 36055012800, 36055006500, 36055008702, 36055013206, 36055013004, 36055006300"
89,"36101961200, 36101961000, 36101960200"
90,"36069052200, 36101960300"
92,"36069050206, 36069050800, 36069050603, 36069050203, 36069050501, 36069050105, 36069050205, 36069050103, 36069050106"
100,"36123150400, 36123150302, 36101960100"
102,"36069050900, 36069050604, 36069051102, 36069051001, 36069051400, 36069051301, 36069050303, 36069050302, 36069051101, 36069051200"
108,"36015010701, 36015010200, 36101961600, 36015010301"
109,"36097950300, 36097950200, 36097950400"
112,"36069050402, 36099950700, 36069051700, 36069050401, 36099950100, 36099950600, 36099950500, 36069051502, 36069051900, 36069051801, 36069051600"
115,36117990100
120,"36109001600, 36099950900, 36099951000"
121,"36099950801, 36011041002, 36099950802"
122,"36099950400, 36099950200, 36011041201, 36011041202, 36099950300"
123,"36117021700, 36011040300, 36011040500"
124,"36011040101, 36117021600, 36117021502, 36011040102"
129,"36107020702, 36107020703"
130,"36109001800, 36107020701"
131,"36109001301, 36109001902, 36109000100, 36109000700, 36109000300, 36109001000, 36109000900, 36109000500, 36109001302, 36109000800, 36109000202, 36109001100, 36109000400, 36109000201, 36109000600, 36109001200"
133,"36011041102, 36011041001, 36011040800"
134,"36011041300, 36011040700, 36011040600, 36011041700, 36011042100, 36011041600, 36011041101, 36011041500, 36011041800, 36067016700, 36011041400, 36067016600"
136,"36067011402, 36011040202, 36075021102, 36075021300, 36075021203, 36075021103"
137,"36075021602, 36075021604, 36075021401, 36075021505, 36075021402, 36075021603, 36075021503, 36075021201, 36075021101, 36075021605, 36075021601, 36075021202, 36075021104"
142,"36107020300, 36107020500, 36107020600, 36107020401"
144,"36109001901, 36109001400, 36109002000, 36107020101"
145,"36023971000, 36023970300, 36023970500, 36023970900, 36023970700, 36023970600, 36023970800, 36109002200, 36109002100"
149,"36067011232, 36075020905, 36067011241, 36075020903, 36075020904, 36067011202, 36075020901, 36067011231, 36067011201, 36067011300, 36067011600, 36075021003, 36067011401"
150,"36075021001, 36075021501, 36075021002, 36075020400, 36075020800"
154,"36045060301, 36045060302"
159,36023970400
162,"36067000700, 36067005200, 36067010500, 36067004200, 36067003500, 36067001701, 36067011021, 36067015100, 36067003900, 36067001900, 36067005602, 36067004301, 36067006000, 36067015201, 36067004401, 36067014800, 36067000400, 36067014200, 36067001702, 36067014000, 36067000900, 36067003602, 36067014500, 36067015203, 36067001000, 36067015500, 36067015400, 36067000501, 36067001500, 36067000300, 36067005900, 36067014700, 36067015601, 36067010800, 36067005100, 36067003400, 36067000800, 36067014300, 36067004500, 36067015202, 36067005400, 36067011022, 36067001400, 36067002300, 36067004302, 36067002400, 36067003200, 36067001800, 36067001600, 36067015000, 36067003601, 36067000600, 36067000200, 36067006101, 36067013800, 36067014900, 36067003000, 36067005300, 36067010700, 36067005601, 36067010400, 36067010900, 36067014600, 36067006103, 36067010600, 36067004600, 36067014400, 36067006102, 36067005700, 36067013900, 36067004000, 36067005800, 36067005500"
167,"36045061802, 36045061801, 36045060402"
168,"36045061600, 36045060401"
171,"36007000100, 36007001200, 36007001300, 36007012201, 36007001100, 36007000300, 36007000200, 36007012800, 36007001800, 36007000500, 36007001600, 36007000600, 36007000900, 36007000700, 36007001700, 36007001500, 36007000400, 36007012600, 36007001402, 36007012702, 36007012701, 36007001401"
172,"36007012101, 36017971000, 36007012103, 36007012202, 36007012102, 36007011902"
175,"36017970202, 36053030800"
176,"36053030702, 36053030502, 36053030501"
179,"36075020503, 36065024500"
180,36075020102
182,"36045062400, 36045061900, 36045062200"
183,"36045060500, 36045061300, 36045061200, 36045060806, 36045060602, 36045061102, 36045060805, 36045061500, 36045060803, 36045062100, 36045061400, 36045061101"
184,"36045060601, 36045060101"
185,36045060102
188,"36007012300, 36017970902, 36017970901"
193,"36065024800, 36065024900, 36053030103, 36053030102, 36053030101"
194,"36065022800, 36065024700"
197,36049950500
198,36049950302
199,"36045060901, 36045060902, 36045980000, 36045061000"
200,36045060700
201,36089492900
205,"36025970501, 36007012400"
211,"36065026100, 36065021702, 36065023200, 36065025001, 36065026501, 36065021701, 36065025200, 36065023000, 36065025003, 36065023502, 36065023300, 36065025100, 36065025300, 36065023501, 36065025002, 36065023400"
215,36049950401
217,"36049950200, 36049950101"
219,36089492700
220,36089491800
225,36025971400
226,36025970601
228,"36077591401, 36025970300, 36077591000, 36077591700, 36077590900, 36077590800, 36077591100"
229,"36077591402, 36077590402"
231,"36065025800, 36077590301, 36065025500, 36043010100"
232,"36065020102, 36043010202, 36065021303, 36065021302, 36065025400, 36065980002, 36065021602, 36043010201, 36065021201, 36065021104, 36065020300, 36065023901, 36065021500, 36065021301, 36065020803, 36043010300, 36065021402, 36065020802, 36065020900, 36043011302, 36065021103, 36065021202, 36065021601, 36065026400, 36065026502, 36065980003, 36065021000, 36065020705, 36065021401"
233,"36065026200, 36065024000, 36065023902, 36043011503"
234,36065024102
236,36049950800
242,36089491000
243,36089490500
247,"36105952200, 36105952000, 36105950600, 36105952100"
249,"36025971300, 36025970700"
250,"36025970900, 36025970800"
252,"36077590201, 36077590500, 36077590701"
254,"36043010900, 36043010502"
259,36043011502
262,36089492501
265,"36089491100, 36089490800, 36089491200, 36089490900"
269,"36071002200, 36071011602, 36071011601, 36105952500, 36071002300, 36071002100"
272,36105950202
273,36025971200
276,36077590702
279,"36043011001, 36043011002, 36035970500, 36057072400"
289,36089492401
291,"36089490300, 36033940000"
292,36071014501
294,"36105951302, 36105951202, 36105951201, 36105951301"
298,36025971100
304,36035970400
310,36033951200
312,36033950701
313,36033951300
314,36033950301
315,36033950200
316,"36085017016, 36085023100, 36085017600, 36085017014, 36085014605, 36085027301, 36085022601, 36085017005, 36085029102, 36085030302, 36085029105, 36085014604, 36085022801, 36085029106, 36085015602, 36085024800, 36085022602, 36085019800, 36085027705, 36085015601, 36085017013, 36085032300, 36085022300, 36085024402, 36085017009, 36085022802, 36085027702, 36085027704, 36085017012, 36085027706, 36085031902, 36085029104, 36085014608, 36085027900, 36085017007, 36085023900, 36085020804, 36085020806, 36085017015, 36085014607, 36085030301, 36085020805, 36085017011, 36085020803, 36085031901, 36085024401"
317,36087011800
322,"36111952902, 36111951000, 36111955001"
324,"36039080301, 36039080402, 36039080302"
327,"36093033102, 36095740100"
329,"36035970700, 36035971200, 36035971100, 36035971400, 36035970601, 36035970800, 36035971501, 36035970300, 36035970900, 36035971502, 36035971000"
330,"36035970100, 36035970200"
336,36033950900
337,36033951000
340,"36033951400, 36033950501, 36033950502, 36033952000"
