geoid,commercial_landuse,food_point,food_poly,health_point,health_poly,industrial_landuse,main_road_line,natural_landuse,other_road_line,residential_landuse,residential_line,retail_landuse,retail_point,retail_poly,school_point,school_poly,transport_point,transport_poly,total_population
36123150400,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1816980010804123e-06,0.0,1.1499320593566006e-06,0.0,0.0,0.0,3.0,13.0,0.0,0.0,3836
36071011801,2.229716574988818e-12,3.0,11.0,1.0,3.0,1.0137589371001432e-10,3.633590948872548e-07,5.504263302851268e-10,1.5882878098536847e-06,2.2331112009996744e-10,6.304616038858477e-07,2.038959660004052e-12,2.0,8.0,1.0,5.0,0.0,0.0,4802
36005020200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9282523489747815e-09,0.0,2.1906266371961327e-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2789
36109001301,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9530415787785756e-08,0.0,1.056436102195927e-07,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3445
36059304002,0.0,0.0,3.0,0.0,1.0,0.0,1.367310137718752e-08,0.0,7.058666677489868e-08,0.0,1.8832318412412346e-07,7.229558740010029e-12,0.0,0.0,2.0,4.0,0.0,0.0,4729
36105952200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03481275200158e-11,7.451720682554267e-07,0.0,9.961507784217937e-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1448
36081045400,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,1.6341089609798202e-08,0.0,6.919889854094888e-08,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5207
36119000602,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.877262310719044e-08,2.0936476999723812e-13,3.2953105530336435e-08,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4478
36047012700,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2609727539382778e-08,3.105829494995488e-12,2.274522981173928e-08,0.0,5.0,1.0,1.0,1.0,0.0,1.0,4036
36047066600,0.0,0.0,1.0,0.0,0.0,0.0,2.0905591205437093e-07,3.384978764001664e-11,4.543018754259249e-07,0.0,4.010056802648452e-08,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
36119007000,0.0,1.0,2.0,0.0,1.0,0.0,3.9353307872954766e-08,0.0,1.667596240780627e-07,3.4503826250031508e-12,2.421751893070261e-07,0.0,1.0,0.0,0.0,2.0,0.0,3.0,6601
36055007900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.736652264222783e-08,0.0,5.7121065663477887e-08,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1838
36055013203,0.0,0.0,3.0,0.0,0.0,0.0,2.3535206175606227e-08,8.704956589987229e-12,2.049168223188747e-07,8.606510539499762e-11,4.093164141467049e-07,0.0,0.0,1.0,0.0,8.0,0.0,0.0,5504
36061013601,0.0,0.0,0.0,0.0,0.0,0.0,8.599702096359784e-09,0.0,2.0433370964090075e-09,0.0,2.903128733779808e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962
36061022400,0.0,5.0,1.0,0.0,0.0,1.954618000007788e-14,0.0,0.0,1.3038433374364516e-08,7.276535749992481e-12,2.5525339171818116e-08,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7346
36063022717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7943886849952018e-12,4.758813927733984e-07,0.0,3.517593833250446e-07,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5074
36029007800,0.0,5.0,0.0,0.0,0.0,1.2728433794970692e-11,0.0,5.706771254996881e-12,1.7516113717577557e-07,1.7540514977002714e-10,3.145730720928741e-07,3.116756875006538e-12,2.0,0.0,0.0,6.0,0.0,0.0,5303
36081101700,0.0,3.0,0.0,0.0,0.0,0.0,1.2208683218856977e-08,1.5623240999862505e-13,1.720593872956046e-07,0.0,3.0358013354915065e-07,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6307
36115085000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278622007111491e-07,0.0,2.888201673133939e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193
36005022101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91864637264152e-10,0.0,1.4141769178273004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001
36005013800,0.0,1.0,0.0,0.0,0.0,0.0,1.0374746221193633e-07,0.0,6.81366931711638e-08,0.0,8.320466112813116e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3060
36021001200,0.0,3.0,2.0,0.0,1.0,1.7871719799982377e-12,0.0,1.6139230250008665e-12,1.3015566576629638e-07,0.0,1.2362117764272288e-07,0.0,1.0,1.0,3.0,7.0,0.0,0.0,3168
36061015401,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,6.895872290223521e-09,0.0,1.0450030176268632e-08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5189
36081011700,0.0,16.0,1.0,3.0,1.0,0.0,0.0,5.3570455000294194e-14,1.7355791684677182e-08,0.0,3.7350605980917e-08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3840
