region_index,census_tracts_geoids
405,"36119012803,36119012804,36119012304,36119012503,36119012700,36119012502,36119012600,36119013000,36119012303,36119012400,36119983000"
316,"36089492401,36089490700"
413,"36115094000,36091062300,36091062200,36091062100,36091062001,36091062002,36083051901,36091060902,36091060901"
22,"36013037400,36013037500,36009961400"
389,"36039081001,36039081002,36039080100,36021000500,36021001200,36021001100,36021000600,36021001300,36039080700,36039080600,36039080900,36039080800"
234,"36045060700,36045980000,36045060901,36045060601,36045060806"
232,"36049950700,36049950500"
301,"36071011601,36105952500,36071011602,36071002100,36071002200,36071002300"
229,"36065024800,36053030102,36053030101,36053030103,36053030300,36053030701,36053030601,36053030602,36053030702"
368,"36039080403,36039080202,36039080502,36039081101,36039080201,36039080501"
68,"36073990000,36073401300"
162,"36075021202,36011040300,36075021300,36011040201,36011040101,36011040202,36011040102"
37,36063990000
227,"36017970700,36017970201"
400,36019103512
127,"36101962302,36015010302,36015010301,36101962800,36101962600,36101962400,36101962500,36101962700,36101962900,36101963000"
195,"36075020707,36067010100,36067011011,36067010400,36067011300,36067010301,36067010321,36067010322,36067011231,36067010500,36067010600,36067010700,36067010800,36067010900,36067011232,36075020706,36075020705,36067013300,36067013500,36067013800,36067013900,36067011012,36067011021,36067011022,36067011101,36067011102,36067011241,36067011242,36067010200,36075020704"
55,"36037940100,36037951400,36029940100,36029014801,36037950302,36037950301,36029014901,36063940100"
226,"36017971000,36017970802,36017970902"
46,"36063023404,36063023405,36063023500,36063023600,36063023402,36063024202,36063024001,36063024201,36063023700,36063023800,36063023901,36063023902,36063024101"
342,"36071014502,36087011700,36071014700,36071014801,36071014601,36071014802,36071014602"
161,"36011041300,36011041500,36011041600,36011041700,36011041800,36011040500,36011041400,36011040400,36011040600,36011040700,36011042100,36011041202"
326,36025971100
244,36007012400
268,"36065026200,36065020102,36065026600,36065023200,36065024000,36043011302,36065021402,36065021601,36065021602,36065023901,36065023902,36065023300,36065023501"
63,"36003950402,36003950401,36003951301"
87,"36101960700,36101960800,36101960900,36101960600"
393,"36091060602,36091060601,36113070900,36091060301,36091060705,36091060703,36091062900,36091060706,36091060400"
211,"36067015000,36067015601,36067015702,36067015701,36067015602,36067015203,36067015202,36053030502,36053030402,36053030401,36053030501"
443,"36019100102,36019100101"
281,"36105952200,36105952300,36105952000,36105952400"
228,"36053030800,36017970202,36017970101"
75,"36003951302,36003950800,36003950100,36003950600"
249,"36065026100,36065023502,36065022200,36065023702,36065022702,36065025900,36065022500,36065021900,36065022000,36065022100,36065022701,36065980100,36065022400,36065022800,36065026300,36065023000,36065024301"
158,"36109001100,36109001800,36109001000,36107020701,36109001200,36015010100,36109001902"
207,"36007001402,36007001401,36007001800,36007012102,36007012103,36007012201,36007012600,36007000200,36007000300,36007013900,36007000100,36007000500,36007000400,36007000600,36007000700,36007000900,36007001100,36007001200,36007001300,36007001500,36007001600,36007001700,36007013800,36007014000,36007014100,36007014200,36007014302,36007012702,36007012800,36007012900,36007012701"
214,"36075020102,36075020101"
446,"36103158206,36103158207,36103134907,36103135002,36103135003,36103135004,36103135005,36103135103,36103135104,36103135201,36103135303,36103135401,36103158511,36103158512,36103135402,36103135403,36103158102,36103158502,36103158505,36103158506,36103158120,36103158015,36103135305,36103135306,36103159700,36103158017,36103158209,36103158118,36103158327,36103158014,36103158513,36103158013,36103158119,36103158117,36103158514,36103158016,36103158012,36103135500,36103134909,36103158208,36103134908,36103158011,36103158010,36103158001,36103158103,36103158107,36103158108,36103158111,36103158114,36103134704,36103158009,36103134702,36103134902,36103134906"
180,36075990000
264,"36025970300,36025970401,36025970602,36077591601"
208,"36007011901,36007011902,36007012101,36007012202"
388,"36021001900,36111950300,36111950200,36027150004,36027150003,36027150006,36021002000,36021001400,36039081102,36027090000,36027150005"
190,"36107020300,36107020401,36107020402,36007013301,36007013303,36007013400,36007013500,36007013600,36007013700,36007013201,36007013100,36007014301,36007014500,36007014400,36007013304,36007014600,36007013000,36007013202"
445,"36103146001,36103145803,36103145804,36103145808,36103146102,36103146103,36103146105,36103146201,36103146202,36103146203,36103146204,36103146206,36103146300,36103147100,36103147401,36103147502,36103135209,36103146607,36103146611,36103146612,36103146613,36103146614,36103147902,36103158604,36103158605,36103158608,36103145602,36103145603,36103145604,36103145605,36103145701,36103145702,36103145703,36103146608,36103146402,36103146403,36103146404,36103146500,36103147503,36103147601,36103147602,36103147702,36103147802,36103147803,36103147804,36103147901,36103146005,36103147301,36103147302,36103146617,36103147202,36103146620,36103145706,36103146619,36103145810,36103146618,36103147505,36103145809,36103147504,36103146616,36103147201,36103146004,36103145705,36103145601,36103145904,36103147004,36103135208,36103146106,36103158609,36103147701,36103145807,36103146002,36103147402,36103146205"
193,"36023970202,36023970201,36067016901"
308,"36057072400,36057072500,36043010701,36043010900,36043010702"
33,"36029015700,36029015201,36029017501,36029017502,36029980300"
440,"36031960800,36031960100"
395,"36113075002,36113075001"
424,"36059519602,36059415500,36059416000,36059416100,36059520402,36059520900,36059518203,36059518204,36059518400,36059520600,36059520700,36059520800,36059521000,36059521100,36059521301,36059521302,36059521500,36059521602,36059521700,36059409400,36059409500,36059519601,36059521801,36059521802,36059522000,36059519702,36059519703,36059519704,36059519801,36059519802,36059519900,36059520001,36059521601,36059520002,36059520100,36059520200,36059520300,36059520401,36059520501,36059520502,36059521400,36059521200,36103123600,36103145901,36103145903,36103147001,36059521902,36059522700,36103146704,36103146705,36103146706,36103146901,36103122300,36103146902,36103111900,36103112001,36103112002,36103112102,36103112104,36103112204,36103112211,36103112212,36103112213,36103112217,36103122605,36103123304,36103112215,36103112220,36103122407,36103112216,36103122604,36103122408,36103123204,36103123203,36103123403,36103124301,36103124302,36103201200,36103145905,36103123404,36103123303,36103123703,36103123704,36103112219,36103112218,36103147003,36103122406,36103122501,36103122502,36103122603,36103122704,36103122705,36103122707,36103122801,36103122802,36103146800,36103123801,36103124401,36103122706,36103122405,36103123001,36103122901,36103123002,36103122902,36103123101,36103123102,36103123201,36103146703,36103123802,36103122602,36103123401,36103123500,36103123701,36103123900,36103124001,36103124002,36103124101,36103124102,36103124200,36103124402,36103124500,36103124601,36103135205,36103124602"
399,36019103800
442,"36019100902,36019100901,36019100800,36019100200"
307,"36077590101,36077590102,36077590600"
328,"36057072600,36057072700,36095740300,36095740200,36095740400"
441,"36019103200,36019101902,36019103100,36019103000,36019101000,36019102200,36019102100"
322,"36071011802,36071011801,36071011701,36071014501,36071011702,36071011500,36071015100,36071011400,36071001200,36071001300,36071001500,36071011301,36071001601,36071001602"
370,"36093033500,36001014613,36001014700,36001014612,36093033003,36093032403,36093032602,36093021200,36093033200,36093033300,36093032200,36093032300,36093032404,36093032601,36093032700,36001014606,36093033002,36093033004,36093033101,36093033102"
496,"36103190403,36103190606,36103169905,36103170005,36103190713,36103170204,36103170006,36103190710,36103170003,36103170004,36103190802,36103190709,36103190801,36103190604,36103190603,36103190706"
425,"36059518201,36103111506,36103111601,36103111602,36103111701,36103111703,36103111704,36103111802,36103110200,36103110300,36103110401,36103110402,36103110501,36103135101,36103110502,36103110801,36103110803,36103110901,36103110902,36103111001,36103135102,36103111002,36103111201,36103111202,36103111300,36103111401,36103111402,36103111503,36103111504,36103111804,36103112103,36103111103,36103110601,36103110104,36103110103,36103110602,36103111102,36103111101,36103111508,36103111507,36103111803,36103111801,36103110101,36103134703"
402,"36059416600,36059416201,36059416500,36059416701,36059416702,36059416300,36059411600,36059416401,36059416402,36059416801,36059416802,36059990400"
354,36041950300
