geoid_o,geoid_d,pop_flows
36081008600,36119009400,16.0
36071011701,36119009702,13.0
36119009100,36087012800,24.0
36005011502,36119009300,16.0
36005000400,36119009400,18.0
36005015200,36119009702,23.0
36087012800,36119009702,15.0
36081006100,36119009400,25.0
36119002103,36119009100,14.0
36119012502,36119009400,45.0
36119010804,36061019600,47.0
36087011603,36119009000,29.0
36115090000,36083041200,15.0
36005018900,36119008901,19.0
36059409000,36119009300,10.0
36119011102,36119009300,40.0
36119008700,36119012101,16.0
36119009000,36005015800,25.0
36005039000,36119009000,25.0
36119014605,36119009702,29.0
36119014000,36119009400,20.0
36083051701,36115093000,16.0
36119008901,36119010903,123.0
36119013201,36119009400,46.0
36027060201,36119008200,15.0
36119014909,36119009500,18.0
36061020000,36119985000,33.0
36115086000,36091060902,29.0
36119009400,36119003800,19.0
36119009400,36119009100,76.0
36089491500,36089490500,30.0
36119009000,36119007700,25.0
36089490300,36089491400,46.0
36119009702,36119005901,16.0
36119009500,36061010300,22.0
36119012102,36119985000,16.0
36119014903,36119009300,20.0
36005039902,36119009400,20.0
36119008200,36027060201,20.0
36119008700,36119002401,33.0
36047024200,36119009702,72.0
36119012503,36119009100,17.0
36119009100,36119006801,24.0
36119009000,36061009600,25.0
36119008700,36119011200,33.0
36119001600,36119009702,10.0
36119010804,36119003600,23.0
36089492000,36089491500,19.0
36119014604,36119009100,18.0
36119007700,36119009702,21.0
36005004200,36119008901,15.0
36083052102,36083051701,27.0
36083041300,36115092000,13.0
36119009400,36119010804,19.0
36119009702,36061004800,16.0
36119002900,36119009300,21.0
36083052103,36001013901,18.0
36119010903,36119010803,308.0
36119012000,36119008200,33.0
36119008700,36005042600,16.0
36079011400,36119009300,13.0
36047008000,36119009000,24.0
36119014703,36119009702,50.0
36119005500,36119010803,42.0
36119008700,36119003800,16.0
36119009702,36119005002,64.0
36119010804,36119010901,23.0
36119007800,36119985000,24.0
36119009400,36119012304,19.0
36119005002,36119009400,35.0
36119013202,36119009300,22.0
36115086000,36021000100,29.0
36079011700,36119009300,55.0
36119010803,36103190503,24.0
36119002101,36119010804,18.0
36119009100,36119003700,24.0
36119012301,36119009300,202.0
36119008200,36047004300,20.0
36115090000,36115087000,15.0
36119011800,36119009500,16.0
36119008200,36119000701,20.0
36119015000,36119009400,24.0
36071010801,36119008901,15.0
36083051800,36083051702,52.0
36119003100,36119008901,13.0
36119010801,36119010804,200.0
36119001401,36119009702,22.0
36119009000,36119014806,25.0
36119009300,36119012303,98.0
36119013700,36119009300,94.0
36119014808,36119010804,17.0
36087010804,36119009300,22.0
36089491500,36089491600,385.0
36119005800,36119009702,54.0
36005008300,36119009000,23.0
36119010803,36119002105,49.0
36119009702,36005012701,16.0
36119009702,36119003400,16.0
36027190204,36119009702,14.0
36027180001,36119009702,18.0
36119005500,36119009400,63.0
36119014701,36119009100,16.0
36119005001,36119009300,16.0
36119008200,36061029700,20.0
36119011902,36119010804,17.0
36119009600,36119009100,56.0
36027060100,36119009300,16.0
36115086000,36083051701,59.0
36119012101,36119009000,24.0
36119010804,36005035100,47.0
36119008700,36081035100,16.0
36119014907,36119009300,12.0
36119010803,36005038500,24.0
36119009702,36005022702,16.0
36115090000,36083051702,31.0
36119008403,36119010803,18.0
36119003100,36119009300,40.0
36119009300,36119005100,19.0
36005034000,36119009300,20.0
36071011102,36119009702,30.0
36005034500,36119009400,24.0
36005023000,36119009300,51.0
36083052103,36115089000,54.0
36119008901,36119009000,297.0
36119009300,36119003500,19.0
36119003500,36119009300,26.0
36119009500,36061011300,22.0
36119009400,36119011101,57.0
36119014607,36119009300,81.0
36005044901,36119009300,23.0
36119014809,36119985000,14.0
36071010400,36119009300,16.0
36119010902,36119009702,244.0
36081117500,36119010804,15.0
36083051702,36113070702,22.0
36083051702,36083052102,44.0
