origin,destination,flow
36001000100,36001000100,951.0
36001000100,36001000202,380.0
36001000100,36001000302,1442.0
36001000100,36001000401,317.0
36001000100,36001000403,126.0
36001000100,36001000404,63.0
36001000100,36001000501,126.0
36001000100,36001000502,126.0
36001000100,36001000600,190.0
36001000100,36001000700,63.0
36001000100,36001000800,190.0
36001000100,36001001100,443.0
36001000100,36001001400,63.0
36001000100,36001001500,190.0
36001000100,36001001600,63.0
36001000100,36001001700,190.0
36001000100,36001002100,206.0
36001000100,36001013509,206.0
36001000100,36001013507,63.0
36001000100,36001013512,269.0
36001000100,36001013703,142.0
36001000100,36001013708,63.0
36001000100,36001013707,126.0
36001000100,36001013901,63.0
36001000100,36001013902,253.0
36001000100,36001014001,412.0
36001000100,36001014002,63.0
36001000100,36021001200,63.0
36001000100,36021001300,63.0
36001000100,36061024500,63.0
36001000100,36085027702,63.0
36001000100,36087011700,63.0
36001000100,36093020300,63.0
36001000100,36093020600,63.0
36001000100,36093020900,63.0
36001000100,36093021700,63.0
36001000100,36093021802,63.0
36001000100,36093032404,126.0
36001000100,36093032902,63.0
36001000202,36001000100,69.0
36001000202,36001000202,3857.0
36001000202,36001000302,1719.0
36001000202,36001000401,908.0
36001000202,36001000403,279.0
36001000202,36001000404,55.0
36001000202,36001000501,405.0
36001000202,36001000502,209.0
36001000202,36001000600,1733.0
36001000202,36001000700,978.0
36001000202,36001000800,1216.0
36001000202,36001001100,2278.0
36001000202,36001001400,698.0
36001000202,36001001500,111.0
36001000202,36001001600,55.0
36001000202,36001001700,223.0
36001000202,36001001802,55.0
36001000202,36001002100,810.0
36001000202,36001002200,195.0
36001000202,36001013505,55.0
36001000202,36001013509,55.0
36001000202,36001013507,111.0
36001000202,36001013512,265.0
36001000202,36001013703,167.0
36001000202,36001013708,111.0
36001000202,36001013706,55.0
36001000202,36001013804,223.0
36001000202,36001013901,181.0
36001000202,36001013902,111.0
36001000202,36001014001,475.0
36001000202,36001014002,55.0
36001000202,36001014608,489.0
36001000202,36001014609,167.0
36001000202,36001014802,55.0
36001000202,36021001200,55.0
36001000202,36027220101,55.0
36001000202,36067011101,55.0
36001000202,36087011700,55.0
36001000202,36091062300,55.0
36001000202,36091062409,55.0
36001000202,36093020200,55.0
36001000202,36093020700,55.0
36001000202,36093021001,55.0
36001000202,36093032101,55.0
36001000202,36093032902,55.0
36001000202,36093033003,55.0
36001000202,36093033400,55.0
36001000302,36001000100,206.0
36001000302,36001000202,838.0
36001000302,36001000302,5741.0
36001000302,36001000401,696.0
36001000302,36001000403,593.0
36001000302,36001000404,51.0
36001000302,36001000501,722.0
36001000302,36001000502,412.0
36001000302,36001000600,1728.0
36001000302,36001000700,516.0
36001000302,36001000800,438.0
36001000302,36001001100,928.0
36001000302,36001001400,258.0
36001000302,36001001500,154.0
36001000302,36001001600,51.0
36001000302,36001001700,567.0
36001000302,36001001802,51.0
36001000302,36001002100,928.0
36001000302,36001002200,103.0
36001000302,36001013509,258.0
36001000302,36001013507,51.0
36001000302,36001013512,335.0
36001000302,36001013703,361.0
36001000302,36001013708,412.0
36001000302,36001013706,116.0
36001000302,36001013707,322.0
36001000302,36001013804,103.0
36001000302,36001013901,206.0
36001000302,36001013902,180.0
36001000302,36001014001,541.0
36001000302,36001014002,103.0
36001000302,36001014608,232.0
36001000302,36001014609,258.0
36001000302,36001014613,51.0
36001000302,36001014615,154.0
36001000302,36005014701,51.0
36001000302,36005016500,51.0
36001000302,36021001200,103.0
36001000302,36027190101,51.0
36001000302,36039080100,51.0
36001000302,36039080201,103.0
36001000302,36055010400,51.0
36001000302,36059416600,51.0
36001000302,36065025200,51.0
36001000302,36087011700,51.0
36001000302,36091060901,51.0
36001000302,36093020102,51.0
36001000302,36093020200,167.0
36001000302,36093020700,51.0
36001000302,36093021002,51.0
36001000302,36093021802,51.0
36001000302,36093032101,51.0
36001000302,36093032102,51.0
36001000302,36093032402,51.0
36001000302,36093032404,51.0
36001000302,36093032602,51.0
36001000302,36093033400,51.0
36001000302,36095740200,51.0
36001000302,36119000101,51.0
36001000302,36119000103,51.0
36001000302,36119002000,51.0
36001000401,36001000302,120.0
36001000401,36001000401,955.0
36001000401,36001000403,37.0
36001000401,36001000404,67.0
36001000401,36001000600,37.0
36001000401,36001001100,120.0
36001000401,36001013509,60.0
36001000401,36001013512,30.0
36001000401,36001013703,90.0
36001000401,36001013708,150.0
36001000401,36001013804,120.0
36001000401,36001013901,150.0
36001000401,36001013902,157.0
36001000401,36001014001,30.0
36001000401,36001014608,180.0
36001000401,36001014609,90.0
36001000401,36001014614,60.0
36001000401,36001014615,195.0
36001000401,36093020200,30.0
36001000401,36093020600,30.0
36001000401,36093020700,30.0
36001000401,36093021001,60.0
36001000401,36093021700,30.0
36001000401,36093021802,30.0
36001000401,36093031901,30.0
36001000401,36093032402,45.0
36001000401,36093032902,45.0
36001000401,36095740200,90.0
36001000403,36001000202,147.0
36001000403,36001000302,1421.0
36001000403,36001000401,683.0
36001000403,36001000403,1827.0
36001000403,36001000404,73.0
36001000403,36001000501,73.0
36001000403,36001000502,221.0
36001000403,36001000600,812.0
36001000403,36001000700,129.0
36001000403,36001000800,147.0
36001000403,36001001100,793.0
36001000403,36001001400,221.0
36001000403,36001001500,73.0
36001000403,36001001600,147.0
36001000403,36001001700,295.0
36001000403,36001001802,480.0
36001000403,36001002100,516.0
36001000403,36001013509,73.0
36001000403,36001013507,147.0
36001000403,36001013604,73.0
36001000403,36001013703,424.0
36001000403,36001013708,738.0
36001000403,36001013804,295.0
36001000403,36001013901,147.0
36001000403,36001013902,221.0
36001000403,36001014001,738.0
36001000403,36001014617,73.0
36001000403,36001014608,498.0
36001000403,36001014609,221.0
36001000403,36001014613,73.0
36001000403,36001014615,295.0
36001000403,36005037800,73.0
36001000403,36027220101,73.0
36001000403,36055007801,73.0
36001000403,36091062407,166.0
36001000403,36091062409,92.0
36001000403,36091062503,73.0
36001000403,36091062506,73.0
36001000403,36091062509,73.0
36001000403,36093020200,73.0
36001000403,36093020300,73.0
36001000403,36093021700,73.0
36001000403,36093021802,147.0
36001000403,36093031901,73.0
36001000403,36093032101,73.0
36001000403,36093032602,147.0
36001000403,36093032902,73.0
36001000403,36093033400,147.0
36001000403,36093033500,73.0
36001000403,36097950100,73.0
36001000403,36109000500,73.0
36001000404,36001000401,294.0
36001000404,36001000403,90.0
36001000404,36001000404,588.0
36001000404,36001001100,90.0
36001000404,36001002100,180.0
36001000404,36001013902,90.0
36001000404,36001014001,90.0
36001000404,36001014617,90.0
36001000404,36001014608,180.0
36001000404,36021001000,90.0
36001000404,36027140101,90.0
36001000404,36075021601,90.0
36001000404,36085024401,90.0
36001000404,36091062509,90.0
36001000404,36119012201,90.0
36001000501,36001000100,161.0
36001000501,36001000202,423.0
36001000501,36001000302,2014.0
36001000501,36001000401,644.0
36001000501,36001000403,483.0
36001000501,36001000501,2941.0
36001000501,36001000502,282.0
36001000501,36001000600,2135.0
36001000501,36001000700,161.0
36001000501,36001000800,261.0
36001000501,36001001100,483.0
36001000501,36001001400,322.0
36001000501,36001001500,161.0
36001000501,36001001600,282.0
36001000501,36001001700,241.0
36001000501,36001002100,745.0
36001000501,36001013505,80.0
36001000501,36001013512,80.0
36001000501,36001013703,483.0
36001000501,36001013708,322.0
36001000501,36001013707,161.0
36001000501,36001013804,342.0
36001000501,36001013901,161.0
36001000501,36001013902,80.0
36001000501,36001014001,483.0
36001000501,36001014002,161.0
36001000501,36001014608,604.0
36001000501,36001014609,241.0
36001000501,36001014615,80.0
36001000501,36005030202,80.0
36001000501,36071011301,161.0
36001000501,36091062407,80.0
36001000501,36091062409,80.0
36001000501,36093020101,80.0
36001000501,36093021600,80.0
36001000501,36093031901,161.0
36001000501,36093033200,80.0
36001000501,36093033400,80.0
36001000501,36093033500,201.0
36001000502,36001000202,121.0
36001000502,36001000302,726.0
36001000502,36001000401,484.0
36001000502,36001000403,484.0
36001000502,36001000404,121.0
36001000502,36001000501,121.0
36001000502,36001000502,1302.0
36001000502,36001000600,363.0
36001000502,36001000800,121.0
36001000502,36001001100,605.0
36001000502,36001001400,484.0
36001000502,36001001600,121.0
36001000502,36001001700,1423.0
36001000502,36001001802,121.0
36001000502,36001002100,726.0
36001000502,36001002200,121.0
36001000502,36001013512,121.0
36001000502,36001013708,121.0
36001000502,36001013804,121.0
36001000502,36001013901,242.0
36001000502,36001014001,484.0
36001000502,36001014608,363.0
36001000502,36001014609,121.0
36001000502,36021000401,121.0
36001000502,36031960402,121.0
36001000502,36031960502,121.0
36001000502,36093021001,121.0
36001000502,36093031901,242.0
36001000600,36001000100,42.0
36001000600,36001000202,343.0
36001000600,36001000302,1094.0
36001000600,36001000401,321.0
36001000600,36001000403,96.0
36001000600,36001000501,214.0
36001000600,36001000502,139.0
36001000600,36001000600,4614.0
36001000600,36001000700,493.0
36001000600,36001000800,343.0
36001000600,36001001100,729.0
36001000600,36001001400,42.0
36001000600,36001001500,96.0
36001000600,36001001600,85.0
36001000600,36001001700,42.0
36001000600,36001001802,42.0
36001000600,36001002100,300.0
36001000600,36001013505,85.0
36001000600,36001013509,53.0
36001000600,36001013507,128.0
36001000600,36001013512,85.0
36001000600,36001013703,203.0
36001000600,36001013804,128.0
36001000600,36001013901,85.0
36001000600,36001013902,128.0
