origin,destination,flow
53001950400,53021020605,132
53001950400,53021020606,108
53001950400,53005010809,341
53001950400,53025010401,59
53001950400,53075000400,75
53001950400,53063014001,96
53001950400,53025010904,922
53001950400,53025011002,408
53001950400,53005011702,102
53001950400,53005010901,467
53001950400,53025010700,95
53001950400,53033028402,291
53001950400,53005011300,102
53001950400,53063000400,157
53001950400,53021020202,267
53001950400,53025011102,257
53001950400,53021020102,333
53001950400,53001950500,5809
53001950400,53021020404,117
53001950400,53001950400,8162
53001950500,53021980100,43
53001950500,53005010819,289
53001950500,53005010817,481
53001950500,53063010902,42
53001950500,53021020605,274
53001950500,53021020606,53
53001950500,53067012331,73
53001950500,53005010809,1418
53001950500,53005010500,284
53001950500,53063013700,77
53001950500,53005011100,75
53001950500,53025011406,76
53001950500,53005010600,75
53001950500,53025011200,70
53001950500,53077001801,91
53001950500,53025010904,1232
53001950500,53025011002,1712
53001950500,53063003200,100
53001950500,53033005303,95
53001950500,53033029203,95
53001950500,53061041202,197
53001950500,53071920600,109
53001950500,53053061601,114
53001950500,53005010901,607
53001950500,53077002005,120
53001950500,53021020300,202
53001950500,53025010800,76
53001950500,53077940005,108
53001950500,53025011300,293
53001950500,53063010401,265
53001950500,53077002701,114
53001950500,53077940002,103
53001950500,53025011102,987
53001950500,53001950400,10296
53001950500,53077002003,120
53001950500,53021020102,253
53001950500,53001950500,12836
53003960100,53071920400,111
53003960100,53063014500,58
53003960100,53077002003,43
53003960100,53003960400,62
53003960100,53063011203,70
53003960100,53063000400,51
53003960100,53063011702,59
53003960100,53063002000,69
53003960100,53003960300,7230
53003960100,53063003500,66
53003960100,53003960500,1449
53003960100,53063003900,99
53003960100,53063002501,85
53003960100,53071920702,88
53003960100,53033009300,95
53003960100,53075000201,136
53003960100,53075000400,216
53003960100,53005010600,108
53003960100,53063013700,120
53003960100,53075000602,220
53003960100,53071920801,310
53003960100,53003960600,816
53003960100,53063000900,114
53003960100,53063001100,107
53003960100,53003960100,3053
53003960300,53005010817,53
53003960300,53063010902,34
53003960300,53003960100,70
53003960300,53005010815,58
53003960300,53063011701,37
53003960300,53003960600,111
53003960300,53005010809,144
53003960300,53077002005,59
53003960300,53075000400,120
53003960300,53063002501,140
53003960300,53003960500,1277
53003960300,53063003200,55
53003960300,53063012901,81
53003960300,53063003500,65
53003960300,53003960300,6576
53003960400,53003960100,44
53003960400,53003960600,133
53003960400,53075000400,181
53003960400,53003960500,413
53003960400,53003960300,4410
53003960400,53033028802,133
53003960400,53003960400,979
53003960500,53003960100,39
53003960500,53037975201,39
53003960500,53003960600,469
53003960500,53071920801,70
53003960500,53001950500,70
53003960500,53003960400,357
53003960500,53035092200,82
53003960500,53013960200,272
53003960500,53035092101,97
53003960500,53071920600,132
53003960500,53003960300,6932
53003960500,53063003900,111
53003960500,53063011800,155
53003960500,53003960500,2469
53003960600,53071920400,45
53003960600,53071920500,51
53003960600,53063000400,67
53003960600,53071920302,72
53003960600,53003960300,5745
53003960600,53033008004,64
53003960600,53033005303,185
53003960600,53003960500,2041
53003960600,53063011102,110
53003960600,53063011900,86
53003960600,53033026200,99
53003960600,53075000100,231
53003960600,53075000400,106
53003960600,53013960200,223
53003960600,53033001202,107
53003960600,53063013700,138
53003960600,53003960100,274
53003960600,53063001100,142
53003960600,53063010506,140
53003960600,53033005201,152
53003960600,53033004301,156
53003960600,53063011701,139
53003960600,53003960600,1705
53005010100,53021980100,149
53005010100,53021020202,41
53005010100,53021020300,81
53005010100,53005011201,64
53005010100,53071920500,87
53005010100,53021020404,202
53005010100,53005011001,171
53005010100,53021020102,122
53005010100,53033028402,115
53005010100,53005011002,104
53005010100,53005010902,120
53005010100,53005010901,1126
53005010100,53071920600,74
53005010100,53005011702,69
53005010100,53005011600,68
53005010100,53005011501,75
53005010100,53005010703,70
53005010100,53033005306,57
53005010100,53021020504,234
53005010100,53033008500,67
53005010100,53033008101,225
53005010100,53033026200,79
53005010100,53005010600,5000
53005010100,53005011100,171
53005010100,53013960200,67
53005010100,53035092400,73
53005010100,53005010807,102
53005010100,53005010500,6293
53005010100,53005010809,1921
53005010100,53033004402,175
53005010100,53005010203,2249
53005010100,53005010300,263
53005010100,53033008002,182
53005010100,53035092500,121
53005010100,53033003601,258
