origin,destination,flow
53001950400,53017950300,3.0
53001950400,53025010904,126.0
53001950400,53025011002,387.0
53001950400,53005011702,124.0
53001950400,53063000400,154.0
53001950400,53025011102,253.0
53001950400,53001950500,6287.0
53001950400,53001950400,8014.0
53001950500,53053060300,1.0
53001950500,53005010500,3.0
53001950500,53025011406,1.0
53001950500,53025010904,41.0
53001950500,53037975600,6.0
53001950500,53025011002,290.0
53001950500,53033000404,42.0
53001950500,53063003200,74.0
53001950500,53061041202,236.0
53001950500,53053061601,138.0
53001950500,53077001400,116.0
53001950500,53025011300,326.0
53001950500,53025011102,1126.0
53001950500,53001950500,13484.0
53001950500,53077002003,119.0
53001950500,53001950400,11687.0
53001950500,53025010800,144.0
53001950500,53077002005,143.0
53003960200,53003960200,3.0
53003960200,53003960600,3.0
53003960200,53071920100,1.0
53003960200,53043960400,8.0
53003960200,53061041704,14.0
53003960200,53063012701,47.0
53003960200,53063002501,73.0
53003960200,53003960500,2136.0
53003960200,53065950500,253.0
53003960200,53063003500,234.0
53003960200,53003960300,10449.0
53003960200,53063001600,117.0
53003960200,53063011702,384.0
53003960200,53003960400,235.0
53003960300,53003960200,1.0
53003960300,53063011701,3.0
53003960300,53003960600,25.0
53003960300,53063002501,69.0
53003960300,53003960500,1357.0
53003960300,53063003200,94.0
53003960300,53063003500,85.0
53003960300,53003960300,6795.0
53003960300,53077002005,65.0
53003960400,53003960200,1.0
53003960400,53003960600,13.0
53003960400,53003960500,361.0
53003960400,53003960300,4898.0
53003960400,53003960400,812.0
53003960500,53003960600,2.0
53003960500,53013960200,3.0
53003960500,53063003900,6.0
53003960500,53003960500,277.0
53003960500,53063011800,87.0
53003960500,53003960300,9633.0
53003960500,53035092200,154.0
53003960500,53003960400,764.0
53003960500,53001950500,157.0
53003960600,53063001100,1.0
53003960600,53043960100,1.0
53003960600,53003960600,34.0
53003960600,53013960200,25.0
53003960600,53063011900,50.0
53003960600,53003960500,2380.0
53003960600,53071920400,116.0
53003960600,53003960300,8570.0
53003960600,53071920302,104.0
53003960600,53063000400,93.0
53005010201,53005010819,1.0
53005010201,53005010817,13.0
53005010201,53005010708,9.0
53005010201,53005011506,2.0
53005010201,53005010201,125.0
53005010201,53007960203,6.0
53005010201,53071920100,9.0
53005010201,53005010300,272.0
53005010201,53005010203,1567.0
53005010201,53005010500,7928.0
53005010201,53005010807,115.0
53005010201,53037975402,140.0
53005010201,53005010400,381.0
53005010201,53025011002,327.0
53005010201,53005010703,888.0
53005010201,53073000201,305.0
53005010201,53005011501,318.0
53005010201,53071920400,650.0
53005010201,53071920400,650.0
53005010201,53063012300,515.0
53005010201,53077002103,332.0
53005010201,53063003500,325.0
53005010201,53033029309,321.0
53005010201,53039950200,309.0
53005010201,53005011702,1673.0
53005010201,53077001400,669.0
53005010203,53005010705,1.0
53005010203,53005010817,19.0
53005010203,53005010708,7.0
53005010203,53005011506,10.0
53005010203,53035091400,13.0
53005010203,53005010201,221.0
53005010203,53071920100,34.0
53005010203,53005010300,497.0
53005010203,53005010203,5195.0
53005010203,53005010500,10926.0
53005010203,53013960200,147.0
53005010203,53025011406,167.0
53005010203,53035091201,185.0
53005010203,53005010400,197.0
53005010203,53035081000,219.0
53005010203,53035091204,203.0
53005010203,53005010703,185.0
53005010203,53005011501,229.0
53005010203,53063003200,207.0
53005010203,53077002103,168.0
53005010203,53063003500,216.0
53005010203,53077002003,650.0
53005010203,53077002005,185.0
53005010300,53005010819,4.0
53005010300,53005010817,17.0
53005010300,53005010708,2.0
53005010300,53005011506,3.0
53005010300,53005010201,39.0
53005010300,53033022201,10.0
53005010300,53005010300,709.0
53005010300,53005010203,1163.0
53005010300,53005010500,5550.0
53005010300,53005010807,137.0
53005010300,53061051802,203.0
53005010300,53005010400,2691.0
53005010300,53025011002,514.0
53005010300,53005010703,515.0
53005010300,53005011501,591.0
53005010300,53063003200,1238.0
53005010300,53063003500,601.0
53005010300,53071920000,1249.0
53005010300,53071920302,658.0
53005010300,53005011702,1214.0
53005010300,53063011702,614.0
53005010300,53077001400,633.0
53005010300,53063000400,936.0
53005010300,53077002005,636.0
53005010400,53005010705,1.0
53005010400,53005010817,5.0
53005010400,53005010708,7.0
53005010400,53005011506,2.0
53005010400,53005010201,86.0
53005010400,53037975500,46.0
53005010400,53033023000,124.0
53005010400,53005010300,577.0
53005010400,53005010203,1132.0
53005010400,53005010500,6349.0
53005010400,53025010401,295.0
53005010400,53037975402,287.0
53005010400,53005010400,1076.0
53005010400,53037975600,152.0
53005010400,53063000400,163.0
53005010400,53077002003,135.0
53005010500,53005010819,1.0
53005010500,53005010817,2.0
53005010500,53005011506,6.0
53005010500,53005010201,23.0
53005010500,53041972000,6.0
53005010500,53033022603,11.0
53005010500,53005010300,136.0
53005010500,53005010203,845.0
53005010500,53005010500,8273.0
53005010500,53005010807,240.0
53005010500,53063002501,124.0
53005010500,53005010400,679.0
53005010500,53077001100,184.0
53005010500,53005010703,198.0
53005010500,53005011900,260.0
53005010500,53063003200,214.0
53005010500,53071920400,442.0
53005010500,53005011702,256.0
53005010500,53063011702,196.0
53005010500,53077001400,219.0
53005010500,53041970800,237.0
53005010500,53077002003,204.0
53005010701,53005010819,1.0
53005010701,53005010817,5.0
53005010701,53005010708,6.0
53005010701,53005011506,3.0
53005010701,53005010201,10.0
53005010701,53005010701,9.0
53005010701,53041971400,18.0
53005010701,53005010300,48.0
53005010701,53005010203,473.0
53005010701,53033024800,226.0
53005010701,53067010100,267.0
53005010701,53005010500,2872.0
53005010701,53005010807,306.0
53005010701,53033023401,318.0
53005010701,53063002501,320.0
53005010701,53063002400,676.0
53005010701,53005010703,344.0
53005010701,53005011900,2017.0
53005010701,53071920000,334.0
53005010701,53005011702,1023.0
53005010701,53025011102,337.0
53005010703,53005010705,1.0
53005010703,53005010817,4.0
53005010703,53005010708,11.0
53005010703,53005011506,3.0
53005010703,53005010201,16.0
53005010703,53063012100,7.0
53005010703,53005010300,8.0
53005010703,53005010203,342.0
53005010703,53015001200,60.0
53005010703,53005010500,3421.0
53005010703,53063012200,250.0
53005010703,53005010807,135.0
53005010703,53063004002,177.0
53005010703,53025010401,186.0
53005010703,53037975402,199.0
53005010703,53005010400,229.0
53005010703,53035092300,302.0
53005010703,53005010703,4201.0
53005010703,53005011900,631.0
53005010703,53063003200,485.0
53005010703,53063003500,258.0
53005010703,53005011702,220.0
53005010703,53047970601,242.0
53005010703,53077001400,214.0
53005010705,53005010819,2.0
53005010705,53005010705,3.0
53005010705,53005010817,64.0
53005010705,53005010708,33.0
53005010705,53033022805,2.0
53005010705,53005011506,22.0
53005010705,53005010201,87.0
53005010705,53041972000,32.0
53005010705,53053070100,49.0
53005010705,53033025104,98.0
53005010705,53033032313,184.0
53005010705,53071920100,489.0
53005010705,53005010300,920.0
53005010705,53005010203,2039.0
53005010705,53063012401,361.0
53005010705,53005010500,11525.0
53005010705,53037975402,368.0
53005010705,53005010400,1075.0
53005010705,53005010703,3029.0
53005010705,53073001000,354.0
53005010705,53073000600,718.0
53005010705,53005011702,725.0
53005010705,53077001901,339.0
53005010705,53077002003,1104.0
53005010707,53005010819,2.0
53005010707,53005010814,1.0
53005010707,53005010811,1.0
53005010707,53005010705,10.0
53005010707,53005010817,400.0
53005010707,53005010708,327.0
53005010707,53005011506,61.0
53005010707,53005010201,1415.0
53005010707,53005010701,228.0
53005010707,53005010300,581.0
53005010707,53005010203,1735.0
53005010707,53005010500,8811.0
53005010707,53005010807,727.0
53005010707,53025010401,362.0
53005010707,53013960200,343.0
53005010707,53005010703,1092.0
53005010707,53005011900,396.0
53005010707,53005011702,342.0
53005010707,53077002003,396.0
53005010707,53077002005,364.0
53005010708,53005010819,3.0
53005010708,53005010817,23.0
53005010708,53005010708,25.0
53005010708,53005011506,7.0
53005010708,53005010201,28.0
53005010708,53033023808,3.0
53005010708,53037975500,8.0
53005010708,53005010701,20.0
53005010708,53033032313,33.0
53005010708,53005010300,442.0
53005010708,53005010203,1384.0
53005010708,53005010500,5134.0
53005010708,53077002803,161.0
53005010708,53005010807,201.0
53005010708,53013960200,210.0
53005010708,53037975402,413.0
53005010708,53005010400,415.0
53005010708,53025010904,243.0
53005010708,53037975600,211.0
53005010708,53005010703,3326.0
53005010708,53071920000,420.0
53005010708,53005011702,886.0
53005010708,53077001400,233.0
53005010708,53077001901,200.0
53005010708,53077002003,226.0
53005010708,53053071806,443.0
53005010807,53005010705,1.0
53005010807,53005010817,13.0
53005010807,53005010708,3.0
53005010807,53005011506,24.0
53005010807,53005010201,101.0
53005010807,53007960502,167.0
53005010807,53005010500,1692.0
53005010807,53005010807,561.0
53005010807,53037975600,241.0
53005010807,53005010703,241.0
53005010807,53005011900,1507.0
53005010807,53005011702,489.0
53005010807,53063000400,245.0
53005010807,53041970300,275.0
53005010811,53005010819,3.0
53005010811,53005010705,2.0
53005010811,53005010817,34.0
53005010811,53033032706,2.0
53005010811,53005010708,2.0
53005010811,53005011506,17.0
53005010811,53005010201,17.0
53005010811,53067012221,8.0
53005010811,53005010701,10.0
53005010811,53005010300,18.0
