origin,destination,flow
53001950400,53021020605,119
53001950400,53021020606,105
53001950400,53005010809,344
53001950400,53025010401,60
53001950400,53075000400,78
53001950400,53063014001,89
53001950400,53025010904,895
53001950400,53025011002,418
53001950400,53005011702,103
53001950400,53005010901,509
53001950400,53025010700,104
53001950400,53033028402,333
53001950400,53005011300,120
53001950400,53063000400,135
53001950400,53025011102,229
53001950400,53021020102,395
53001950400,53001950500,5843
53001950400,53001950400,7984
53001950400,53021020404,138
53001950400,53021020202,299
53001950500,53021980100,59
53001950500,53005010819,260
53001950500,53005010817,501
53001950500,53063010902,70
53001950500,53021020605,279
53001950500,53021020606,53
53001950500,53067012331,76
53001950500,53005010809,1419
53001950500,53005010500,305
53001950500,53063013700,82
53001950500,53005011100,79
53001950500,53025011406,78
53001950500,53005010600,86
53001950500,53025011200,76
53001950500,53077001801,83
53001950500,53025010904,1334
53001950500,53025011002,1783
53001950500,53063003200,96
53001950500,53033005303,92
53001950500,53033029203,116
53001950500,53061041202,219
53001950500,53071920600,105
53001950500,53053061601,117
53001950500,53005010901,696
53001950500,53025011300,287
53001950500,53063010401,293
53001950500,53025011102,973
53001950500,53021020102,254
53001950500,53001950500,11701
53001950500,53077002003,132
53001950500,53001950400,10738
53001950500,53077940002,145
53001950500,53077002701,147
53001950500,53077940005,140
53001950500,53025010800,141
53001950500,53021020300,302
53001950500,53077002005,138
53003960100,53071920400,107
53003960100,53003960100,1098
53003960100,53063001100,48
53003960100,53063000900,56
53003960100,53003960600,401
53003960100,53071920801,168
53003960100,53075000602,144
53003960100,53063013700,67
53003960100,53005010600,71
53003960100,53075000400,164
53003960100,53075000201,134
53003960100,53033009300,77
53003960100,53071920702,101
53003960100,53063002501,94
53003960100,53063003900,84
53003960100,53003960500,1734
53003960100,53063003500,80
53003960100,53003960300,9396
53003960100,53063002000,112
53003960100,53063011702,108
53003960100,53063000400,108
53003960100,53063011203,125
53003960100,53003960400,122
53003960100,53077002003,122
53003960100,53063014500,114
53003960300,53005010817,47
53003960300,53063010902,23
53003960300,53003960100,74
53003960300,53005010815,45
53003960300,53063011701,41
53003960300,53003960600,111
53003960300,53005010809,125
53003960300,53075000400,117
53003960300,53063002501,151
53003960300,53003960500,1309
53003960300,53063003200,66
53003960300,53063012901,63
53003960300,53063003500,78
53003960300,53003960300,6565
53003960300,53077002005,65
53003960400,53003960100,37
53003960400,53003960600,122
53003960400,53075000400,159
53003960400,53003960500,401
53003960400,53003960300,4622
53003960400,53003960400,822
53003960400,53033028802,130
53003960500,53003960100,47
53003960500,53037975201,43
53003960500,53003960600,504
53003960500,53071920801,80
53003960500,53013960200,261
53003960500,53035092101,78
53003960500,53063003900,96
53003960500,53003960500,1984
53003960500,53063011800,143
53003960500,53003960300,7044
53003960500,53071920600,154
53003960500,53035092200,157
53003960500,53003960400,572
53003960500,53001950500,131
53003960600,53071920400,36
53003960600,53033008004,30
53003960600,53003960100,78
53003960600,53063001100,45
53003960600,53063010506,60
53003960600,53033004301,57
53003960600,53063011701,49
53003960600,53003960600,614
53003960600,53033005201,66
53003960600,53063013700,56
53003960600,53033001202,63
53003960600,53013960200,134
53003960600,53075000400,70
53003960600,53075000100,162
53003960600,53033026200,85
53003960600,53063011900,81
53003960600,53063011102,100
53003960600,53003960500,2284
53003960600,53033005303,184
53003960600,53003960300,7528
53003960600,53071920302,108
53003960600,53063000400,97
53003960600,53071920500,91
53005010100,53021980100,151
53005010100,53067012002,38
53005010100,53005010819,382
53005010100,53005010811,54
53005010100,53005010817,1003
53005010100,53005010810,55
53005010100,53005010708,173
53005010100,53033010200,98
53005010100,53033008402,116
53005010100,53005010100,1789
53005010100,53005010201,929
53005010100,53011040101,70
53005010100,53033008200,111
53005010100,53021020605,128
53005010100,53005010815,283
53005010100,53005011402,88
53005010100,53021020501,78
53005010100,53021020606,248
53005010100,53033003601,207
53005010100,53035092500,83
53005010100,53033008002,162
53005010100,53005010300,266
53005010100,53005010203,2338
53005010100,53033004402,224
53005010100,53005010809,2127
53005010100,53005010500,6759
53005010100,53005010807,81
53005010100,53035092400,80
53005010100,53013960200,94
53005010100,53005011100,263
53005010100,53005010600,6589
53005010100,53033026200,94
53005010100,53033008101,325
53005010100,53033008500,90
53005010100,53021020504,354
53005010100,53033005306,100
53005010100,53005010703,105
53005010100,53005011501,116
53005010100,53005011600,96
53005010100,53005011702,123
53005010100,53071920600,135
53005010100,53005010901,2161
53005010100,53005010902,241
53005010100,53005011002,278
53005010100,53033028402,276
53005010100,53021020102,291
53005010100,53005011001,405
53005010100,53021020404,566
53005010100,53071920500,291
53005010100,53005011201,144
53005010100,53021020300,289
53005010100,53021020202,137
53005010201,53021980100,64
53005010201,53071920400,61
53005010201,53071920400,61
53005010201,53005010707,24
53005010201,53005010819,370
53005010201,53005010705,106
53005010201,53005010817,1901
53005010201,53005010810,69
53005010201,53005010708,413
53005010201,53005011506,119
53005010201,53005010100,849
53005010201,53005010201,1993
53005010201,53021020605,514
53005010201,53005010815,137
53005010201,53021020501,170
53005010201,53021020606,308
53005010201,53005010300,648
53005010201,53005010203,1943
53005010201,53005010809,1720
53005010201,53005010500,5996
53005010201,53005010807,50
53005010201,53021020603,64
53005010201,53005011100,107
53005010201,53005010600,3730
53005010201,53071920802,186
53005010201,53005010400,118
53005010201,53025011200,64
53005010201,53077001801,54
53005010201,53025011002,95
53005010201,53021020504,71
53005010201,53005010703,203
53005010201,53005011802,71
53005010201,53005011501,74
53005010201,53063012300,122
53005010201,53077002103,69
53005010201,53063003500,82
53005010201,53033029309,68
53005010201,53039950200,79
53005010201,53005011702,376
53005010201,53005010901,1657
53005010201,53025010700,72
53005010201,53007960400,138
53005010201,53005010902,153
53005010201,53005011002,471
53005010201,53033028402,158
53005010201,53005011300,587
53005010201,53005011401,76
53005010201,53021020102,252
53005010201,53005011001,368
53005010201,53015001504,96
53005010201,53021020404,229
53005010201,53071920500,358
53005010201,53005011201,566
53005010201,53021020300,100
53005010201,53021020202,574
53005010201,53033029206,98
53005010203,53021980100,58
53005010203,53033010502,46
53005010203,53005010707,46
53005010203,53005010819,296
53005010203,53005010811,42
53005010203,53005010705,119
53005010203,53005010817,2109
53005010203,53005010708,554
53005010203,53005011506,403
53005010203,53005010100,1394
53005010203,53005010201,1173
53005010203,53021020605,216
53005010203,53005010815,656
53005010203,53027000202,56
53005010203,53021020501,76
53005010203,53021020606,147
53005010203,53005010300,566
53005010203,53005010203,3794
53005010203,53075000602,80
53005010203,53005010809,2221
53005010203,53005010500,6581
53005010203,53013960200,93
53005010203,53005011100,243
53005010203,53025011406,82
53005010203,53005010600,5031
53005010203,53063014001,139
53005010203,53033026200,71
53005010203,53033008101,113
53005010203,53071920702,109
53005010203,53005010400,98
53005010203,53035081000,103
53005010203,53021020504,116
53005010203,53035091204,96
53005010203,53005010703,130
53005010203,53005011501,98
53005010203,53063003200,116
53005010203,53033005303,116
53005010203,53077002103,112
53005010203,53063003500,111
53005010203,53071920600,107
53005010203,53005010901,3310
53005010203,53005011002,1102
53005010203,53033028402,377
53005010203,53005011300,504
53005010203,53021020102,392
53005010203,53005011001,916
53005010203,53077002003,370
53005010203,53021020404,662
53005010203,53077940002,144
53005010203,53005011201,432
53005010203,53021020300,429
53005010203,53021020202,397
53005010203,53077002005,141
53005010300,53005010707,130
53005010300,53005010819,999
53005010300,53005010817,2432
53005010300,53005010810,244
53005010300,53005010708,216
53005010300,53005011506,137
53005010300,53005010100,769
53005010300,53005010201,618
53005010300,53033022201,57
53005010300,53021020605,431
53005010300,53005010815,509
53005010300,53021020501,383
53005010300,53021020606,770
53005010300,53005010300,2277
53005010300,53005010203,1788
53005010300,53005010809,2726
53005010300,53005010500,5205
53005010300,53005010807,102
53005010300,53063013700,87
53005010300,53021020603,93
53005010300,53005011100,68
53005010300,53005010600,6435
