origin,destination,flow
53001950400,53001950400,8074.0
53001950400,53001950500,6180.0
53001950400,53025011102,259.0
53001950400,53063000400,153.0
53001950400,53005011702,127.0
53001950400,53025011002,400.0
53001950400,53025010904,150.0
53001950400,53017950300,5.0
53001950500,53077002005,126.0
53001950500,53025010800,136.0
53001950500,53001950400,11596.0
53001950500,53077002003,157.0
53001950500,53001950500,13517.0
53001950500,53025011102,1081.0
53001950500,53025011300,354.0
53001950500,53077001400,140.0
53001950500,53053061601,133.0
53001950500,53061041202,232.0
53001950500,53063003200,84.0
53001950500,53033000404,56.0
53001950500,53025011002,328.0
53001950500,53037975600,4.0
53001950500,53025010904,25.0
53001950500,53005010500,8.0
53003960200,53003960400,228.0
53003960200,53063011702,358.0
53003960200,53063001600,110.0
53003960200,53003960300,10503.0
53003960200,53063003500,263.0
53003960200,53065950500,241.0
53003960200,53003960500,2072.0
53003960200,53063002501,95.0
53003960200,53063012701,63.0
53003960200,53061041704,12.0
53003960200,53043960400,2.0
53003960200,53071920100,2.0
53003960200,53003960600,4.0
53003960200,53003960200,4.0
53003960300,53077002005,68.0
53003960300,53003960300,6822.0
53003960300,53063003500,83.0
53003960300,53063003200,81.0
53003960300,53003960500,1316.0
53003960300,53063002501,97.0
53003960300,53003960600,23.0
53003960300,53063011701,2.0
53003960300,53003960200,2.0
53003960400,53003960400,752.0
53003960400,53003960300,4912.0
53003960400,53003960500,411.0
53003960400,53003960600,9.0
53003960400,53003960200,1.0
53003960500,53001950500,166.0
53003960500,53003960400,735.0
53003960500,53035092200,166.0
53003960500,53003960300,9603.0
53003960500,53063011800,105.0
53003960500,53003960500,302.0
53003960500,53013960200,4.0
53003960500,53003960600,2.0
53003960600,53063000400,98.0
53003960600,53071920302,108.0
53003960600,53003960300,8575.0
53003960600,53071920400,100.0
53003960600,53003960500,2364.0
53003960600,53063011900,66.0
53003960600,53013960200,40.0
53003960600,53003960600,20.0
53003960600,53043960100,2.0
53003960600,53063011701,1.0
53005010201,53077001400,631.0
53005010201,53005011702,1647.0
53005010201,53039950200,322.0
53005010201,53033029309,349.0
53005010201,53063003500,337.0
53005010201,53077002103,315.0
53005010201,53063012300,473.0
53005010201,53071920400,663.0
53005010201,53071920400,663.0
53005010201,53005011501,333.0
53005010201,53073000201,301.0
53005010201,53005010703,854.0
53005010201,53025011002,337.0
53005010201,53005010400,398.0
53005010201,53037975402,135.0
53005010201,53005010807,84.0
53005010201,53005010500,7956.0
53005010201,53005010203,1586.0
53005010201,53005010300,288.0
53005010201,53071920100,6.0
53005010201,53007960203,5.0
53005010201,53005010201,160.0
53005010201,53005011506,2.0
53005010201,53005010708,5.0
53005010201,53005010817,12.0
53005010201,53005010819,1.0
53005010203,53077002005,192.0
53005010203,53077002003,600.0
53005010203,53063003500,187.0
53005010203,53077002103,196.0
53005010203,53063003200,175.0
53005010203,53005011501,217.0
53005010203,53005010703,223.0
53005010203,53035091204,190.0
53005010203,53035081000,209.0
53005010203,53005010400,180.0
53005010203,53035091201,193.0
53005010203,53025011406,167.0
53005010203,53013960200,186.0
53005010203,53005010500,10979.0
53005010203,53005010203,5127.0
53005010203,53005010300,496.0
53005010203,53071920100,43.0
53005010203,53005010201,276.0
53005010203,53035091400,9.0
53005010203,53005011506,12.0
53005010203,53005010708,7.0
53005010203,53005010817,16.0
53005010203,53005010705,1.0
53005010300,53077002005,600.0
53005010300,53063000400,888.0
53005010300,53077001400,633.0
53005010300,53063011702,608.0
53005010300,53005011702,1251.0
53005010300,53071920302,593.0
53005010300,53071920000,1256.0
53005010300,53063003500,570.0
53005010300,53063003200,1255.0
53005010300,53005011501,603.0
53005010300,53005010703,620.0
53005010300,53025011002,467.0
53005010300,53005010400,2703.0
53005010300,53061051802,240.0
53005010300,53005010807,144.0
53005010300,53005010500,5473.0
53005010300,53005010203,1184.0
53005010300,53005010300,753.0
53005010300,53033022201,18.0
53005010300,53005010201,45.0
53005010300,53005011506,5.0
53005010300,53005010708,1.0
53005010300,53005010817,10.0
53005010300,53005010819,7.0
53005010400,53077002003,146.0
53005010400,53063000400,148.0
53005010400,53037975600,161.0
53005010400,53005010400,1039.0
53005010400,53037975402,297.0
53005010400,53025010401,292.0
53005010400,53005010500,6388.0
53005010400,53005010203,1099.0
53005010400,53005010300,576.0
53005010400,53033023000,116.0
53005010400,53037975500,55.0
53005010400,53005010201,113.0
53005010400,53005010708,2.0
