origin,destination,flow
53001950400,53021020202,193.0
53001950400,53021020404,87.0
53001950400,53001950400,5742.0
53001950400,53001950500,4584.0
53001950400,53021020102,300.0
53001950400,53025011102,234.0
53001950400,53063000400,165.0
53001950400,53005011300,122.0
53001950400,53033028402,391.0
53001950400,53025010700,129.0
53001950400,53005010901,710.0
53001950400,53005011702,164.0
53001950400,53025011002,806.0
53001950400,53025010904,1899.0
53001950400,53063014001,215.0
53001950400,53075000400,201.0
53001950400,53025010401,194.0
53001950400,53005010809,1041.0
53001950400,53021020606,452.0
53001950400,53021020605,671.0
53001950500,53077002005,65.0
53001950500,53021020300,129.0
53001950500,53025010800,76.0
53001950500,53077940005,77.0
53001950500,53077002701,76.0
53001950500,53077940002,85.0
53001950500,53001950400,6997.0
53001950500,53077002003,79.0
53001950500,53001950500,8688.0
53001950500,53021020102,181.0
53001950500,53025011102,782.0
53001950500,53063010401,221.0
53001950500,53025011300,310.0
53001950500,53005010901,666.0
53001950500,53053061601,119.0
53001950500,53071920600,102.0
53001950500,53061041202,236.0
53001950500,53033029203,103.0
53001950500,53033005303,130.0
53001950500,53063003200,130.0
53001950500,53025011002,2495.0
53001950500,53025010904,2005.0
53001950500,53077001801,142.0
53001950500,53025011200,166.0
53001950500,53005010600,126.0
53001950500,53025011406,147.0
53001950500,53005011100,160.0
53001950500,53063013700,146.0
53001950500,53005010500,660.0
53001950500,53005010809,3462.0
53001950500,53067012331,174.0
53001950500,53021020606,174.0
53001950500,53021020605,955.0
53001950500,53063010902,183.0
53001950500,53005010817,1857.0
53001950500,53005010819,1176.0
53001950500,53021980100,175.0
53003960100,53063014500,38.0
53003960100,53077002003,61.0
53003960100,53003960400,54.0
53003960100,53063011203,56.0
53003960100,53063000400,60.0
53003960100,53063011702,63.0
53003960100,53063002000,59.0
53003960100,53003960300,7199.0
53003960100,53063003500,77.0
53003960100,53003960500,1349.0
53003960100,53063003900,81.0
53003960100,53063002501,94.0
53003960100,53071920702,90.0
53003960100,53033009300,91.0
53003960100,53075000201,122.0
53003960100,53075000400,200.0
53003960100,53005010600,99.0
53003960100,53063013700,92.0
53003960100,53075000602,200.0
53003960100,53071920801,282.0
53003960100,53003960600,842.0
53003960100,53063000900,122.0
53003960100,53063001100,114.0
53003960100,53003960100,3030.0
53003960100,53071920400,360.0
53003960300,53077002005,59.0
53003960300,53003960300,5275.0
53003960300,53063003500,68.0
53003960300,53063012901,64.0
53003960300,53063003200,69.0
53003960300,53003960500,1460.0
53003960300,53063002501,167.0
53003960300,53075000400,197.0
53003960300,53005010809,249.0
53003960300,53003960600,267.0
53003960300,53063011701,96.0
53003960300,53005010815,128.0
53003960300,53003960100,283.0
53003960300,53063010902,154.0
53003960300,53005010817,344.0
53003960400,53033028802,78.0
53003960400,53003960400,648.0
53003960400,53003960300,4383.0
53003960400,53003960500,490.0
53003960400,53075000400,239.0
53003960400,53003960600,296.0
53003960400,53003960100,159.0
53003960500,53001950500,66.0
53003960500,53003960400,298.0
53003960500,53035092200,69.0
53003960500,53071920600,131.0
53003960500,53003960300,6177.0
53003960500,53063011800,129.0
53003960500,53003960500,2126.0
53003960500,53063003900,112.0
53003960500,53035092101,124.0
53003960500,53013960200,428.0
53003960500,53071920801,147.0
53003960500,53003960600,1165.0
53003960500,53037975201,164.0
53003960500,53003960100,158.0
53003960600,53071920500,63.0
53003960600,53063000400,75.0
53003960600,53071920302,70.0
53003960600,53003960300,5913.0
53003960600,53033005303,163.0
53003960600,53003960500,1845.0
53003960600,53063011102,78.0
53003960600,53063011900,88.0
53003960600,53033026200,93.0
53003960600,53075000100,219.0
53003960600,53075000400,132.0
53003960600,53013960200,235.0
53003960600,53033001202,120.0
53003960600,53063013700,126.0
53003960600,53033005201,122.0
53003960600,53003960600,1461.0
53003960600,53063011701,116.0
53003960600,53033004301,135.0
53003960600,53063010506,162.0
53003960600,53063001100,167.0
53003960600,53003960100,367.0
53003960600,53033008004,172.0
53003960600,53071920400,156.0
53005010100,53021020202,33.0
53005010100,53021020300,97.0
53005010100,53005011201,44.0
53005010100,53071920500,98.0
53005010100,53021020404,190.0
53005010100,53005011001,145.0
53005010100,53021020102,132.0
53005010100,53033028402,101.0
53005010100,53005011002,128.0
53005010100,53005010902,117.0
53005010100,53005010901,1106.0
53005010100,53071920600,66.0
53005010100,53005011702,56.0
53005010100,53005011600,76.0
53005010100,53005011501,71.0
53005010100,53005010703,71.0
53005010100,53033005306,63.0
53005010100,53021020504,232.0
53005010100,53033008500,76.0
53005010100,53033008101,226.0
53005010100,53033026200,81.0
53005010100,53005010600,4904.0
53005010100,53005011100,185.0
53005010100,53013960200,71.0
53005010100,53035092400,87.0
53005010100,53005010807,92.0
53005010100,53005010500,6286.0
53005010100,53005010809,1973.0
53005010100,53033004402,202.0
53005010100,53005010203,2243.0
53005010100,53005010300,294.0
53005010100,53033008002,157.0
53005010100,53035092500,105.0
53005010100,53033003601,232.0
53005010100,53021020606,318.0
53005010100,53021020501,119.0
53005010100,53005011402,89.0
53005010100,53005010815,403.0
53005010100,53021020605,243.0
53005010100,53033008200,169.0
53005010100,53011040101,87.0
53005010100,53005010201,1714.0
53005010100,53005010100,3375.0
53005010100,53033008402,248.0
53005010100,53033010200,197.0
53005010100,53005010708,363.0
53005010100,53005010810,122.0
53005010100,53005010817,2500.0
53005010100,53005010811,131.0
