geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point,total_population
53005010201,4.575663688912268,0.4070333824044838,4.424589306842974,0.0001142206045554,0.8510268647669421,49.00259164522072,18.519118954081225,48.39083968019952,13,2,0,2,18,5440
53005010203,1.2485368967483612,1.902194701691554,0.3595216552645024,0.0477880025907276,0.0,18.848446856382925,3.6550713179270113,11.357956902678024,6,2,0,1,5,4055
53005010204,0.5234976414163771,0.0781866308699477,0.0,0.0102275538367763,0.0,3.9833901398140106,1.6916314962022012,2.491031823978469,10,2,1,1,19,2379
53005010300,2.290320070395291,0.0818057720669037,0.0,0.0615127911765382,0.1381720736064951,24.11236240560574,1.6462928531174064,9.475148869193244,9,1,0,3,10,6314
53005010400,1.19083489090633,0.0308431190720373,0.0020214841500789,0.0049520110081724,0.0,19.33293546100656,0.0,5.371475829936966,12,0,0,2,1,3469
53005010500,0.7976420750964839,0.7975478733575961,0.0,0.0965345068531907,0.0,11.590508937561816,2.3382689860425883,13.033461191975258,47,27,10,6,45,3050
53005010701,6.200274360560577,0.4256448156035196,0.0,0.039799928068055,0.008696568317688,25.50141410994324,10.246103112463729,28.17064765904924,0,0,0,1,0,2035
53005010703,6.641171758632448,0.1746846665533765,0.0644743923397598,0.0031528886991183,1.640807165854438,37.184346285787925,2.92138871267941,19.67938349149028,13,4,0,1,5,3316
53005010705,6.315400184169626,0.0803992943538515,0.0,0.0517062238860518,0.0,38.30642987878844,1.9217353228326128,11.447098788659584,16,0,2,3,5,5256
53005010707,2.3892050939352414,0.1478881189681247,0.0,4.997035066068435e-06,0.0,24.194292558442665,2.402352068550686,5.798432058427723,0,0,0,1,0,3500
53005010708,4.7979391957177056,0.297243236641905,0.0,0.1259288271320242,0.0003616270453799,36.91983980743176,2.407362106199461,8.850312893387308,9,4,1,1,16,3792
53005010807,1.2937441658020477,0.0134995741068817,0.0,0.0287740964720998,0.0,24.66415472884146,0.339125737547946,58.13705300961993,0,1,0,0,2,1813
53005010811,8.401885315742689,0.01553054684935,0.0,0.0194020750794968,0.0,69.1048799674328,0.0,22.19917644123984,0,0,0,0,2,5113
53005010814,4.756075187167326,0.1991895535453552,0.0,0.0,0.0,72.44186547600218,0.5088117848825314,47.9630488458188,0,0,0,1,0,5250
53005010817,3.911452741821755,0.0643165993974772,0.0,0.0,0.0,41.40355422470218,0.0270436276824831,5.859210286612338,3,0,0,1,1,6106
53005010818,1.85944320195173,0.397436094507274,0.1719783523214357,0.5193735099348477,0.1137742429257812,15.25539828844239,6.555209162961867,12.942387171128496,16,11,3,1,32,2912
53005010819,2.33193084632126,0.1482316817857357,0.0,0.0,0.0,26.19852881330916,4.308691540933399,5.194388466834937,15,6,1,1,13,2972
53005011600,0.1323743491705716,0.0131820144488686,0.2072699001826226,0.0,0.0,145.49432587175036,45.98401603617758,329.8866965178403,0,1,0,3,0,977
53005011701,2.444659387351768,0.722312507338246,0.5264669997949294,0.0,0.0,27.239353619372807,2.887411935999321,26.49656877613738,1,8,0,0,18,2845
53005011702,2.1876044115173943,0.1680300391301843,0.3457035666011393,0.0,0.0113286632756146,40.35593094161645,7.971630864467398,22.19786673729445,3,2,3,5,5,5507
53011040201,1.831109984052436,0.0,0.0081626952962218,0.0425620119739391,0.0,114.7267818173446,0.0,51.026361492006494,0,4,0,2,11,7606
53011040202,0.0,0.0,0.0,0.0,0.0,84.2772124704891,0.2923441014243391,61.20054224807176,0,0,0,0,2,3714
53011040301,0.2947501024410295,0.0,0.1239934414325589,0.2474898303958151,0.0,44.01904613482239,0.0,33.0192884806335,0,9,0,0,9,2011
53011040303,2.385911647188648,0.0611819985988735,1.1484209838301909,0.1764562851953744,0.0,50.47253872776025,0.0,36.68274759006964,0,11,2,1,17,4704
53011040304,1.6202291115484664,0.0,0.0,0.0,0.0,32.025890952327345,0.0,14.1779620183358,0,0,0,1,0,2331
53011040305,1.1403230226585397,0.0,0.0120118065401512,0.0455664787564764,0.0,17.75279079642226,0.0,9.816812317484612,0,8,0,1,11,2783
53011040504,0.0,0.0,0.0011537220808031,0.0,0.0550074903411906,99.03826657643928,0.0,82.23755975644102,0,0,0,0,1,4977
53011040507,0.5728156137572123,0.0,1.080121086901086,0.0,0.0,14.186939329890562,4.21927113160789,20.2252891046844,0,0,0,1,2,2194
53011040509,1.334882548005099,0.0294666045699504,0.0,0.0745624243706207,0.0,19.23708545165968,0.0,5.178321532142287,0,12,0,2,19,3804
53011040510,2.1556674036429566,0.0126398974717292,0.0,0.0,0.0,91.65314634328357,0.0,45.12139459103825,0,0,0,2,1,5213
53011040511,0.0365879108116679,0.0,0.0,0.0,0.0,67.00109060970647,0.0,43.99238777790883,0,0,0,0,0,2227
53011040512,1.034224414449593,0.0,0.0,0.0,0.0,13.205945162807266,0.0,3.6025774103343644,0,0,0,1,0,2184
53011040513,2.843923397753516,0.0021360014010905,0.0261997690301442,0.0458271669487722,0.0,25.45738466971892,0.0,7.1098484529127415,0,4,2,3,6,4039
53011040603,1.4574482307839942,0.0,0.0,0.0,0.0,94.80669335777758,0.0,44.78313714829287,0,0,0,0,0,4760
53011040605,4.444554660244576,0.0366588597854134,0.0,0.0028289878517043,0.0,46.39613226537436,0.0,33.419974087225654,0,1,0,5,3,5922
53011040609,2.156319603614841,0.0,0.0,0.0,0.0,24.71407768196527,0.0,6.9848271347811055,0,0,0,1,0,5591
53011040610,1.822664945985537,0.0,0.0,0.0,0.0,21.30529227499145,0.0,6.371723498318591,0,0,0,0,0,3497
53011040905,0.2164842717050105,0.0,0.0334983244857264,0.0047056054660231,0.0,48.24899501436983,0.0,32.294773318542134,0,0,0,1,1,3650
53011040907,3.995382107090349,0.0,0.0006961746302037,0.0198665802316269,0.0,41.69752136404792,0.0,7.546599099767221,0,5,0,1,8,6504
