origin,destination,flow
53001950400,53001950400,7146.0
53001950400,53001950500,5424.0
53001950400,53005011702,114.0
53001950400,53015002004,114.0
53001950400,53017950300,114.0
53001950400,53025010401,114.0
53001950400,53025010904,1262.0
53001950400,53025011002,574.0
53001950400,53025011102,229.0
53001950400,53037975700,114.0
53001950400,53063000400,143.0
53001950500,53001950400,9099.0
53001950500,53001950500,10514.0
53001950500,53005010500,471.0
53001950500,53005010817,1054.0
53001950500,53005010819,665.0
53001950500,53025010800,110.0
53001950500,53025010904,1609.0
53001950500,53025011002,2080.0
53001950500,53025011102,887.0
53001950500,53025011300,277.0
53001950500,53025011406,110.0
53001950500,53033000404,110.0
53001950500,53037975600,110.0
53001950500,53053060300,110.0
53001950500,53053061601,110.0
53001950500,53061041202,221.0
53001950500,53063003200,110.0
53001950500,53077001400,110.0
53001950500,53077002003,110.0
53001950500,53077002005,110.0
53003960200,53003960200,1425.0
53003960200,53003960300,8457.0
53003960200,53003960400,196.0
53003960200,53003960500,1843.0
53003960200,53003960600,663.0
53003960200,53033032005,98.0
53003960200,53043960400,98.0
53003960200,53061041704,98.0
53003960200,53063001600,98.0
53003960200,53063002501,98.0
53003960200,53063003500,196.0
53003960200,53063011702,295.0
53003960200,53063012701,98.0
53003960200,53065950500,196.0
53003960200,53071920100,98.0
53003960300,53003960200,283.0
53003960300,53003960300,6127.0
53003960300,53003960500,1345.0
53003960300,53003960600,159.0
53003960300,53005010817,159.0
53003960300,53063002501,141.0
53003960300,53063003200,70.0
53003960300,53063003500,70.0
53003960300,53063011701,70.0
53003960300,53077002005,70.0
53003960400,53003960200,208.0
53003960400,53003960300,4499.0
53003960400,53003960400,728.0
53003960400,53003960500,442.0
53003960400,53003960600,208.0
53003960500,53001950500,106.0
53003960500,53003960200,346.0
53003960500,53003960300,6636.0
53003960500,53003960400,453.0
53003960500,53003960500,2052.0
53003960500,53003960600,826.0
53003960500,53013960200,319.0
53003960500,53035092200,106.0
53003960500,53063003900,106.0
53003960500,53063011800,133.0
53003960600,53003960200,638.0
53003960600,53003960300,6930.0
53003960600,53003960500,2090.0
53003960600,53003960600,924.0
53003960600,53013960200,176.0
53003960600,53043960100,88.0
53003960600,53063000400,88.0
53003960600,53063001100,88.0
53003960600,53063011701,88.0
53003960600,53063011900,88.0
53003960600,53071920400,88.0
53003960600,53071920302,88.0
53005010201,53005010201,2543.0
53005010201,53005010203,1988.0
53005010201,53005010300,662.0
53005010201,53005010400,108.0
53005010201,53005010500,6128.0
53005010201,53005010703,162.0
53005010201,53005010705,162.0
53005010201,53005010707,54.0
53005010201,53005010708,595.0
53005010201,53005010817,2854.0
53005010201,53005010819,608.0
53005010201,53005010807,54.0
53005010201,53005011501,54.0
53005010201,53005011506,162.0
53005010201,53005011702,270.0
53005010201,53007960203,54.0
53005010201,53025011002,67.0
53005010201,53033029309,54.0
53005010201,53037975402,54.0
53005010201,53039950200,54.0
53005010201,53063003500,54.0
53005010201,53063012300,81.0
53005010201,53071920100,54.0
53005010201,53071920400,54.0
53005010201,53071920400,54.0
53005010201,53073000201,54.0
53005010201,53077001400,108.0
53005010201,53077002103,54.0
53005010203,53005010201,1594.0
53005010203,53005010203,3943.0
53005010203,53005010300,603.0
53005010203,53005010400,86.0
53005010203,53005010500,6744.0
53005010203,53005010703,86.0
53005010203,53005010705,172.0
53005010203,53005010707,86.0
53005010203,53005010708,797.0
53005010203,53005010817,3296.0
53005010203,53005010819,560.0
53005010203,53005010811,86.0
53005010203,53005011501,86.0
53005010203,53005011506,538.0
53005010203,53013960200,86.0
53005010203,53025011406,86.0
53005010203,53035081000,86.0
53005010203,53035091201,86.0
53005010203,53035091204,86.0
53005010203,53035091400,86.0
53005010203,53063003200,86.0
53005010203,53063003500,86.0
53005010203,53071920100,86.0
53005010203,53077002003,258.0
53005010203,53077002005,86.0
53005010203,53077002103,86.0
53005010300,53005010201,820.0
53005010300,53005010203,1939.0
53005010300,53005010300,2486.0
53005010300,53005010400,770.0
53005010300,53005010500,5420.0
53005010300,53005010703,99.0
53005010300,53005010707,198.0
53005010300,53005010708,298.0
53005010300,53005010817,4152.0
53005010300,53005010819,1715.0
53005010300,53005010807,99.0
53005010300,53005011501,99.0
53005010300,53005011506,198.0
53005010300,53005011702,198.0
53005010300,53025011002,99.0
53005010300,53033022201,99.0
53005010300,53033032219,99.0
53005010300,53061051802,99.0
53005010300,53063000400,149.0
53005010300,53063003200,198.0
53005010300,53063003500,99.0
53005010300,53063011702,99.0
53005010300,53071920000,198.0
53005010300,53071920302,99.0
53005010300,53077001400,99.0
53005010300,53077002005,99.0
53005010400,53005010201,686.0
53005010400,53005010203,735.0
53005010400,53005010300,416.0
53005010400,53005010400,686.0
53005010400,53005010500,4141.0
53005010400,53005010705,294.0
53005010400,53005010708,294.0
53005010400,53005010817,1617.0
53005010400,53005010819,490.0
53005010400,53005010811,98.0
53005010400,53005011506,98.0
53005010400,53025010401,196.0
53005010400,53033023000,98.0
53005010400,53037975402,196.0
53005010400,53037975500,98.0
53005010400,53037975600,98.0
53005010400,53063000400,98.0
53005010400,53077002003,98.0
53005010500,53005010201,763.0
53005010500,53005010203,966.0
53005010500,53005010300,407.0
53005010500,53005010400,271.0
53005010500,53005010500,6292.0
53005010500,53005010703,67.0
53005010500,53005010705,135.0
53005010500,53005010708,203.0
53005010500,53005010817,1187.0
53005010500,53005010819,966.0
53005010500,53005010807,135.0
53005010500,53005011506,407.0
53005010500,53005011702,67.0
53005010500,53005011900,84.0
53005010500,53033022603,67.0
53005010500,53041970800,67.0
53005010500,53041972000,135.0
53005010500,53063002501,67.0
53005010500,53063003200,67.0
53005010500,53063011702,67.0
53005010500,53071920400,135.0
53005010500,53077001100,67.0
53005010500,53077001400,67.0
53005010500,53077002003,67.0
53005010701,53005010201,109.0
53005010701,53005010203,438.0
53005010701,53005010300,109.0
53005010701,53005010500,987.0
53005010701,53005010701,109.0
53005010701,53005010703,109.0
53005010701,53005010705,109.0
53005010701,53005010708,877.0
53005010701,53005010817,3208.0
53005010701,53005010819,1042.0
53005010701,53005010807,109.0
53005010701,53005011506,438.0
53005010701,53005011702,329.0
53005010701,53005011900,658.0
53005010701,53025011102,109.0
53005010701,53033023401,109.0
53005010701,53033024800,109.0
53005010701,53041971400,109.0
53005010701,53063002400,219.0
53005010701,53063002501,109.0
53005010701,53067010100,109.0
53005010701,53071920000,109.0
53005010703,53005010201,439.0
53005010703,53005010203,737.0
53005010703,53005010300,62.0
53005010703,53005010400,62.0
53005010703,53005010500,2119.0
53005010703,53005010703,1130.0
53005010703,53005010705,408.0
53005010703,53005010708,2088.0
53005010703,53005010817,2810.0
53005010703,53005010819,502.0
53005010703,53005010807,62.0
53005010703,53005011506,125.0
53005010703,53005011702,62.0
53005010703,53005011900,172.0
53005010703,53015001200,62.0
53005010703,53025010401,62.0
53005010703,53035092300,78.0
53005010703,53037975402,62.0
53005010703,53047970601,62.0
53005010703,53063003200,125.0
53005010703,53063003500,62.0
53005010703,53063004002,62.0
53005010703,53063012100,62.0
53005010703,53063012200,125.0
53005010703,53077001400,62.0
53005010705,53005010201,531.0
53005010705,53005010203,531.0
53005010705,53005010300,265.0
53005010705,53005010400,265.0
53005010705,53005010500,2901.0
53005010705,53005010703,753.0
53005010705,53005010705,1373.0
53005010705,53005010708,3101.0
53005010705,53005010817,9237.0
53005010705,53005010819,2281.0
53005010705,53005010811,88.0
53005010705,53005011506,443.0
53005010705,53005011702,177.0
53005010705,53033022805,88.0
53005010705,53033023701,265.0
53005010705,53033025104,88.0
53005010705,53033032313,88.0
53005010705,53037975402,88.0
53005010705,53041972000,88.0
53005010705,53053070100,88.0
53005010705,53063012401,88.0
53005010705,53071920100,177.0
53005010705,53073000600,177.0
53005010705,53073001000,88.0
53005010705,53077001901,88.0
53005010705,53077002003,265.0
53005010707,53005010201,954.0
53005010707,53005010203,444.0
53005010707,53005010300,177.0
53005010707,53005010500,2242.0
53005010707,53005010701,88.0
53005010707,53005010703,266.0
53005010707,53005010705,688.0
53005010707,53005010707,355.0
53005010707,53005010708,1953.0
