origin,destination,flow
53001950400,53015002004,549
53001950400,53037975700,559
53001950400,53025010401,552
53001950400,53017950300,479
53001950400,53025010904,4271
53001950400,53025011002,1499
53001950400,53005011702,192
53001950400,53063000400,215
53001950400,53025011102,193
53001950400,53001950500,3551
53001950400,53001950400,3288
53001950500,53005010819,2248
53001950500,53005010817,3548
53001950500,53053060300,358
53001950500,53005010500,1420
53001950500,53025011406,320
53001950500,53025010904,4360
53001950500,53037975600,285
53001950500,53025011002,4818
53001950500,53033000404,209
53001950500,53063003200,203
53001950500,53061041202,371
53001950500,53053061601,154
53001950500,53077002005,128
53001950500,53077001400,117
53001950500,53025010800,114
53001950500,53025011300,219
53001950500,53025011102,581
53001950500,53001950400,4995
53001950500,53077002003,47
53001950500,53001950500,3482
53003960200,53003960400,284
53003960200,53063011702,406
53003960200,53063001600,123
53003960200,53003960300,10216
53003960200,53063003500,217
53003960200,53065950500,194
53003960200,53003960500,1818
53003960200,53063002501,86
53003960200,53063012701,80
53003960200,53061041704,68
53003960200,53043960400,52
53003960200,53071920100,30
53003960200,53003960600,186
53003960200,53033032005,19
53003960200,53003960200,178
53003960300,53005010817,778
53003960300,53003960200,1235
53003960300,53063011701,279
53003960300,53003960600,514
53003960300,53077002005,166
53003960300,53063002501,305
53003960300,53003960500,2036
53003960300,53063003200,78
53003960300,53063003500,45
53003960300,53003960300,3058
53003960400,53003960200,752
53003960400,53003960600,552
53003960400,53003960500,778
53003960400,53003960300,3709
53003960400,53003960400,294
53003960500,53003960200,972
53003960500,53003960600,2238
53003960500,53001950500,265
53003960500,53003960400,912
53003960500,53035092200,174
53003960500,53013960200,334
53003960500,53003960300,5478
53003960500,53063003900,75
53003960500,53063011800,59
53003960500,53003960500,576
53003960600,53063000400,136
53003960600,53071920302,112
53003960600,53003960300,8270
53003960600,53071920400,95
53003960600,53003960500,2023
53003960600,53063011900,80
53003960600,53003960200,383
53003960600,53013960200,88
53003960600,53063001100,23
53003960600,53063011701,20
53003960600,53043960100,15
53003960600,53003960600,129
53005010201,53077001400,313
53005010201,53005011702,756
53005010201,53039950200,149
53005010201,53033029309,148
53005010201,53063003500,163
53005010201,53077002103,139
53005010201,53063012300,233
53005010201,53071920400,260
53005010201,53071920400,260
53005010201,53005011501,123
53005010201,53073000201,105
53005010201,53005010703,317
53005010201,53025011002,139
53005010201,53005010400,186
53005010201,53037975402,73
53005010201,53005010807,66
53005010201,53005010500,7913
53005010201,53005010203,2318
53005010201,53005010300,729
53005010201,53071920100,56
53005010201,53005010707,45
53005010201,53005010819,431
53005010201,53005010705,91
53005010201,53005010817,1449
53005010201,53005010708,265
53005010201,53007960203,24
53005010201,53005011506,61
53005010201,53005010201,648
53005010203,53077002005,228
53005010203,53077002003,643
53005010203,53005010707,219
53005010203,53005010819,1442
53005010203,53005010811,186
53005010203,53005010705,384
53005010203,53005010817,7110
53005010203,53005010708,1604
53005010203,53063003500,171
53005010203,53005011506,956
53005010203,53077002103,135
53005010203,53035091400,122
53005010203,53005010201,2213
53005010203,53063003200,105
53005010203,53005011501,110
53005010203,53005010703,93
53005010203,53035091204,78
53005010203,53035081000,62
53005010203,53005010400,61
53005010203,53035091201,58
53005010203,53025011406,37
53005010203,53013960200,37
53005010203,53005010500,2713
53005010203,53071920100,38
53005010203,53005010300,172
53005010203,53005010203,904
53005010300,53077002005,261
53005010300,53063000400,371
53005010300,53077001400,244
53005010300,53063011702,239
53005010300,53005010707,473
53005010300,53005011702,495
53005010300,53033032219,260
53005010300,53005010819,3687
53005010300,53071920302,186
53005010300,53005010817,7824
53005010300,53071920000,365
53005010300,53063003500,142
53005010300,53005010708,438
53005010300,53063003200,262
53005010300,53005011501,120
53005010300,53005011506,208
53005010300,53005010201,736
53005010300,53005010703,91
53005010300,53025011002,68
53005010300,53005010400,450
53005010300,53033022201,46
53005010300,53061051802,34
53005010300,53005010807,37
53005010300,53005010500,1749
53005010300,53005010203,574
53005010300,53005010300,567
53005010400,53005010819,1210
53005010400,53005010811,221
53005010400,53005010705,653
53005010400,53005010817,3427
53005010400,53005010708,567
53005010400,53005011506,170
53005010400,53005010201,1016
53005010400,53077002003,143
53005010400,53037975500,125
53005010400,53063000400,83
53005010400,53033023000,86
53005010400,53005010300,253
53005010400,53005010203,367
53005010400,53005010500,1817
53005010400,53025010401,73
53005010400,53037975402,66
53005010400,53037975600,24
53005010400,53005010400,136
53005010500,53077002003,215
53005010500,53005010819,2892
53005010500,53041970800,185
53005010500,53005010705,420
53005010500,53005010817,3183
53005010500,53077001400,158
53005010500,53063011702,145
53005010500,53005010708,424
53005010500,53005011702,135
53005010500,53005011506,720
53005010500,53005010201,1233
53005010500,53041972000,185
53005010500,53071920400,197
53005010500,53033022603,80
53005010500,53063003200,71
53005010500,53005011900,70
53005010500,53005010703,61
53005010500,53077001100,41
53005010500,53005010400,155
53005010500,53063002501,29
53005010500,53005010300,153
53005010500,53005010203,319
53005010500,53005010807,37
53005010500,53005010500,1648
53005010701,53025011102,198
53005010701,53005011702,566
53005010701,53071920000,192
53005010701,53005011900,1056
53005010701,53005010703,181
53005010701,53005010819,1493
53005010701,53005010705,173
53005010701,53063002400,263
53005010701,53063002501,124
53005010701,53005010817,3343
53005010701,53005010708,807
53005010701,53033023401,103
53005010701,53005011506,279
53005010701,53005010201,48
53005010701,53005010807,77
53005010701,53005010500,465
53005010701,53067010100,43
53005010701,53033024800,41
53005010701,53005010203,112
53005010701,53005010300,18
53005010701,53041971400,16
53005010701,53005010701,15
53005010703,53005010819,744
53005010703,53005010705,637
53005010703,53005010817,3917
