region_index,census_tracts_geoids
29,"53049950801,53049950301"
106,"53067012412,53067012532,53053072909,53053073001,53067012531,53067012422,53067012421"
283,53047971000
93,"53035092102,53035092000,53035091201,53035080900,53035080800,53035091301,53035091400,53035091302"
76,"53045960201,53045960301,53045960500,53045961200"
296,53017950101
335,"53001950400,53001950500,53025011300"
279,53017950300
99,"53073010411,53073010406,53073010504,53073010410,53073010409,53073010405"
318,"53005010701,53005010703,53005010814,53005010811,53005010807,53005010204,53005010817,53005010818,53005010819,53005010203,53005010708,53005010705,53005010707,53005010500,53005010400,53005010300,53005010201"
42,53027000300
126,"53033000300,53033021100,53033020100,53033020200,53033020401,53033020402,53033020500,53033020600,53033020700,53033020800,53033020900,53033021300,53033021400,53033021600,53061041907,53061041906,53061041814,53061050403,53061041815,53061041816,53061050502,53061050404,53061051931,53061041703,53061051927,53061051922,53061041303,53029972100,53061051701,53061050300,53061051917,53061041202,53061051928,53061041704,53033020301,53033000201,53033000102,53033000101,53033000202,53033020302,53061051804,53061051803,53061041812,53061041810,53061041809,53033022101,53033022102,53033022201,53061051802,53061042001,53061041901,53061042003,53061041301,53061041805,53061041808,53061041904,53061041905,53061042004,53061051914,53033021701,53033000602,53033000601,53033021702,53061051702,53033021500,53033021000,53061042005,53061051500,53061050101,53061050402,53061051916,53061051913,53061051601,53061051602,53061050700,53061050200,53061050800,53061051401,53061051402,53061051301,53061051929,53061051302,53061051930,53033000402,53033000500,53061050501,53061051932,53061041813,53033000403,53033000404,53061051000,53061051100,53061051200,53061042006,53061050102,53061050600,53061050900"
164,53059950400
96,"53029992201,53029970500,53029971000,53029970401"
375,53071920000
111,"53029971600,53029971800,53029971900,53029971302,53029971301"
449,53063014300
371,53019970200
118,53011040101
262,53037975700
373,"53071920301,53071920302,53071920200,53071920400"
320,53001950303
123,"53053070401,53053940002,53053073123,53053070404,53053073124,53053061501,53053073132,53053073127,53053073130,53053071413,53053071416,53053071412,53053073129,53053073133,53053071212,53053940013,53053071604,53053063402,53053071603,53053071417,53053073502,53053071414,53053063302,53053063301,53053073131,53053073128,53053071211,53053073501,53053071415,53053940012,53053063401,53053071409,53053071205,53053073118,53053073110,53053062400,53053073406,53053071309,53053073121,53053073120,53053073126,53053071310,53053073408,53053061400,53053061601,53053061602,53053061900,53053073115,53053073301,53053073302,53053062000,53053940007,53053940006,53053062300,53053073404,53053063200,53053940010,53053070703,53053940009,53053940004,53053071100,53053071206,53053071207,53053071209,53053071210,53053071304,53053071305,53053071306,53053071307,53053071408,53053071411,53053071504,53053071505,53053071506,53053071601,53053071705,53053071707,53053073111,53053073114,53053073405,53053073407,53053073122"
270,53047970900
35,53009000600
220,53007960203
309,"53025010401,53025010402"
91,"53067012221,53045961101,53067012226,53067011200,53067011500,53067012330,53053072603,53067990100,53067012211,53067012100,53067010200,53067010100,53067010300,53067012223,53067012224,53067012225,53067012332"
81,"53055960400,53055960302"
94,"53031950301,53035090300,53031950202"
17,53049950502
306,53025011406
160,"53061053506,53057951200"
199,53077003003
75,"53045961102,53067012002,53045960800,53045960900,53067010520,53067010600,53045961000,53045960700,53067012001,53067011902,53067010510,53067011100"
316,53047970301
367,53043960300
138,"53053073200,53053073119"
73,"53067012720,53067012710,53041970600,53041970900,53041971400,53041970200,53041970800,53041970700,53041970400,53041971000,53041970300,53041970500"
82,"53055960102,53055960103"
114,"53073000501,53073000502,53073000600,53073000700,53073001000,53073001202,53073940002,53073940001,53073010503,53073000903,53073000102,53073000402,53073000201,53073000203,53073010506,53073000202,53073001101,53073001102,53073001203,53073000302,53073000301,53073001204,53073000401"
467,53051970300
6,53031990000
330,53047970302
158,"53061052210,53061052203,53061052206,53061052208,53061053802,53061052207,53033032401"
107,"53053072309,53053072311,53053072410,53053061300,53053071805,53053061001,53053072313,53053071807,53053072312,53053071808,53053062502,53053072801,53053062902,53053072908,53053072315,53053062501,53053072314,53053072802,53053062901,53053071902,53053060700,53053062600,53053063100,53053071703,53053072310,53053072907,53053061002,53053061100,53053061200,53053061700,53053061800,53053062801,53053062802,53053063000,53053063501,53053063502,53053071403,53053071503,53053071704,53053071706,53053071803,53053071806,53053071901,53053072000,53053072105,53053072106,53053072107,53053072108,53053072109,53053072111,53053072901,53053072903,53053072112,53053072305,53053072307"
411,53065950900
186,53033032706
40,"53027000900,53027000800,53027001000"
385,53019970100
252,53007960100
140,"53033032002,53033025602,53033031605,53033030700,53033029306,53033031800,53033029602,53033025803,53033031904,53033031204,53033031601,53033032010,53033025702,53033025804,53033032011,53033025601,53033025805,53033029507,53033029309,53033031101,53033029506,53033029604,53033031102,53033031208,53033029308,53033031912,53033031705,53033031910,53033031709,53033029304,53033029305,53033029405,53033029407,53033029408,53033029504,53033029406,53033030503,53033030504,53033030600,53033030802,53033031000,53033031206,53033029505,53033029508,53033031913,53033029603,53033031710,53033031708,53033031911,53033031207,53033031707,53033032007,53033032006,53033029403,53033031704,53033031908,53033032005,53033032008,53033031909,53033031906,53033029307,53033025806,53033031604,53033029208,53033025703,53033025704,53033029207"
174,53061053606
173,53061053803
167,53041972000
83,53073011000
67,53055960301
413,53065950102
343,53047970303
394,53043960100
98,"53055960101,53073010900"
128,"53061053201,53061053301,53061990100,53061053302,53061053101,53057952700"
274,"53077002003,53077002004,53077002103,53077002006,53077001802,53077002005"
102,"53015001501,53011040202"
130,"53073000804,53073000805,53073000803,53073010702,53073000902,53073000101,53073000807,53073000809,53073000904,53073000808"
115,"53073010301,53073010600,53073010302,53073010505,53073010407,53073010408"
322,"53025011001,53025010903,53025011101,53025011102,53025010904,53025010901,53025010800"
455,53051970100
304,"53005011900,53005011801"
132,53059950200
161,53057951000
50,"53027000502,53027000402,53027000700"
331,53005011506
129,"53057952100,53057951501,53057951503,53057952403,53057951502,53057952303,53057952405,53057950803,53057950802,53057952304,53057952404,53057951800,53057951600,53057952500,53057951400,53057951900,53057952200,53057951700,53057952600,53057952401,53057952301"
190,53061053700
109,"53035091205,53035091701,53035091702,53035091002,53035091206,53035091001,53035090902,53035090901,53035092701,53035080200,53035091100,53035080300,53035080400,53035080700,53035081000,53035081100,53035081200,53035081400,53035091500,53035091600,53035091204,53035091800,53035092704,53035090400,53035091900,53035092200,53035092300,53035092400,53035092500,53035092600,53035092801,53035090700,53035080102,53035080500,53035090800,53035080101,53035080600"
379,53043960400
321,"53001950302,53025011401"
170,53033031502
116,"53011040507,53011040610,53011040609,53011040510,53011040513,53011040512,53011040509,53011040605,53011041400,53011041500"
336,53025011002
346,53005011501
154,53053070100
86,"53015001601,53015001602,53011040201,53015001503"
79,"53031950502,53009002100,53009002301,53009002002,53009002001,53009001901,53009001902"
465,"53063010101,53063010102"
88,"53041971300,53041971200"
426,"53065950200,53065950500"
227,53039950103
291,53025011403
409,53065941000
314,"53047970601,53047970602"
110,"53035090202,53035090501,53035990100,53035090502,53035090101,53035090201,53035090102,53035940100,53035940000"
355,53047940100
195,53039950200
108,"53053072407,53053072408,53053072409,53053060500,53053072504,53053060903,53053060904,53053072503,53053072506,53053072507,53053060908,53053060907,53053061502,53053072508,53053072509,53035092802,53035092803,53035092902,53053060300,53053060400,53053060600,53053072405,53053072406,53053060906,53053060800,53033027701"
461,53075000700
450,"53063011302,53063013503,53063004001,53063004702,53063013502,53063002503,53063004701,53063000302,53063000201,53063011301,53063002501,53063000202,53063003602,53063004002,53063003000,53063000400,53063000500,53063000600,53063000700,53063004100,53063011702,53063014400,53063014500,53063011800,53063011900,53063012000,53063012100,53063012500,53063012600,53063012701,53063012702,53063012801,53063011500,53063012802,53063004200,53063004300,53063012401,53063005000,53063003100,53063002502,53063000301,53063002400,53063001100,53063001200,53063001300,53063001600,53063012200,53063012300,53063003900,53063013401,53063004900,53063002600,53063002900,53063003200,53063003500,53063001800,53063001900,53063002000,53063002100,53063011701,53063011600,53063004601,53063001400,53063004500,53063001500,53063004400,53063004602,53063004800"
276,53077001701
47,53069950100
